dataset,taxon_id,assembly_accession,isolation_source,geo_loc_name,env_broad_scale,env_local_scale,env_medium,geographic location (latitude),geographic location (longitude),lat_lon,geographic location (region and locality)
1,1008152,GCA_020700235.1,saline soil,China: Xinjiang,NA,NA,NA,NA,NA,NA,NA
1,1008152,GCA_039544045.1,Saline soil in Lup Nur region,China,NA,NA,NA,NA,NA,NA,NA
1,1008152,GCA_042429455.1,missing,missing,NA,NA,NA,NA,NA,NA,NA
1,1008152,GCF_020700235.1,saline soil,China: Xinjiang,NA,NA,NA,NA,NA,NA,NA
1,1008152,GCF_039544045.1,Saline soil in Lup Nur region,China,NA,NA,NA,NA,NA,NA,NA
1,1008152,GCF_042429455.1,missing,missing,NA,NA,NA,NA,NA,NA,NA
2,1028414,GCA_002224105.1,guano of little auks,Norway: Spitsbergen,NA,NA,NA,NA,NA,NA,NA
2,1028414,GCF_002224105.1,guano of little auks,Norway: Spitsbergen,NA,NA,NA,NA,NA,NA,NA
3,1028416,GCA_900168255.1,NA,Norway,soil,soil,soil,77.83,16.83,NA,NA
3,1028416,GCF_900168255.1,NA,Norway,soil,soil,soil,77.83,16.83,NA,NA
4,1028420,GCA_028895345.1,guano of little auks,Norway: Spitsbergen,NA,NA,NA,NA,NA,NA,NA
4,1028420,GCF_028895345.1,guano of little auks,Norway: Spitsbergen,NA,NA,NA,NA,NA,NA,NA
5,1031538,GCA_006148955.1,Japan Collection of Microorganisms,Japan:Ibaraki 305-0074,,,,NA,NA,,NA
5,1031538,GCA_008630635.1,a dead ark clam,Korea: Gang-jin bay,sea coast,sea water,sea water,NA,NA,34.8 N 127.9 E,NA
5,1031538,GCF_006148955.1,Japan Collection of Microorganisms,Japan:Ibaraki 305-0074,,,,NA,NA,,NA
5,1031538,GCF_008630635.1,a dead ark clam,Korea: Gang-jin bay,sea coast,sea water,sea water,NA,NA,34.8 N 127.9 E,NA
6,225937,GCA_000166295.1,German Wadden Sea,Germany,,,,,,53.722222 N 7.722222 E,NA
6,1033846,GCA_001717765.1,sea water,Malaysia: Sabah,beach,,,,,6.05 N 116.70000000 E,NA
6,1033846,GCA_003317075.1,Tara Oceans base date 76 from the 800 m deep point,Atlantic Ocean,Marine,Oceanic,water,,,20.9315 S 35.1794 W,NA
6,1033846,GCA_003456595.1,marine,not applicable,,,,,,,NA
6,1033846,GCA_003482735.1,marine,not applicable,,,,,,,NA
6,1033846,GCA_003483785.1,marine,not applicable,,,,,,,NA
6,1033846,GCA_003487885.1,marine,not applicable,,,,,,,NA
6,1033846,GCA_003500365.1,marine,not applicable,,,,,,,NA
6,1033846,GCA_003507775.1,marine,not applicable,,,,,,,NA
6,1033846,GCA_003512295.1,marine,not applicable,,,,,,,NA
6,1033846,GCA_003520305.1,marine,not applicable,,,,,,,NA
6,1033846,GCA_003543775.1,marine,not applicable,,,,,,,NA
6,1033846,GCA_009711885.1,MES reactor inoculated with Red Sea brine pool sample,Saudi Arabia: KAUST,bioreactor microbiome,bioreactor,Biofilm,,,22.309347 N 39.104976 E,NA
6,1033846,GCA_013393465.1,"ganjang, Korean traditional soy sauce",South Korea,Fermemted food,Ganjang,soy sauce,,,37.505448 N 126.956017 E,NA
6,1033846,GCA_017795165.1,Xenic protist cell culture,"USA:New York,Manhattan",missing,missing,missing,,,missing,NA
6,1033846,GCA_018972165.1,N/A,N/A,N/A,N/A,N/A,,,N/A,NA
6,1033846,GCA_019335285.1,,China:Shenzhen,shallow sea biome,offshore,sediment,,,22.590 N 114.552 E,NA
6,1033846,GCA_019392275.1,algal culture,"Germany: North Sea, Helgoland Roads",,,,,,,NA
6,1033846,GCA_021021495.1,Sulfide,Indian Ocean,,,,,,,NA
6,1033846,GCA_023146065.1,fluid,China: South China Sea,deep sea biome,cold seep,deep sea fluid,,,22.16 N 119.29 E,NA
6,1033846,GCA_042140225.1,Amphidinium carterae CCMP1314 culture,USA: Maryland,,,,,,,NA
6,1033846,GCA_964000785.1,marine metagenome,not provided,water,,tara,35.3671,-127.7422,,NA
6,225937,GCF_000166295.1,German Wadden Sea,Germany,,,,,,53.722222 N 7.722222 E,NA
6,1033846,GCF_001717765.1,sea water,Malaysia: Sabah,beach,,,,,6.05 N 116.70000000 E,NA
6,1033846,GCF_013393465.1,"ganjang, Korean traditional soy sauce",South Korea,Fermemted food,Ganjang,soy sauce,,,37.505448 N 126.956017 E,NA
6,1033846,GCF_018972165.1,N/A,N/A,N/A,N/A,N/A,,,N/A,NA
6,1033846,GCF_019335285.1,,China:Shenzhen,shallow sea biome,offshore,sediment,,,22.590 N 114.552 E,NA
6,1033846,GCF_019392275.1,algal culture,"Germany: North Sea, Helgoland Roads",,,,,,,NA
6,1033846,GCF_021021495.1,Sulfide,Indian Ocean,,,,,,,NA
6,1033846,GCF_042140225.1,Amphidinium carterae CCMP1314 culture,USA: Maryland,,,,,,,NA
7,1035067,GCA_018555685.1,root nodule,France,NA,NA,NA,NA,NA,,NA
7,1035067,GCA_029872135.1,sediment,China:Panjin,NA,NA,NA,NA,NA,40.65 N 122.12 E,NA
7,1035067,GCF_018555685.1,root nodule,France,NA,NA,NA,NA,NA,,NA
7,1035067,GCF_029872135.1,sediment,China:Panjin,NA,NA,NA,NA,NA,40.65 N 122.12 E,NA
8,1037362,GCA_004364805.1,missing,missing,missing,missing,missing,,,missing,NA
8,1037362,GCA_900184825.1,,Japan,seawater,seawater,"seawater collected off the coast of Ishigaki Island, Japan",24.4,124.1,,NA
8,1037362,GCF_004364805.1,missing,missing,missing,missing,missing,,,missing,NA
8,1037362,GCF_900184825.1,,Japan,seawater,seawater,"seawater collected off the coast of Ishigaki Island, Japan",24.4,124.1,,NA
9,104087,GCA_000802155.2,soil,Kuwait,desert,,,NA,NA,,NA
9,104087,GCA_001874645.1,glacial stream,India: West Sikkim,glacial stream,,,NA,NA,27.34 N 88.05999999 E,NA
9,104087,GCA_001952935.1,arsenic-contaminated soil,"South Korea: Gwangju, Kyunggi-Do",arsenic-contaminated soil,arsenic-contaminated soil,soil,NA,NA,37.41 N 127.25722 E,NA
9,104087,GCA_002355315.1,soil,South Korea,reclaimed land,Farming soil,Soil,NA,NA,36.40 N 126.26 E,NA
9,104087,GCA_002967995.1,soil,China,,,,NA,NA,,NA
9,104087,GCA_003732245.1,Missouri Soil,USA,,,,NA,NA,,NA
9,104087,GCA_003732275.1,Wyoming Soil,USA,,,,NA,NA,,NA
9,104087,GCA_003732325.1,Wyoming Soil,USA,,,,NA,NA,,NA
9,104087,GCA_003732665.1,Wyoming Soil,USA,,,,NA,NA,,NA
9,104087,GCA_003732705.1,Wyoming Soil,USA,,,,NA,NA,,NA
9,104087,GCA_010588365.1,ginseng seedlings,South Korea: Eumseong,,,,NA,NA,,NA
9,104087,GCA_017114915.1,soil,China:Zhejiang,,,,NA,NA,,NA
9,104087,GCA_021390215.1,rhizosphere of Sorghum,China,,,,NA,NA,,NA
9,104087,GCA_023612115.1,pepper soil,South Korea,,,,NA,NA,,NA
9,104087,GCA_031457435.1,missing,USA: Nebraska,missing,missing,missing,NA,NA,41.1613 N 96.4243 W,NA
9,104087,GCA_035751725.1,,China:Qingdao,Root associated enviroment,plant root,plant root,NA,NA,36.09 N 120.38 E,NA
9,104087,GCA_040201675.1,,Italy:Pavia,agricultural soil (ENVO:00002259),maize field (ENVO:01000348),rhizosphere (ENVO:00005801),NA,NA,45.137293 N 8.776014 E,NA
9,104087,GCA_900105495.1,,missing,missing,missing,missing,NA,NA,missing,NA
