"Treatment","Mean_Growth_Percentage","SD_Growth","P_value"
"DSS3_Hom12",100,0.0100166528008778,NA
"DSS3_Hom12",100,0.0100166528008778,NA
"DSS3_Hom12",100,0.0100166528008778,NA
"DSS3_Hom12_KAN",20,0.000577350269189626,0.00728912703292762
"DSS3_Hom12_KAN",20,0.000577350269189626,0.00728912703292762
"DSS3_Hom12_KAN",20,0.000577350269189626,0.00728912703292762
"DSS3_Hom4",48.4,0.00802080627701064,0.00505798933678514
"DSS3_Hom4",48.4,0.00802080627701064,0.00505798933678514
"DSS3_Hom4",48.4,0.00802080627701064,0.00505798933678514
"DSS3_Hom4_KAN",20.4,0.000999999999999999,0.0070673427190822
"DSS3_Hom4_KAN",20.4,0.000999999999999999,0.0070673427190822
"DSS3_Hom4_KAN",20.4,0.000999999999999999,0.0070673427190822
"DSS3_NMGA",53.2,0.00208166599946613,0.0178931082839925
"DSS3_NMGA",53.2,0.00208166599946613,0.0178931082839925
"DSS3_NMGA",53.2,0.00208166599946613,0.0178931082839925
"DSS3_NMGA_KAN",42.4,0.00378593889720018,0.00762433456513396
"DSS3_NMGA_KAN",42.4,0.00378593889720018,0.00762433456513396
"DSS3_NMGA_KAN",42.4,0.00378593889720018,0.00762433456513396
"SPO1585_Hom12",42.8,0.00206559111797729,0.0129792056421086
"SPO1585_Hom12",42.8,0.00206559111797729,0.0129792056421086
"SPO1585_Hom12",42.8,0.00206559111797729,0.0129792056421086
"SPO1585_Hom12",42.8,0.00206559111797729,0.0129792056421086
"SPO1585_Hom12",42.8,0.00206559111797729,0.0129792056421086
"SPO1585_Hom12",42.8,0.00206559111797729,0.0129792056421086
"SPO1585_Hom4",26.4,0.00493963561409139,0.0044182336922135
"SPO1585_Hom4",26.4,0.00493963561409139,0.0044182336922135
"SPO1585_Hom4",26.4,0.00493963561409139,0.0044182336922135
"SPO1585_Hom4",26.4,0.00493963561409139,0.0044182336922135
"SPO1585_Hom4",26.4,0.00493963561409139,0.0044182336922135
"SPO1585_Hom4",26.4,0.00493963561409139,0.0044182336922135
"SPO1585_NMGA",10.6,0.00075277265270908,0.00586068795303793
"SPO1585_NMGA",10.6,0.00075277265270908,0.00586068795303793
"SPO1585_NMGA",10.6,0.00075277265270908,0.00586068795303793
"SPO1585_NMGA",10.6,0.00075277265270908,0.00586068795303793
"SPO1585_NMGA",10.6,0.00075277265270908,0.00586068795303793
"SPO1585_NMGA",10.6,0.00075277265270908,0.00586068795303793
"SPO1588_Hom12",25,0.00248327740429189,0.0070483000477596
"SPO1588_Hom12",25,0.00248327740429189,0.0070483000477596
"SPO1588_Hom12",25,0.00248327740429189,0.0070483000477596
"SPO1588_Hom12",25,0.00248327740429189,0.0070483000477596
"SPO1588_Hom12",25,0.00248327740429189,0.0070483000477596
"SPO1588_Hom12",25,0.00248327740429189,0.0070483000477596
"SPO1588_Hom4",23.6,0.00273252020425589,0.00652563517094149
"SPO1588_Hom4",23.6,0.00273252020425589,0.00652563517094149
"SPO1588_Hom4",23.6,0.00273252020425589,0.00652563517094149
"SPO1588_Hom4",23.6,0.00273252020425589,0.00652563517094149
"SPO1588_Hom4",23.6,0.00273252020425589,0.00652563517094149
"SPO1588_Hom4",23.6,0.00273252020425589,0.00652563517094149
"SPO1588_NMGA",9.39999999999999,0.00263944438597722,0.00461735559126773
"SPO1588_NMGA",9.39999999999999,0.00263944438597722,0.00461735559126773
"SPO1588_NMGA",9.39999999999999,0.00263944438597722,0.00461735559126773
"SPO1588_NMGA",9.39999999999999,0.00263944438597722,0.00461735559126773
"SPO1588_NMGA",9.39999999999999,0.00263944438597722,0.00461735559126773
"SPO1588_NMGA",9.39999999999999,0.00263944438597722,0.00461735559126773
"SPO3191_Hom12",6,5.37484410618657e-18,0.00540627024597715
"SPO3191_Hom12",6,5.37484410618657e-18,0.00540627024597715
"SPO3191_Hom12",6,5.37484410618657e-18,0.00540627024597715
"SPO3191_Hom12",6,5.37484410618657e-18,0.00540627024597715
"SPO3191_Hom12",6,5.37484410618657e-18,0.00540627024597715
"SPO3191_Hom12",6,5.37484410618657e-18,0.00540627024597715
"SPO3191_Hom4",13.4,0.00116904519445002,0.00608418773186423
"SPO3191_Hom4",13.4,0.00116904519445002,0.00608418773186423
"SPO3191_Hom4",13.4,0.00116904519445002,0.00608418773186423
"SPO3191_Hom4",13.4,0.00116904519445002,0.00608418773186423
"SPO3191_Hom4",13.4,0.00116904519445002,0.00608418773186423
"SPO3191_Hom4",13.4,0.00116904519445002,0.00608418773186423
"SPO3191_NMGA",48,0.00626099033699941,0.00777633989809496
"SPO3191_NMGA",48,0.00626099033699941,0.00777633989809496
"SPO3191_NMGA",48,0.00626099033699941,0.00777633989809496
"SPO3191_NMGA",48,0.00626099033699941,0.00777633989809496
"SPO3191_NMGA",48,0.00626099033699941,0.00777633989809496
"SPO3191_NMGA",48,0.00626099033699941,0.00777633989809496
