Time,Temp,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,TimeS,TimeH,BlankMean
0:00:03,29,0.086,0.086,0.086,0.087,0.087,0.085,0.086,0.086,0.091,0.089,0.087,0.087,0.03975,0.04975,0.04875,0.02975,0.03475,0.02675,0.06875,0.08475,0.08075,0.08875,0.09675,0.03275,0.03075,0.05175,0.07575,0.05075,0.06875,0.07275,0.08775,0.09275,0.08375,0.08875,0.09275,0.03675,0.03275,0.04775,0.07875,0.06275,0.08175,0.07575,0.08875,0.09475,0.08675,0.10175,0.09975,0.03875,0.03475,0.05275,0.08475,0.06175,0.08475,0.07275,0.09075,0.10275,0.09275,0.09375,0.09375,0.03875,0.02975,0.04975,0.07475,0.04875,0.07175,0.07875,0.09375,0.10275,0.09775,0.09975,0.09775,0.05175,0.03175,0.02775,0.02675,0.02975,0.07575,0.08375,0.08475,0.09275,0.09875,0.09275,0.146,0.089,0.02475,0.03075,0.03075,0.02975,0.03675,0.03375,0.03175,0.03575,0.03575,0.03375,0.082,0.084,2.90975,0,0.09025
0:10:03,27.7,0.085,0.086,0.086,0.086,0.088,0.084,0.086,0.085,0.091,0.09,0.088,0.085,0.042875,0.051875,0.051875,0.032875,0.037875,0.028875,0.032875,0.039875,0.029875,0.031875,0.040875,0.039875,0.034875,0.054875,0.048875,0.034875,0.037875,0.031875,0.032875,0.038875,0.028875,0.032875,0.037875,0.039875,0.035875,0.050875,0.048875,0.035875,0.043875,0.032875,0.031875,0.041875,0.031875,0.048875,0.042875,0.041875,0.036875,0.055875,0.052875,0.035875,0.044875,0.032875,0.034875,0.040875,0.031875,0.035875,0.037875,0.041875,0.032875,0.053875,0.049875,0.032875,0.040875,0.037875,0.033875,0.042875,0.033875,0.035875,0.045875,0.053875,0.035875,0.031875,0.030875,0.033875,0.035875,0.035875,0.031875,0.035875,0.037875,0.032875,0.084,0.089,0.027875,0.033875,0.033875,0.032875,0.042875,0.036875,0.034875,0.038875,0.038875,0.036875,0.082,0.083,602.913875,0.081375,0.086125
0:20:03,27,0.085,0.086,0.086,0.086,0.088,0.084,0.086,0.085,0.091,0.09,0.088,0.085,0.041875,0.050875,0.050875,0.032875,0.037875,0.029875,0.032875,0.039875,0.029875,0.031875,0.039875,0.038875,0.034875,0.054875,0.048875,0.034875,0.037875,0.030875,0.032875,0.038875,0.029875,0.032875,0.037875,0.047875,0.035875,0.050875,0.048875,0.035875,0.043875,0.033875,0.032875,0.041875,0.031875,0.048875,0.042875,0.042875,0.036875,0.055875,0.052875,0.035875,0.044875,0.032875,0.035875,0.041875,0.031875,0.035875,0.037875,0.041875,0.032875,0.053875,0.049875,0.032875,0.040875,0.036875,0.033875,0.042875,0.032875,0.036875,0.044875,0.053875,0.035875,0.030875,0.029875,0.033875,0.035875,0.035875,0.031875,0.035875,0.036875,0.032875,0.084,0.089,0.027875,0.032875,0.033875,0.032875,0.040875,0.035875,0.034875,0.038875,0.038875,0.036875,0.082,0.083,1202.913875,0.248041666666667,0.086125
0:30:03,26.5,0.085,0.086,0.086,0.086,0.088,0.084,0.086,0.085,0.091,0.09,0.087,0.085,0.0419375,0.0519375,0.0519375,0.0329375,0.0379375,0.0299375,0.0329375,0.0399375,0.0299375,0.0319375,0.0399375,0.0389375,0.0349375,0.0539375,0.0489375,0.0359375,0.0389375,0.0319375,0.0339375,0.0389375,0.0289375,0.0329375,0.0379375,0.0479375,0.0359375,0.0509375,0.0489375,0.0359375,0.0439375,0.0339375,0.0329375,0.0419375,0.0319375,0.0489375,0.0429375,0.0429375,0.0369375,0.0549375,0.0539375,0.0369375,0.0439375,0.0319375,0.0349375,0.0419375,0.0329375,0.0359375,0.0379375,0.0419375,0.0339375,0.0539375,0.0509375,0.0339375,0.0409375,0.0359375,0.0339375,0.0439375,0.0329375,0.0369375,0.0459375,0.0549375,0.0359375,0.0309375,0.0299375,0.0339375,0.0359375,0.0359375,0.0329375,0.0359375,0.0379375,0.0329375,0.084,0.089,0.0269375,0.0329375,0.0339375,0.0319375,0.0409375,0.0359375,0.0349375,0.0389375,0.0389375,0.0369375,0.082,0.083,1802.9139375,0.414770833333333,0.0860625
0:40:03,26.1,0.085,0.086,0.086,0.086,0.088,0.084,0.086,0.085,0.091,0.09,0.088,0.085,0.041875,0.050875,0.052875,0.033875,0.038875,0.028875,0.033875,0.039875,0.029875,0.031875,0.040875,0.036875,0.034875,0.054875,0.048875,0.034875,0.038875,0.032875,0.033875,0.039875,0.029875,0.033875,0.037875,0.040875,0.035875,0.049875,0.049875,0.035875,0.044875,0.033875,0.033875,0.041875,0.031875,0.049875,0.042875,0.042875,0.036875,0.054875,0.053875,0.036875,0.043875,0.032875,0.035875,0.042875,0.032875,0.035875,0.038875,0.041875,0.032875,0.053875,0.049875,0.033875,0.039875,0.036875,0.033875,0.043875,0.033875,0.036875,0.044875,0.054875,0.035875,0.030875,0.029875,0.033875,0.035875,0.034875,0.032875,0.035875,0.037875,0.032875,0.084,0.089,0.027875,0.033875,0.033875,0.032875,0.040875,0.036875,0.034875,0.038875,0.038875,0.036875,0.082,0.083,2402.913875,0.581375,0.086125
0:50:03,25.8,0.085,0.086,0.086,0.086,0.088,0.084,0.086,0.085,0.091,0.09,0.088,0.085,0.042875,0.051875,0.053875,0.033875,0.039875,0.029875,0.033875,0.039875,0.029875,0.032875,0.038875,0.037875,0.034875,0.054875,0.049875,0.034875,0.038875,0.032875,0.034875,0.039875,0.029875,0.033875,0.037875,0.039875,0.035875,0.050875,0.048875,0.035875,0.044875,0.033875,0.033875,0.042875,0.032875,0.050875,0.042875,0.041875,0.036875,0.056875,0.053875,0.035875,0.044875,0.032875,0.035875,0.042875,0.032875,0.035875,0.038875,0.041875,0.032875,0.053875,0.050875,0.032875,0.039875,0.035875,0.034875,0.044875,0.033875,0.036875,0.044875,0.053875,0.036875,0.030875,0.030875,0.032875,0.035875,0.035875,0.032875,0.034875,0.037875,0.032875,0.084,0.089,0.026875,0.032875,0.033875,0.031875,0.039875,0.035875,0.033875,0.038875,0.037875,0.036875,0.082,0.083,3002.913875,0.748041666666667,0.086125
1:00:03,25.5,0.085,0.086,0.086,0.086,0.088,0.084,0.086,0.085,0.091,0.09,0.088,0.085,0.042875,0.052875,0.053875,0.034875,0.038875,0.029875,0.034875,0.039875,0.030875,0.032875,0.040875,0.037875,0.034875,0.055875,0.049875,0.035875,0.038875,0.032875,0.035875,0.040875,0.029875,0.033875,0.037875,0.046875,0.036875,0.051875,0.047875,0.036875,0.044875,0.033875,0.034875,0.042875,0.032875,0.050875,0.042875,0.042875,0.037875,0.056875,0.053875,0.035875,0.044875,0.032875,0.036875,0.042875,0.032875,0.036875,0.039875,0.042875,0.032875,0.053875,0.049875,0.032875,0.038875,0.036875,0.035875,0.044875,0.033875,0.036875,0.044875,0.055875,0.035875,0.030875,0.030875,0.033875,0.035875,0.035875,0.032875,0.036875,0.037875,0.033875,0.084,0.089,0.027875,0.032875,0.033875,0.030875,0.041875,0.035875,0.032875,0.038875,0.037875,0.036875,0.082,0.083,3602.913875,0.914708333333333,0.086125
1:10:03,25.3,0.085,0.086,0.086,0.086,0.088,0.084,0.086,0.085,0.091,0.09,0.088,0.085,0.043875,0.053875,0.053875,0.034875,0.039875,0.028875,0.033875,0.039875,0.030875,0.032875,0.040875,0.035875,0.034875,0.055875,0.048875,0.035875,0.039875,0.032875,0.035875,0.040875,0.030875,0.033875,0.037875,0.037875,0.036875,0.051875,0.047875,0.036875,0.044875,0.033875,0.035875,0.043875,0.032875,0.050875,0.042875,0.042875,0.036875,0.056875,0.053875,0.036875,0.045875,0.032875,0.037875,0.043875,0.033875,0.036875,0.039875,0.041875,0.032875,0.054875,0.050875,0.032875,0.038875,0.037875,0.036875,0.045875,0.034875,0.037875,0.044875,0.054875,0.036875,0.031875,0.030875,0.033875,0.036875,0.034875,0.033875,0.036875,0.038875,0.033875,0.084,0.089,0.026875,0.033875,0.033875,0.032875,0.039875,0.035875,0.033875,0.037875,0.036875,0.036875,0.082,0.083,4202.913875,1.081375,0.086125
1:20:03,25.1,0.085,0.086,0.086,0.086,0.088,0.084,0.086,0.085,0.091,0.09,0.088,0.085,0.043875,0.054875,0.054875,0.035875,0.037875,0.029875,0.034875,0.039875,0.028875,0.031875,0.039875,0.034875,0.034875,0.055875,0.048875,0.036875,0.039875,0.033875,0.036875,0.041875,0.030875,0.034875,0.038875,0.044875,0.036875,0.051875,0.048875,0.037875,0.044875,0.034875,0.036875,0.044875,0.033875,0.051875,0.043875,0.042875,0.036875,0.057875,0.053875,0.036875,0.045875,0.033875,0.037875,0.043875,0.033875,0.036875,0.039875,0.041875,0.031875,0.055875,0.050875,0.033875,0.039875,0.037875,0.037875,0.045875,0.034875,0.037875,0.044875,0.052875,0.036875,0.031875,0.030875,0.033875,0.036875,0.034875,0.034875,0.037875,0.038875,0.033875,0.084,0.089,0.027875,0.033875,0.033875,0.032875,0.041875,0.036875,0.033875,0.038875,0.036875,0.036875,0.082,0.083,4802.913875,1.24804166666667,0.086125
1:30:03,24.9,0.085,0.086,0.086,0.086,0.088,0.084,0.086,0.085,0.091,0.09,0.088,0.085,0.042875,0.054875,0.053875,0.034875,0.036875,0.028875,0.035875,0.039875,0.030875,0.030875,0.038875,0.035875,0.034875,0.055875,0.049875,0.036875,0.040875,0.033875,0.035875,0.040875,0.030875,0.034875,0.037875,0.044875,0.037875,0.051875,0.048875,0.037875,0.045875,0.034875,0.037875,0.044875,0.034875,0.050875,0.043875,0.041875,0.037875,0.057875,0.053875,0.037875,0.045875,0.033875,0.039875,0.044875,0.033875,0.036875,0.039875,0.041875,0.032875,0.056875,0.050875,0.034875,0.041875,0.038875,0.037875,0.045875,0.034875,0.037875,0.045875,0.054875,0.036875,0.031875,0.030875,0.034875,0.037875,0.035875,0.034875,0.035875,0.037875,0.033875,0.084,0.089,0.027875,0.033875,0.032875,0.033875,0.040875,0.036875,0.031875,0.038875,0.036875,0.035875,0.082,0.083,5402.913875,1.41470833333333,0.086125
