"Replicate","Max_OD600","Treatment"
"G2",0.389,"SPO3186_48115"
"F2",0.38,"SPO3186_48115"
"E3",0.36,"SPO3186_4607"
"F3",0.332,"SPO3186_4607"
"E2",0.328,"SPO3186_48115"
"D5",0.314,"SPO3187_37010"
"C2",0.308,"SPO3186_48115"
"D3",0.306,"SPO3186_4607"
"B3",0.299,"DSS3"
"F5",0.29,"SPO3187_37010"
"G3",0.289,"SPO3186_4607"
"C3",0.27,"SPO3186_4607"
"B2",0.266,"DSS3"
"E4",0.265,"SPO3187_108C1"
"D4",0.263,"SPO3187_108C1"
"E5",0.263,"SPO3187_37010"
"F11",0.242,"SPO3185_110715"
"G5",0.235,"SPO3187_37010"
"E11",0.23,"SPO3185_110715"
"D11",0.212,"SPO3185_110715"
"C4",0.202,"SPO3187_108C1"
"C11",0.201,"SPO3185_110715"
"C5",0.199,"SPO3187_37010"
"B6",0.196,"DSS3"
"B5",0.194,"DSS3"
"G4",0.192,"SPO3187_108C1"
"D2",0.189,"SPO3186_48115"
"G11",0.181,"SPO3185_110715"
"F4",0.171,"SPO3187_108C1"
"B4",0.135,"DSS3"
"C10",0.00599999999999999,"SPO3192_117L10"
"D10",0.00499999999999999,"SPO3192_117L10"
"E10",0.00499999999999999,"SPO3192_117L10"
"F10",0.00399999999999999,"SPO3192_117L10"
"G10",0.00399999999999999,"SPO3192_117L10"
"C7",0.002,"SPO3189_43B4"
"B12",0.002,"DSS3_Kan"
"D6",0.00199999999999999,"SPO3189_17N5"
"F6",0.00199999999999999,"SPO3189_17N5"
"E7",0.00199999999999999,"SPO3189_43B4"
"C9",0.00199999999999999,"SPO3192_23A2"
"D9",0.00199999999999999,"SPO3192_23A2"
"E9",0.00199999999999999,"SPO3192_23A2"
"F9",0.00199999999999999,"SPO3192_23A2"
"G9",0.00199999999999999,"SPO3192_23A2"
"C12",0.00199999999999999,"DSS3_Kan"
"C6",0.001,"SPO3189_17N5"
"G6",0.001,"SPO3189_17N5"
"D7",0.001,"SPO3189_43B4"
"D8",0.001,"SPO3190"
"G8",0.001,"SPO3190"
"E12",0.001,"DSS3_Kan"
"F12",0.001,"DSS3_Kan"
"E6",0.000999999999999987,"SPO3189_17N5"
"F7",0.000999999999999987,"SPO3189_43B4"
"G7",0.000999999999999987,"SPO3189_43B4"
"C8",0.000999999999999987,"SPO3190"
"E8",0.000999999999999987,"SPO3190"
"F8",0.000999999999999987,"SPO3190"
"D12",0.000999999999999987,"DSS3_Kan"
