"Max_OD600","SD_OD600","Treatment"
0.1001875,0.0202051764507958,"DSS3_N_methyl_glutamic_acid"
0.09235,0.0183217090177805,"SPO3186_48115_N_methyl_glutamic_acid"
0.087975,0.0155840968586422,"SPO3186_46D7_N_methyl_glutamic_acid"
0.0870125,0.0107447085390921,"SPO3186_46D7_Homarine"
0.0848125,0.00879606361464455,"SPO3186_48115_Homarine"
0.0778125,0.0108607142863961,"DSS3_Hom"
0.0762625,0.010103867194715,"SPO3186_46D7_Carn"
0.0761666666666667,0.0114478266356566,"DSS3_Carn"
0.0704166666666667,0.010663909121215,"DSS3_Carn_Kan"
0.0694125,0.00919864540696687,"SPO3186_48115_Carn"
0.0519791666666667,0.00517952525989548,"DSS3_GBT"
0.0500625,0.00440685571061989,"DSS3_GBT_Kan"
0.0478125,0.00192322388131271,"SPO3186_48115_DMSP"
0.0465208333333333,0.00239425226973027,"DSS3_DMSP"
0.0451625,0.00194415260771951,"SPO3186_48115_GBT"
0.0442875,0.00308605044099694,"SPO3186_46D7_GBT"
0.0435416666666667,0.0056706122554262,"DSS3_Hom_Kan"
0.0421625,0.00266817342494871,"SPO3186_46D7_DMSP"
0.0418541666666667,0.00191672695789736,"DSS3_DMSP_Kan"
0.0378541666666667,0.00258281256690162,"DSS3_N_methyl_glutamic_acid_Kan"
