"Treatment","Avg_Max_OD600","SD_Max_OD600"
"DSS3",0.218,0.0648344044470218
"DSS3_Kan",0.0014,0.000547722557505165
"SPO3185_110715",0.2132,0.023972901368003
"SPO3186_4607",0.3114,0.0354654761704957
"SPO3186_48115",0.3188,0.080191645450134
"SPO3187_108C1",0.2186,0.0429336697709385
"SPO3187_37010",0.2602,0.0451962387815623
"SPO3189_17N5",0.00139999999999999,0.000547722557505162
"SPO3189_43B4",0.00139999999999999,0.000547722557505168
"SPO3190",0.000999999999999993,7.60179599084477e-18
"SPO3192_117L10",0.00479999999999999,0.000836660026534076
"SPO3192_23A2",0.00199999999999999,0
