"Replicate","Max_OD600","Treatment"
"B4",0.093,"DSS3_Hom12"
"C4",0.084,"DSS3_Hom12"
"D4",0.073,"DSS3_Hom12"
"G9",0.048,"SPO3191_NMGA"
"C8",0.048,"DSS3_Hom4"
"B12",0.046,"DSS3_NMGA"
"C12",0.045,"DSS3_NMGA"
"D9",0.043,"SPO3191_NMGA"
"E9",0.043,"SPO3191_NMGA"
"D12",0.042,"DSS3_NMGA"
"D8",0.041,"DSS3_Hom4"
"C9",0.041,"SPO3191_NMGA"
"E3",0.038,"SPO1585_Hom12"
"C3",0.038,"SPO1585_Hom12"
"F12",0.038,"DSS3_NMGA_KAN"
"G12",0.037,"DSS3_NMGA_KAN"
"D3",0.036,"SPO1585_Hom12"
"F3",0.035,"SPO1585_Hom12"
"G3",0.034,"SPO1585_Hom12"
"B3",0.033,"SPO1585_Hom12"
"F9",0.033,"SPO3191_NMGA"
"B8",0.032,"DSS3_Hom4"
"B9",0.032,"SPO3191_NMGA"
"E12",0.031,"DSS3_NMGA_KAN"
"E7",0.026,"SPO1585_Hom4"
"G7",0.026,"SPO1585_Hom4"
"F7",0.026,"SPO1585_Hom4"
"D2",0.024,"SPO1588_Hom12"
"B2",0.023,"SPO1588_Hom12"
"E6",0.022,"SPO1588_Hom4"
"G6",0.022,"SPO1588_Hom4"
"C2",0.022,"SPO1588_Hom12"
"C7",0.021,"SPO1585_Hom4"
"C6",0.021,"SPO1588_Hom4"
"F6",0.02,"SPO1588_Hom4"
"G2",0.019,"SPO1588_Hom12"
"D7",0.019,"SPO1585_Hom4"
"F2",0.019,"SPO1588_Hom12"
"E2",0.018,"SPO1588_Hom12"
"D6",0.018,"SPO1588_Hom4"
"G8",0.018,"DSS3_Hom4_KAN"
"F4",0.017,"DSS3_Hom12_KAN"
"G4",0.017,"DSS3_Hom12_KAN"
"E8",0.017,"DSS3_Hom4_KAN"
"E4",0.016,"DSS3_Hom12_KAN"
"F8",0.016,"DSS3_Hom4_KAN"
"B6",0.015,"SPO1588_Hom4"
"B7",0.014,"SPO1585_Hom4"
"B5",0.012,"SPO3191_Hom4"
"C5",0.012,"SPO3191_Hom4"
"G5",0.012,"SPO3191_Hom4"
"D5",0.011,"SPO3191_Hom4"
"F5",0.011,"SPO3191_Hom4"
"E10",0.01,"SPO1588_NMGA"
"G10",0.01,"SPO1588_NMGA"
"G11",0.01,"SPO1585_NMGA"
"E5",0.00899999999999999,"SPO3191_Hom4"
"C10",0.00899999999999999,"SPO1588_NMGA"
"F10",0.00899999999999999,"SPO1588_NMGA"
"C11",0.00899999999999999,"SPO1585_NMGA"
"E11",0.00899999999999999,"SPO1585_NMGA"
"F11",0.00899999999999999,"SPO1585_NMGA"
"B11",0.00800000000000001,"SPO1585_NMGA"
"D11",0.00799999999999999,"SPO1585_NMGA"
"B1",0.005,"SPO3191_Hom12"
"E1",0.005,"SPO3191_Hom12"
"F1",0.005,"SPO3191_Hom12"
"G1",0.005,"SPO3191_Hom12"
"C1",0.00499999999999999,"SPO3191_Hom12"
"D1",0.00499999999999999,"SPO3191_Hom12"
"D10",0.00499999999999999,"SPO1588_NMGA"
"B10",0.00399999999999999,"SPO1588_NMGA"
