"Max_OD600","SD_OD600","Treatment"
0.18,0.0234099950937282,"DSS3_Hom12"
0.146,0.00826878606894499,"SPO1585_Hom12"
0.141,0.0148190524345501,"DSS3_NMGA"
0.136,0.0117685184929337,"SPO3191_NMGA"
0.132,0.00827428482224767,"DSS3_Hom4"
0.13,0.0108446421885388,"DSS3_NMGA_KAN"
0.124,0.00506668062467587,"SPO1588_Hom4"
0.122,0.00378136034800225,"SPO1588_Hom12"
0.119,0.00549158166986276,"SPO1585_Hom4"
0.111,0.00243611687455994,"SPO1585_NMGA"
0.11,0.00248005439223134,"SPO1588_NMGA"
0.105,0.00285500659913039,"SPO3191_Hom12"
0.105,0.00209054649079921,"DSS3_Hom12_KAN"
0.103,0.00217122442647547,"DSS3_Hom4_KAN"
0.102,0.00237361226712133,"SPO3191_Hom4"
