"Max_OD600","SD_OD600","Treatment"
0.10475,0.0214125171299899,"SPO3186_46D7_N_methyl_glutamic_acid"
0.1036875,0.0231608587148876,"SPO3186_48115_N_methyl_glutamic_acid"
0.10275,0.00528579165354596,"SPO3186_48115_DMSP"
0.1018125,0.0273815838466009,"DSS3_N_methyl_glutamic_acid"
0.10175,0.015840061505029,"DSS3_Carn"
0.09975,0.0122848017445062,"DSS3_Carn_Kan"
0.09975,0.0119385568436355,"SPO3186_48115_Carn"
0.09775,0.00579671787626637,"SPO3186_46D7_DMSP"
0.09375,0.00470819836908423,"DSS3_DMSP_Kan"
0.091875,0.0138934667873626,"SPO3186_46D7_Homarine"
0.08875,0.004596709455737,"DSS3_DMSP"
0.0868125,0.0115244961136985,"SPO3186_48115_Homarine"
0.0848125,0.0145565151043604,"SPO3186_46D7_Carn"
0.08475,0.00469975768886184,"SPO3186_48115_GBT"
0.081875,0.0144999788495227,"DSS3_Hom"
0.07875,0.00496670102545469,"SPO3186_46D7_GBT"
0.06275,0.00480605421274534,"DSS3_GBT"
0.06175,0.00391043326377325,"DSS3_GBT_Kan"
0.043875,0.00549680580728261,"DSS3_Hom_Kan"
0.039875,0.00357290647390167,"DSS3_N_methyl_glutamic_acid_Kan"
