isolate,paired_ttest_p,paired_ttest_sig,Sum_SigPosGrowth,Sum_SigNegGrowth,hom_growth_status
BHi05,0.00378,1,1,0,grower
BHi07,5.51e-4,1,0,0,maybe_grower
BHi08,8.64e-4,1,2,0,grower
BHi10,0.0461,1,0,0,maybe_grower
DSS-3,5.23e-4,1,3,0,grower
G4I07,0.0201,1,0,0,maybe_grower
G4i01,0.0806,0,0,1,non_grower
G4i02,0.00388,1,2,0,grower
G4i03,0.00101,1,2,0,grower
G4i04,0.304,0,0,0,non_grower
G4i05,0.116,0,0,0,non_grower
G4i08,4.29e-4,1,2,0,grower
G4i09,0.00104,1,3,0,grower
G4i10,7.73e-5,1,3,0,grower
G4i11,1.96e-5,1,3,0,grower
G4i12,6.33e-4,1,1,0,grower
G4i13,0.0477,1,1,1,maybe_grower
G4i14,0.0289,1,0,0,maybe_grower
G4i15,0.103,0,1,1,maybe_grower
G4i16,0.419,0,0,0,non_grower
G4i17,0.574,0,0,0,non_grower
G4i18,5.66e-4,1,1,0,grower
G4i19,0.765,0,1,0,maybe_grower
G4i20,0.46,0,1,0,maybe_grower
G4i21,0.912,0,0,0,non_grower
G4i22,0.576,0,0,0,non_grower
G4i23,8.99e-4,1,4,0,grower
G4i24,0.00138,1,2,0,grower
G4i25,0.652,0,0,0,non_grower
G4i26,0.00121,1,0,0,maybe_grower
G4i27,2.78e-4,1,4,0,grower
G4i28,0.802,0,0,0,non_grower
G4i29,0.192,0,1,0,maybe_grower
G4i30,0.232,0,0,0,non_grower
G4i31,0.128,0,3,0,maybe_grower
G4i32,9.53e-7,1,2,0,grower
G4i33,0.322,0,0,0,non_grower
G4i34,8.14e-5,1,2,0,grower
G4i35,0.00191,1,3,0,grower
G4i36,4.04e-4,1,2,0,grower
G4i37,6.22e-4,1,3,0,grower
G4i38,0.612,0,1,1,maybe_grower
G4i39,5.72e-5,1,3,0,grower
G4i40,0.67,0,0,0,non_grower
G4i42,0.748,0,1,2,maybe_grower
G4i43,0.339,0,0,0,non_grower
G4i44,0.00423,1,0,0,maybe_grower
G4i45,3.32e-6,1,2,0,grower
G4i47,0.0487,1,1,2,maybe_grower
G4i49,0.0967,0,0,0,non_grower
G4i50,0.488,0,0,0,non_grower
G4i51,0.873,0,0,0,non_grower
G4i52,8.77e-4,1,3,0,grower
G4i53,0.31,0,0,0,non_grower
G4i54,0.0123,1,0,0,maybe_grower
G4i55,8.34e-4,1,0,0,maybe_grower
G4i56,0.0783,0,0,2,non_grower
G4i57,0.0307,1,2,0,grower
G4i58,0.0552,0,0,2,non_grower
G4i59,3.02e-6,1,3,0,grower
G4i60,0.419,0,0,0,non_grower
G4i61,0.00768,1,0,0,maybe_grower
G4i62,0.237,0,1,2,maybe_grower
G4i63,5.35e-4,1,3,0,grower
G4i64,6.67e-5,1,2,0,grower
G4i66,0.00122,1,2,0,grower
G4i67,0.0764,0,0,0,non_grower
G4i68,0.00374,1,0,0,maybe_grower
G4i69,0.069,0,0,0,non_grower
G4i70,0.0834,0,0,2,non_grower
G4i71,0.00158,1,2,0,grower
G4i72,0.0224,1,3,0,grower
OBi1,0.00428,1,2,0,grower
PSi01,0.00187,1,1,0,grower
PSi02,0.119,0,1,0,maybe_grower
PSi03,0.0676,0,0,0,non_grower
PSi04,0.684,0,0,0,non_grower
PSi05,0.0131,1,0,0,maybe_grower
PSi06,0.496,0,0,1,non_grower
PSi07,0.043,1,1,0,grower
PSi08,0.0396,1,0,0,maybe_grower
PSi09,0.00194,1,0,0,maybe_grower
PSi10,0.00706,1,0,0,maybe_grower
PSi11,0.00125,1,3,0,grower
PSi12,0.00193,1,2,0,grower
PSi13,5.1e-4,1,2,0,grower
PSi14,3.23e-4,1,3,0,grower
PSi15,0.0148,1,0,0,maybe_grower
PSi16,0.391,0,0,0,non_grower
PSi17,0.074,0,0,0,non_grower
PSi18,2.69e-4,1,3,0,grower
PSi19,0.16,0,0,0,non_grower
PSi20,8.44e-4,1,2,0,grower
PSi21,0.0939,0,0,0,non_grower
PSi22,0.0656,0,2,0,maybe_grower
PSi23,9.83e-4,1,1,0,grower
PSi24,0.0533,0,0,0,non_grower
PSi25,0.288,0,0,0,non_grower
PSi26,0.0107,1,0,0,maybe_grower
PSi27,0.585,0,0,0,non_grower
PSi28,0.019,1,0,0,maybe_grower
PSi29,0.00148,1,4,0,grower
PSi30,1.5e-4,1,3,0,grower
PSi31,0.00412,1,1,0,grower
PSi32,0.0311,1,0,0,maybe_grower
PSi33,0.203,0,0,0,non_grower
PSi34,0.844,0,0,0,non_grower
PSi35,0.742,0,0,0,non_grower
PSi36,0.0037,1,3,0,grower
PSi37,0.0017,1,3,0,grower
PSi38,0.00201,1,0,0,maybe_grower
PSi39,0.972,0,0,0,non_grower
RWi1,5.69e-5,1,3,0,grower
RWi10,0.492,0,0,0,non_grower
RWi11,0.00614,1,0,0,maybe_grower
RWi12,0.177,0,0,0,non_grower
RWi13,0.683,0,1,0,maybe_grower
RWi2,2.34e-5,1,4,0,grower
RWi3,0.25,0,0,0,non_grower
RWi4,6.2e-6,1,3,0,grower
RWi5,1.05e-5,1,3,0,grower
RWi6,5.47e-7,1,4,0,grower
RWi7,6.51e-5,1,1,0,grower
RWi8,0.00347,1,3,0,grower
RWi9,0.0255,1,0,0,maybe_grower
