mf_id,scan_time,mz,apex_scan,intensity,persistence,area,monoisotopic_mf_id,isotopologue_type,samp_name,mode,treatment,mf_id_samp,mono_mf_id_samp,homarine
64,10.786673545837402,713.06658935546875,1407,10673088,10600541,870164.0799608231,64,C12,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,64_230724_Smp_G4_1_C-H_t0_A_positive,64_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
125,10.80197811126709,711.0726318359375,1409,8155948,8083401,696353.3594460487,6391,13C1,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,125_230724_Smp_G4_1_C-H_t0_A_positive,6391_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
526,10.786673545837402,717.0592041015625,1407,4606352,4533805,363426.11256337166,526,C12,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,526_230724_Smp_G4_1_C-H_t0_A_positive,526_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
1921,10.786673545837402,719.05767822265625,1407,1875069.125,1802522,154780.28017377853,1921,C12,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,1921_230724_Smp_G4_1_C-H_t0_A_positive,1921_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
1936,14.66348361968994,592.996826171875,1907,1861212,1788665,231281.80913357995,1936,C12,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,1936_230724_Smp_G4_1_C-H_t0_A_positive,1936_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
2155,0.05302678793668747,95.04961395263672,7,1678932,1606385,257758.50799393293,6005,13C1,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,2155_230724_Smp_G4_1_C-H_t0_A_positive,6005_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
2180,9.17626667022705,713.06610107421875,1199,1657657.375,1585110,148134.56238901615,2180,C12,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,2180_230724_Smp_G4_1_C-H_t0_A_positive,2180_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
2281,10.84782600402832,715.07855224609375,1415,1586292.625,1513745,128904.111287117,64,2H2,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,2281_230724_Smp_G4_1_C-H_t0_A_positive,64_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
2501,10.924792289733888,715.07843017578125,1425,1430052.75,1357505,151076.0934442128,64,2H2,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,2501_230724_Smp_G4_1_C-H_t0_A_positive,64_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
2800,10.553542137145996,712.070068359375,1377,1276850.375,1204303,118700.94736802578,48477,2H3,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,2800_230724_Smp_G4_1_C-H_t0_A_positive,48477_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
2989,9.145913124084473,711.068115234375,1195,1202164.625,1129617,117411.27260953188,2989,C12,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,2989_230724_Smp_G4_1_C-H_t0_A_positive,2989_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
3664,10.80197811126709,707.0745849609375,1409,1009415,936868,81259.71652466059,3664,C12,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,3664_230724_Smp_G4_1_C-H_t0_A_positive,3664_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
4136,10.786673545837402,716.06005859375,1407,908155.875,835608,69607.55761289597,18646,2H3,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,4136_230724_Smp_G4_1_C-H_t0_A_positive,18646_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
4216,10.924792289733888,709.0863037109375,1425,893215.9375,820668,101341.2159219262,3664,2H2,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,4216_230724_Smp_G4_1_C-H_t0_A_positive,3664_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
4464,9.099425315856934,713.06207275390625,1189,852453.8125,779906,109269.87029224448,4464,C12,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,4464_230724_Smp_G4_1_C-H_t0_A_positive,4464_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
4926,10.940610885620115,709.0870361328125,1427,782429.125,709882,56866.875165271456,3664,2H2,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,4926_230724_Smp_G4_1_C-H_t0_A_positive,3664_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
6005,0.10726183652877808,94.0456314086914,13,666540.8125,593993,84212.5600723247,6005,C12,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,6005_230724_Smp_G4_1_C-H_t0_A_positive,6005_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
6192,10.87888240814209,874.07012939453125,1419,649819.125,577272,62963.34510246874,32643,13C2,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,6192_230724_Smp_G4_1_C-H_t0_A_positive,32643_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
6391,10.80197811126709,710.071044921875,1409,632232.75,559685,57394.9519790411,6391,C12,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,6391_230724_Smp_G4_1_C-H_t0_A_positive,6391_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
6687,9.145913124084473,713.05694580078125,1195,611996.6875,539449,52133.24384713173,15526,13C2,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,6687_230724_Smp_G4_1_C-H_t0_A_positive,15526_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
6990,10.755529403686523,713.08624267578125,1403,590317.5625,517770,33811.74601408839,6391,2H2,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,6990_230724_Smp_G4_1_C-H_t0_A_positive,6391_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
7861,9.130754470825195,713.0562744140625,1193,536748.9375,464201,52133.24384713173,15526,13C2,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,7861_230724_Smp_G4_1_C-H_t0_A_positive,15526_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
8644,10.924792289733888,713.08624267578125,1425,497872.75,425325,48466.45028634393,6391,2H2,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,8644_230724_Smp_G4_1_C-H_t0_A_positive,6391_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
8804,9.099425315856934,713.05694580078125,1189,491594.65625,419047,28370.041317999363,15526,13C2,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,8804_230724_Smp_G4_1_C-H_t0_A_positive,15526_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
10054,9.237259864807127,715.07843017578125,1207,446325.3125,373778,35885.18930441141,2180,2H2,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,10054_230724_Smp_G4_1_C-H_t0_A_positive,2180_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
10166,10.87888240814209,873.06597900390625,1419,442926.96875,370379,43126.39352386736,32643,13C1,230724_Smp_G4_1_C-H_t0_A,positive,Control_1,10166_230724_Smp_G4_1_C-H_t0_A_positive,32643_230724_Smp_G4_1_C-H_t0_A_positive,FALSE
