mf_id,scan_time,mz,apex_scan,intensity,persistence,area,monoisotopic_mf_id,isotopologue_type
2,14.641439437866211,194.92686462402344,1904.0,123734480.0,123224414.0,84425391.02507007,,
5,1.5737117528915405,212.07496643066406,202.0,63160680.0,62650614.0,45021598.26911831,5,
7,4.342988014221191,61.987125396728516,566.0,60986596.0,60476530.0,55035371.61011219,,
9,7.931523323059082,80.91571807861328,1036.0,50170928.0,49660862.0,12821907.50868988,,
10,14.641439437866211,98.9546127319336,1904.0,47166660.0,46656594.0,26184893.753514767,,
11,7.931523323059082,78.91759490966797,1036.0,41609832.0,41099766.0,48653488.92510414,,
13,4.312884330749512,248.9730224609375,562.0,30929652.0,30419586.0,6881824.945121765,,
15,0.015485323965549469,76.98681640625,2.0,28152920.0,27642854.0,4776253.330339402,,
22,14.641439437866211,194.92906188964844,1904.0,20953506.0,20443440.0,11256987.565224528,,
23,0.0774223729968071,61.987125396728516,10.0,22999212.0,19802140.0,2694172.8071386367,,
24,10.805858612060547,96.96868896484375,1408.0,20298470.0,19788404.0,5541546.644351959,,
28,1.5285767316818237,212.0725555419922,196.0,19580752.0,19070686.0,11713782.165086031,28,
30,1.4043171405792236,106.03987884521484,180.0,18849262.0,18339196.0,2057444.5516171455,,
31,11.258978843688965,267.0726623535156,1466.0,18040222.0,17530156.0,7332573.803565139,31,
33,0.7402989864349365,248.9730224609375,94.0,26810876.0,17227700.0,4687593.26475811,,
40,11.337409973144531,248.97396850585938,1476.0,14555475.0,14045409.0,2777859.094139099,,
49,4.312884330749512,248.97091674804688,562.0,12958248.0,11919987.0,4628586.425893784,,
53,14.61148738861084,196.92300415039062,1900.0,11783469.0,11273403.0,2137984.8597654104,,
58,0.03193935751914978,212.07513427734375,4.0,22430308.0,10659697.0,3564141.06263189,,
59,10.867419242858887,248.9719696044922,1416.0,11503302.0,10385083.0,5978304.566791534,,
63,0.0774223729968071,74.99261474609375,10.0,10673049.0,10162983.0,1377090.650374109,,
71,14.61148738861084,212.0743408203125,1900.0,19608080.0,9233859.0,6533733.970996857,71,
72,0.0774223729968071,90.97012329101562,10.0,9712119.0,9202053.0,962410.9207454622,,
88,0.10978253185749054,83.02381896972656,14.0,8852272.0,8342206.0,1337770.3040846884,,
89,6.726033687591553,106.03987884521484,878.0,11925362.0,8320945.0,1747198.7886219025,,
90,16.24956512451172,96.958984375,2110.0,9589408.0,8274633.0,1578241.6829547882,,
95,4.297784328460693,248.9750213623047,560.0,16555287.0,8123286.0,4209556.035140991,,
100,14.671272277832031,96.95516204833984,1908.0,8413171.0,7880526.0,1307197.145811081,,
101,14.641439437866211,98.96305084228516,1904.0,8488051.0,7855284.0,1790341.5411281586,,
102,10.867419242858887,212.07337951660156,1416.0,8357390.0,7847324.0,3458083.541879654,102,
103,12.745059967041016,212.07406616210938,1658.0,18295912.0,7797441.0,4260056.520439148,103,
122,10.805858612060547,98.96566009521484,1408.0,7743585.0,7233519.0,2100066.4865455627,,
128,7.871823787689209,61.99525833129883,1028.0,7977052.5,7038718.0,2789390.0722818375,,
134,0.7402989864349365,248.97091674804688,94.0,10537070.0,6939216.0,2263985.8287056684,,
137,14.56657886505127,248.97315979003906,1894.0,15792322.0,6849418.0,2871915.6371307373,,
145,8.767875671386719,248.97421264648438,1144.0,16331569.0,6722701.0,3002842.980682373,,
147,14.656335830688477,106.03987884521484,1906.0,7797447.5,6686779.0,1031414.8056516647,,
150,1.5285767316818237,213.07823181152344,196.0,7162008.0,6651942.0,4777693.9400423765,5,13C1
153,6.49306058883667,248.97396850585938,848.0,21967356.0,6585887.0,4175693.4448547363,,
164,0.7402989864349365,156.01170349121094,94.0,6956522.0,6343610.0,1892972.2295083404,,
165,17.165300369262695,212.0732421875,2228.0,12525061.0,6324938.0,2485592.478328705,165,
169,7.886784076690674,212.07496643066406,1030.0,17412090.0,6251039.0,3170103.6127376556,,
184,4.20683479309082,212.07420349121094,548.0,18013788.0,6014303.0,3375694.804748535,,
205,0.10978253185749054,109.03948974609375,14.0,6200212.5,5690146.0,782748.7055128999,,
215,0.0774223729968071,132.98324584960938,10.0,6153478.0,5643412.0,461229.5118132746,,
218,0.03193935751914978,212.07591247558594,4.0,14521628.0,5610270.0,2667663.0818939805,,
222,14.701824188232422,96.96182250976562,1912.0,8467189.0,5524529.0,839284.7690887451,,
224,0.10978253185749054,68.01290893554688,14.0,6004792.5,5494726.0,908594.6460525058,,
240,12.60617446899414,212.07579040527344,1640.0,13246876.0,5216033.0,2535435.8324127197,240,
252,0.0774223729968071,80.96398162841797,10.0,5630551.0,5120485.0,1511688.3470785692,,
259,8.055764198303223,62.99606704711914,1052.0,5730204.0,5041790.0,2141744.07305336,,
278,22.74843406677246,106.03987884521484,2950.0,5982507.0,4904253.0,925288.1754436493,,
282,11.568888664245605,165.01841735839844,1506.0,5380180.5,4870114.0,1783499.9231539965,,
