mf_id,scan_time,mz,apex_scan,intensity,persistence,area,monoisotopic_mf_id,isotopologue_type
1,14.689891815185547,96.958984375,1912.0,1232472320.0,1231856080.0,285236050.47457755,1,
4,14.704867362976074,194.92715454101562,1914.0,147531840.0,146915600.0,107299432.65506077,,
7,14.689891815185547,98.95484924316406,1912.0,57665464.0,57049224.0,20192000.55461856,,
8,8.222089767456055,80.91571807861328,1076.0,55039244.0,54423004.0,22582422.37879944,,
11,4.572690486907959,61.98715591430664,596.0,48410272.0,47794032.0,43390127.57547188,,
12,8.301664352416992,78.91777038574219,1086.0,44998736.0,44382496.0,45359248.70787239,,
16,4.982968807220459,248.97311401367188,650.0,27575262.0,26959022.0,4614093.849891663,,
18,0.990715742111206,212.07505798339844,126.0,25519070.0,24902830.0,3853301.6862180233,18,
20,0.032174523919820786,76.98680114746094,4.0,22320640.0,21704400.0,4362178.716324836,,
22,12.147361755371094,146.045166015625,1584.0,21022582.0,20406342.0,11851267.451844871,,
23,11.070520401000977,96.96868133544922,1444.0,20229448.0,19613208.0,8506999.081073761,,
27,6.445806503295898,106.04005432128906,842.0,21108528.0,17060320.0,2841532.697341919,,
29,14.704867362976074,194.92933654785156,1914.0,19169584.0,16686407.0,9661394.909005165,,
30,14.689891815185547,194.92498779296875,1912.0,29754962.0,15747745.0,12706891.697196007,,
32,0.07771584391593933,61.98715591430664,10.0,18293682.0,15382437.0,2209033.702899374,,
35,6.992852687835693,124.99051666259766,914.0,15511835.0,14895595.0,6581760.840003796,,
38,1.9844191074371338,106.04005432128906,256.0,18097488.0,14028931.0,2118099.1288113594,,
47,22.831058502197266,212.07521057128906,2946.0,13510474.0,12894234.0,3376175.9579162598,47,
53,14.659525871276855,196.9232177734375,1908.0,12471758.0,11855518.0,4427927.496572554,,
57,5.696005821228027,94.97956848144531,744.0,12570331.0,11140465.0,2740395.489112854,,
72,14.674484252929688,97.95828247070312,1910.0,10388387.0,9772147.0,2241949.1384751946,4091,13C1
84,8.301664352416992,212.07601928710938,1086.0,9956372.0,9294521.0,2025642.1874542236,84,
