mf_id,scan_time,mz,apex_scan,intensity,persistence,area,monoisotopic_mf_id,isotopologue_type
1,14.5823335647583,96.95882415771484,1902.0,1042586240.0,1042064947.0,400848102.6610265,,
6,14.56737232208252,194.92666625976562,1900.0,123351608.0,122830315.0,22389902.340503216,,
9,4.235292911529541,61.98712158203125,554.0,89960320.0,89439027.0,83812506.55064416,,
17,7.742722034454346,78.91769409179688,1014.0,41570076.0,41048783.0,31968204.20572716,,
18,14.612788200378418,194.92877197265625,1906.0,35636264.0,35114971.0,25830576.281116057,,
19,2.699361801147461,114.93510437011719,352.0,31328488.0,30807195.0,14055433.778118713,,
20,6.981481552124023,248.97357177734375,914.0,30238274.0,29716981.0,4152320.8026657104,,
25,6.6310133934021,124.99029541015625,868.0,26278906.0,25757613.0,8224834.5757243335,,
32,11.841872215270996,146.0448455810547,1546.0,23449744.0,22928451.0,9619391.394783974,32,
33,0.03005358949303627,212.0748291015625,4.0,23218260.0,22696967.0,4075595.7931998596,33,
35,11.690269470214844,94.97942352294922,1526.0,22524534.0,22003241.0,4298922.684333801,,
36,14.900962829589844,212.07470703125,1944.0,21608630.0,21087337.0,3860493.0821876526,36,
38,0.0785803273320198,74.99259185791016,10.0,20669718.0,20148425.0,1771260.710833503,,
42,10.798441886901855,96.96853637695312,1410.0,20258374.0,19737081.0,7963071.498058319,,
49,22.613773345947266,212.0752716064453,2938.0,17474584.0,16953291.0,4522391.180923462,49,
50,3.0057013034820557,106.04000091552734,392.0,20950150.0,16785572.0,3411817.4658079147,,
51,11.447250366210938,248.97341918945312,1494.0,16956138.0,16434845.0,4118707.570011139,,
58,2.517869472503662,212.07553100585938,328.0,15664523.0,15143230.0,3321922.216835022,58,
59,0.6217535734176636,248.97341918945312,80.0,25976856.0,14948721.0,6793149.987782478,,
67,2.699361801147461,116.93341064453125,352.0,14465108.0,13943815.0,7087850.366425114,,
75,5.01475191116333,106.04000091552734,656.0,18724232.0,13276968.0,2326002.356376648,,
76,14.56737232208252,194.92446899414062,1900.0,13526316.0,13005023.0,4048000.9040619135,,
79,8.54101848602295,248.97447204589844,1118.0,13395529.0,12874236.0,2768863.420211792,,
80,0.0785803273320198,90.97025299072266,10.0,13385341.0,12864048.0,1016628.9527555469,,
102,2.209738254547119,248.97357177734375,288.0,25963002.0,11171220.0,4598281.767039299,,
103,14.627690315246582,196.92271423339844,1908.0,11601442.0,11080149.0,5815250.464521665,,
127,0.1596318632364273,61.98712158203125,20.0,12656653.0,9422939.0,7574352.958143249,,
152,14.612788200378418,97.95834350585938,1906.0,9196496.0,8675203.0,4247296.29560253,231,13C1
168,11.247724533081055,267.07183837890625,1468.0,8818402.0,8297109.0,3497468.5159837226,,
170,17.164140701293945,212.07456970214844,2234.0,20234668.0,8255480.0,3216819.546897888,,
