mf_id,scan_time,mz,apex_scan,intensity,persistence,area,monoisotopic_mf_id,isotopologue_type
1,8.010224342346191,118.08645629882812,1043.0,167854288.0,167770361.0,101346202.60662937,1,
2,0.05261814221739769,214.0895538330078,7.0,62180984.0,62097057.0,8013763.236261599,2,
3,4.019075870513916,112.11227416992188,523.0,60818456.0,60734529.0,17441517.527420044,,
6,2.134636878967285,195.12271118164062,277.0,41252784.0,41168857.0,10497223.371625777,6,
11,11.339529991149902,147.0762176513672,1473.0,21875218.0,21791291.0,9296035.383614186,11,
13,10.075235366821289,132.10203552246094,1311.0,19085506.0,19001579.0,10121509.771305405,13,
14,0.6352245211601257,296.0462951660156,81.0,18959328.0,18875401.0,3463929.780983448,14,
16,1.8163787126541138,112.11227416992188,235.0,55805984.0,18555600.0,20858806.57473564,16,
19,11.415770530700684,179.07345581054688,1483.0,16065217.0,15981290.0,6679897.305386314,19,
20,11.216264724731445,252.14456176757812,1457.0,16033886.0,15949959.0,7777592.307293568,20,
22,0.08656172454357147,123.04072570800781,11.0,15334489.0,15250562.0,1387274.2722857278,22,
23,9.089385986328125,121.0320053100586,1183.0,15089227.0,15005300.0,7412960.097849023,23,
25,10.357588768005371,135.0472869873047,1347.0,14587855.0,14503928.0,7559397.486819727,25,
27,11.339529991149902,130.05006408691406,1473.0,14091526.0,14007599.0,6041974.064485572,27,
29,2.255248546600342,202.18035888671875,293.0,13592443.0,13508516.0,5146727.394715199,29,
31,2.134636878967285,240.1808319091797,277.0,13329865.0,13245938.0,3052850.7766685374,31,
33,11.8445463180542,148.06056213378906,1539.0,13121261.0,13037334.0,6154658.839762032,33,
35,5.959818363189697,112.11227416992188,777.0,59288924.0,12678432.0,10891115.5026474,,
36,2.1047370433807373,114.09170532226562,273.0,12757408.0,12673481.0,3673835.831091799,36,
39,0.10398238897323608,74.0971450805664,13.0,12298783.0,12214856.0,1899151.0333868898,39,
40,0.6352245211601257,296.0435485839844,81.0,12064990.0,11981063.0,2517035.501732588,40,
41,14.56629467010498,133.02783203125,1891.0,12063431.0,11979504.0,5397436.694949225,,
43,1.617834210395813,274.2737731933594,209.0,11825947.0,11742020.0,10088075.200368762,43,
51,0.05261814221739769,214.0870361328125,7.0,10227582.0,10143655.0,2054371.073888775,51,
61,0.037530772387981415,214.09201049804688,5.0,9621004.0,9537077.0,2092888.441304151,61,
62,1.4920912981033325,338.1813659667969,193.0,9583738.0,9499811.0,2082463.6217420513,62,
65,14.581205368041992,248.022216796875,1893.0,9383619.0,9299692.0,6369652.756880946,,
70,9.012887954711914,152.0567626953125,1173.0,9279693.0,9195766.0,4699621.977382146,70,
71,8.02759075164795,119.08985900878906,1045.0,9207337.0,9123410.0,5581850.232127339,1,13C1
73,2.7117764949798584,296.04510498046875,353.0,9135448.0,9051521.0,2048758.6811084747,73,
74,2.255248546600342,284.17071533203125,293.0,9124901.0,9040974.0,1616273.223300538,74,
76,23.7901668548584,123.04035949707031,3071.0,9067231.0,8983304.0,2108668.050304413,76,
77,8.384818077087402,250.988037109375,1091.0,8998410.0,8914483.0,1859274.798286438,77,
80,2.134636878967285,212.14895629882812,277.0,8914411.0,8830484.0,2279095.9643351035,80,
89,24.789501190185547,214.08941650390625,3199.0,8556020.0,8472093.0,1890597.7801361084,,
95,0.10398238897323608,111.0921401977539,13.0,8190151.5,8106224.0,810059.676372841,95,
108,2.134636878967285,195.12490844726562,277.0,7736870.0,7652943.0,3046111.2890109643,108,
124,0.08656172454357147,113.10773468017578,11.0,7526596.5,7442669.0,927027.0664792405,124,
144,5.837660789489746,250.988037109375,761.0,7208873.5,7124946.0,1275341.9619164467,,
149,7.808319568634033,112.11227416992188,1017.0,41125372.0,7074060.0,9353396.988304138,149,
153,10.856938362121582,250.988037109375,1411.0,7792882.5,7004542.0,2716992.2033855915,,
160,8.905912399291992,162.1126708984375,1159.0,7021383.5,6937456.0,4087017.055303041,160,
213,11.231362342834473,333.1296691894531,1459.0,6453997.0,6370070.0,2133414.069012394,213,
215,0.037530772387981415,215.09275817871094,5.0,6445312.0,6361385.0,848257.8700054688,2,13C1
240,10.838668823242188,193.052978515625,1409.0,6251393.0,6167466.0,2343686.399639778,240,
241,7.481071949005127,76.0762939453125,975.0,6249996.0,6166069.0,5375355.897143971,241,
267,8.56847095489502,138.0550994873047,1115.0,6127603.0,6043676.0,2885308.9729328156,267,
277,0.6352245211601257,296.0490417480469,81.0,6042863.5,5958936.0,1711753.3681941032,277,
281,1.6479007005691528,274.2762145996094,213.0,5997322.0,5913395.0,1739775.6557767391,281,
288,16.072511672973633,73.07676696777344,2083.0,5979906.0,5895979.0,548667.4165832996,288,
306,6.325082302093506,138.0552215576172,825.0,5881481.0,5797554.0,1055226.2308168411,306,
380,3.128971576690674,296.04754638671875,407.0,5515789.0,5431862.0,1095544.2279012203,380,
388,1.6779379844665527,302.19671630859375,217.0,5489846.0,5405919.0,1805932.998631578,388,
404,14.491181373596191,250.988037109375,1881.0,6630474.0,5318896.0,1998305.0861406326,,
417,1.4770394563674927,338.17816162109375,191.0,5312858.5,5228931.0,1543517.6602055272,417,
425,10.762055397033691,112.11227416992188,1399.0,36002768.0,5188934.0,8165389.84828186,,
448,0.08656172454357147,100.02481079101562,11.0,5184153.5,5100226.0,343829.71495779697,,
465,1.617834210395813,274.2713623046875,209.0,5034605.5,4950678.0,3378178.581318248,465,
477,2.255248546600342,284.16815185546875,293.0,4976797.0,4892870.0,1070822.9727230452,477,
489,11.476993560791016,245.11277770996094,1491.0,4915935.5,4832008.0,2435303.4290371165,489,
490,10.808005332946777,212.0950927734375,1405.0,7268864.0,4822734.0,1874929.2925662994,490,
497,14.6415433883667,112.11227416992188,1901.0,26065040.0,4788556.0,5830369.756568909,497,
568,0.08656172454357147,166.04629516601562,11.0,4585541.0,4501614.0,269438.08685995336,,
569,0.05261814221739769,158.02688598632812,7.0,4581170.0,4497243.0,597567.1064403644,569,
603,10.746745109558105,715.0691528320312,1397.0,4440481.5,4356554.0,310942.44547758624,,
618,8.336753845214844,98.07168579101562,1085.0,4379861.0,4295934.0,332949.4982075095,,
631,4.370062828063965,296.0461730957031,569.0,4323040.0,4239113.0,838233.8114390373,631,
640,3.480214834213257,296.04766845703125,453.0,4296775.0,4212848.0,1164214.9864201546,,
656,10.68262004852295,717.058837890625,1389.0,4233170.5,4149243.0,605651.1365252939,9568,13C1
666,0.10398238897323608,115.1233901977539,13.0,4202695.5,4118768.0,436267.56573512824,666,
669,11.0916109085083,209.04776000976562,1441.0,4188104.5,4104177.0,1798922.1382918179,669,
695,10.872203826904297,250.98599243164062,1413.0,4082842.75,3998915.0,1242311.6875503063,,
703,0.08656172454357147,141.05076599121094,11.0,4039703.0,3955776.0,356396.5680512509,,
728,9.5045166015625,155.081298828125,1237.0,3949025.75,3865098.0,2042660.7157152556,728,
731,10.495305061340332,709.0715942382812,1365.0,3940217.25,3856290.0,268080.9890778065,731,
733,11.216264724731445,291.0680236816406,1457.0,3935235.5,3851308.0,1407942.7984667718,733,
760,4.509547233581543,296.044921875,587.0,3864822.5,3780895.0,704418.1998429298,760,
763,24.789501190185547,214.09117126464844,3199.0,4261118.5,3774193.0,1679566.1046085358,763,
774,0.08656172454357147,164.0668487548828,11.0,3841996.75,3758069.0,434190.09917061497,,
778,8.336753845214844,73.07676696777344,1085.0,3834810.25,3750883.0,351330.1711435914,,
787,5.320045471191406,250.98599243164062,693.0,3821174.0,3737247.0,779426.7345962524,,
809,8.384818077087402,250.9901580810547,1091.0,3785549.0,3701622.0,934034.2089633942,,
811,3.144054889678955,130.0863037109375,409.0,3779861.5,3695934.0,1616463.8178495318,,
823,3.8520143032073975,95.0859146118164,501.0,3749674.75,3665747.0,793547.9610754251,,
846,1.4920912981033325,338.1846923828125,193.0,3703612.5,3619685.0,1017651.9873771574,846,
854,10.966400146484375,104.0710220336914,1425.0,3673978.75,3590051.0,1641076.0963600576,,
862,2.255248546600342,267.1438903808594,293.0,3659925.0,3575998.0,658495.5490538608,862,
864,24.198593139648438,141.05076599121094,3123.0,3659550.5,3575623.0,830974.2875900269,,
870,7.404655933380127,132.10203552246094,965.0,3649299.75,3565372.0,2662405.451142192,870,
883,2.134636878967285,196.12648010253906,277.0,3605598.5,3521671.0,892163.5085710667,6,13C1
899,11.216264724731445,286.1130065917969,1457.0,3576925.5,3492998.0,1353301.4951909648,899,
908,9.56628704071045,106.08673095703125,1245.0,3547745.0,3463818.0,2517288.2557041496,908,
913,3.1742379665374756,148.09683227539062,413.0,3540587.0,3456660.0,1515485.5006448478,913,
917,7.002427577972412,120.10216522216797,913.0,3532423.75,3448496.0,2014966.0366703067,,
923,0.08656172454357147,88.07624816894531,11.0,3521070.25,3437143.0,1054035.2109370022,,
929,14.581205368041992,593.004638671875,1893.0,3511841.75,3427914.0,494596.9775635367,,
954,1.6779379844665527,302.19390869140625,217.0,3464501.5,3380574.0,1275152.501763992,954,
960,14.321417808532715,164.0668487548828,1859.0,4699448.5,3370088.0,1032529.2635116577,,
965,9.089385986328125,165.05787658691406,1183.0,3445843.75,3361916.0,965364.2809734228,965,
991,23.208248138427734,139.01792907714844,2997.0,3381277.25,3297350.0,753627.1187067032,,
1015,1.617834210395813,266.1600036621094,209.0,3332462.25,3248535.0,1298958.3473475284,1015,
1130,14.413708686828613,123.04035949707031,1871.0,4258738.5,3052779.0,1280383.6924562454,1130,
1166,10.856938362121582,250.9901580810547,1411.0,3127711.5,2973776.0,1293366.6544138193,,
1175,11.476993560791016,245.11483764648438,1491.0,3042357.5,2958430.0,1740881.484197121,1175,
1178,2.255248546600342,312.2021484375,293.0,3039724.25,2955797.0,493599.84841850493,1178,
1184,3.973390579223633,161.1283721923828,517.0,3022786.5,2938859.0,940231.9852467082,1184,
1190,10.557604789733887,236.14935302734375,1373.0,3011982.5,2928055.0,833003.9718813002,1190,
1200,0.7113655805587769,212.0950927734375,91.0,6536319.0,2904337.0,1563455.474349618,1200,
1246,4.370062828063965,296.04754638671875,569.0,2912148.5,2828221.0,657864.2097539902,1246,
1265,0.08656172454357147,97.99168395996094,11.0,2877895.25,2793968.0,270954.04066053126,,
1280,5.426299095153809,296.0462951660156,707.0,2845265.5,2761338.0,615656.8346428871,,
1282,0.6352245211601257,341.1063537597656,81.0,2843267.5,2759340.0,532990.365516454,,
1320,11.339529991149902,84.04502868652344,1473.0,2777321.75,2693394.0,1509024.3052262254,,
1324,7.313985824584961,144.10194396972656,953.0,2766343.0,2682416.0,1119413.0196763407,1324,
1341,9.012887954711914,236.14935302734375,1173.0,2739729.0,2655802.0,1538316.6971267788,1341,
1356,7.901187896728516,112.08736419677734,1029.0,2719744.75,2635817.0,274039.6045732349,,
1358,7.080766677856445,173.1287078857422,923.0,2716784.75,2632857.0,1332710.0370503068,1358,
1363,7.808319568634033,171.11289978027344,1017.0,2712520.25,2628593.0,776619.5945060253,1363,
1367,11.461830139160156,269.1058044433594,1489.0,2707463.75,2623536.0,1262865.316577321,1367,
1370,14.581205368041992,478.01007080078125,1893.0,2702694.75,2618767.0,495437.17014060356,,
1372,10.059946060180664,132.10324096679688,1309.0,2715699.0,2614413.0,2067558.628351381,1372,
1377,16.072511672973633,98.07168579101562,2083.0,2693565.75,2609638.0,203043.62400460243,,
1386,5.41117000579834,296.04510498046875,705.0,2684000.25,2600073.0,438229.92956376076,,
1399,0.05261814221739769,216.08506774902344,7.0,2662207.75,2578280.0,353557.39206682355,1399,
1429,0.037530772387981415,93.02184295654297,5.0,2627470.25,2543543.0,322515.3829791681,,
1442,2.134636878967285,212.1514434814453,277.0,2604309.5,2520382.0,857565.438483014,,
1461,10.68262004852295,717.0691528320312,1389.0,2566394.25,2482467.0,337866.4700553765,,
1482,14.581205368041992,230.99542236328125,1893.0,2540443.5,2456516.0,1126548.2753215712,,
1493,1.4619437456130981,366.212158203125,189.0,2531207.5,2447280.0,174072.8098953535,1493,
1538,10.418807983398438,162.11279296875,1355.0,2470020.5,2386093.0,916675.6071360409,1538,
1562,0.022355906665325165,91.05476379394531,3.0,2442379.5,2358452.0,353173.4792222227,1562,
1563,16.072511672973633,112.08750915527344,2083.0,2439639.5,2355712.0,187481.14748692513,,
1573,11.216264724731445,252.1424102783203,1457.0,10197902.0,2341152.0,5666608.324170365,1573,
1579,10.495305061340332,711.0569458007812,1365.0,2420240.0,2336313.0,153773.1275820732,1579,
1607,11.615105628967285,258.1102600097656,1509.0,2391610.75,2307683.0,1226190.5471655596,1607,
1608,0.08656172454357147,82.01443481445312,11.0,2391031.0,2307104.0,209182.29657867906,,
1613,10.418807983398438,146.11776733398438,1355.0,2386652.25,2302725.0,1162033.1638894556,1613,
1658,3.128971576690674,296.0489196777344,407.0,2858007.75,2238116.0,618310.5460731983,1658,
1671,3.973390579223633,150.1125030517578,517.0,2295679.25,2211752.0,449076.7262081057,,
1673,21.940641403198242,73.07676696777344,2835.0,2293767.75,2209840.0,243454.77218055725,,
1675,8.43051528930664,250.98599243164062,1097.0,4516489.5,2207586.0,1818241.0682153702,1675,
1685,10.651981353759766,711.0573120117188,1385.0,2267833.0,2183906.0,225633.09494256973,1685,
1701,7.080766677856445,212.0950927734375,923.0,7935423.5,2166504.0,1745604.528476715,1701,
1702,2.225252866744995,341.10296630859375,289.0,2250180.0,2166253.0,328434.3676067591,,
1712,2.2857608795166016,151.09664916992188,297.0,2240985.5,2157058.0,296228.72177435085,,
