mf_id,scan_time,mz,apex_scan,intensity,persistence,area,monoisotopic_mf_id,isotopologue_type
1,8.013195037841797,118.0863265991211,1047.0,179576352.0,179486564.0,107654558.40870118,1,
2,0.06760311126708984,214.0900115966797,9.0,87031736.0,86941948.0,11567255.5300733,2,
4,3.950263261795044,112.11244201660156,515.0,65899732.0,65809944.0,17129701.63023758,,
7,2.1405842304229736,195.12318420410156,279.0,39268396.0,39178608.0,10661045.287293669,7,
10,0.06760311126708984,214.08749389648438,9.0,26695784.0,26605996.0,5087264.719150472,10,
12,10.387084007263184,135.0475616455078,1353.0,25358498.0,25268710.0,13015313.070920927,12,
14,0.10655903816223145,123.04061126708984,13.0,23785902.0,23696114.0,2834361.8688868377,14,
16,11.380006790161133,147.07647705078125,1481.0,20142450.0,20052662.0,8852328.436828673,16,
18,10.07408332824707,132.10186767578125,1313.0,19867752.0,19777964.0,10335561.269845936,18,
20,0.70236736536026,296.0460510253906,91.0,19310178.0,19220390.0,3331030.774871826,,
33,0.06760311126708984,93.02193450927734,9.0,14987182.0,14897394.0,1179098.3858733452,33,
37,11.21058464050293,252.14427185058594,1459.0,14103389.0,14013601.0,6311428.7665584665,37,
38,7.230069160461426,98.07176208496094,945.0,14099210.0,14009422.0,887621.1970146894,,
39,11.441024780273438,179.0738525390625,1489.0,14057280.0,13967492.0,6110947.9113465985,39,
41,23.362199783325195,123.04061126708984,3029.0,13908129.0,13818341.0,3319133.6079559326,,
44,6.027219295501709,112.11244201660156,787.0,61748792.0,13263696.0,15702132.733596802,,
46,11.380006790161133,130.04989624023438,1481.0,13281602.0,13191814.0,5268427.78391299,46,
47,14.559568405151367,133.02769470214844,1893.0,13251199.0,13161411.0,9735519.009719554,,
50,2.276491641998291,202.1801300048828,297.0,12747935.0,12658147.0,5063784.661134802,50,
56,9.101001739501953,121.03217315673828,1187.0,12303788.0,12214000.0,5841863.935780102,56,
57,11.782013893127441,148.0603790283203,1533.0,12290743.0,12200955.0,9346784.591078758,57,
58,2.1405842304229736,240.1805419921875,279.0,12144467.0,12054679.0,2814976.11650295,58,
62,7.230069160461426,112.08721923828125,945.0,11577679.0,11487891.0,671114.1941317022,,
63,0.06760311126708984,231.1166534423828,9.0,11364331.0,11274543.0,799832.7885688064,63,
73,14.559568405151367,248.02191162109375,1893.0,10754534.0,10664746.0,4447309.470500891,,
75,8.013195037841797,119.0896987915039,1047.0,10551028.0,10461240.0,6009976.263492078,1,13C1
78,8.978181838989258,152.05662536621094,1171.0,10110425.0,10020637.0,2632898.864622839,78,
82,7.488388538360596,76.07637023925781,979.0,9976116.0,9886328.0,8242913.325256184,82,
85,0.70236736536026,296.0433044433594,91.0,9729625.0,9639837.0,2048511.730177641,,
87,0.06760311126708984,215.09326171875,9.0,9664013.0,9574225.0,1251112.3411374222,2,13C1
89,8.233963966369629,250.98765563964844,1075.0,9629553.0,9539765.0,1711045.1097717285,89,
91,10.663873672485352,713.0654907226562,1389.0,9575283.0,9485495.0,637219.4865117073,91,
100,24.484561920166016,214.08932495117188,3175.0,9185130.0,9095342.0,2001488.096862793,100,
106,2.125617742538452,212.1494903564453,277.0,8949194.0,8859406.0,2348854.669632517,106,
116,0.08583015948534012,74.09705352783203,11.0,8705504.0,8615716.0,1981990.0262734909,116,
142,1.4676369428634644,338.1809387207031,191.0,8260591.5,8170803.0,1823604.6110581732,142,
154,10.817802429199219,711.071533203125,1409.0,8033675.0,7943887.0,1234439.4636688232,10250,13C1
158,0.13677136600017548,113.10762786865234,17.0,7970892.0,7881104.0,1829550.9923607986,158,
166,0.06760311126708984,214.092529296875,9.0,7864997.0,7775209.0,1699818.6768880673,166,
175,0.10655903816223145,164.06668090820312,13.0,7728052.0,7638264.0,776923.2601597402,175,
179,10.618021965026855,715.0625,1383.0,7666933.0,7577145.0,618322.622467041,179,
188,8.013195037841797,112.11244201660156,1047.0,42090824.0,7415044.0,9528167.30872345,188,
196,2.2454981803894043,284.17047119140625,293.0,7381022.5,7291234.0,1736223.6250754152,196,
200,8.886686325073242,162.11251831054688,1159.0,7355415.5,7265627.0,4262253.31385529,200,
227,0.10655903816223145,141.0510711669922,13.0,7185654.5,7095866.0,817212.3131144186,227,
241,0.06760311126708984,88.07634735107422,9.0,7011035.0,6921247.0,1394502.9961130768,241,
248,0.06760311126708984,231.11477661132812,9.0,6976842.0,6887054.0,582657.2864253353,248,
259,8.531559944152832,138.05494689941406,1113.0,6882253.5,6792465.0,2009968.2249968573,259,
272,11.00456428527832,250.9878692626953,1433.0,7350481.0,6686322.0,1718947.4604978561,,
287,0.06760311126708984,74.06073760986328,9.0,6687981.5,6598193.0,720692.7890184168,,
340,0.2574955224990845,72.08150482177734,33.0,6266677.0,6176889.0,4709369.994665301,340,
364,5.297374725341797,136.06201171875,691.0,6100658.0,6010870.0,2934309.6176251173,364,
373,10.540580749511719,711.065673828125,1373.0,6054533.0,5964745.0,534365.4497876167,373,
420,0.06760311126708984,95.0496826171875,9.0,5806612.0,5716824.0,606362.021376475,2003,13C1
434,0.08583015948534012,100.02471923828125,11.0,5740024.0,5650236.0,848312.0738343932,,
462,0.5201769471168518,112.11244201660156,67.0,45567028.0,5480680.0,9839037.397515774,462,
522,11.256096839904785,333.1293029785156,1465.0,5272094.5,5182306.0,988235.3980844631,522,
523,11.21058464050293,112.11244201660156,1459.0,34216628.0,5180246.0,9244174.802696228,523,
565,6.331431865692139,138.05494689941406,827.0,5122936.0,5033148.0,2945657.204041332,565,
607,5.220937728881836,250.98880004882812,681.0,6144050.5,4870345.0,1372510.409415722,,
635,11.21058464050293,252.1421356201172,1459.0,6991621.5,4758145.0,3616718.1864114553,635,
636,24.0400333404541,141.0510711669922,3117.0,4845031.5,4755243.0,1279468.2584457397,,
650,11.441024780273438,112.11244201660156,1489.0,34053804.0,4714946.0,11280934.958053589,,
652,11.471353530883789,245.1134796142578,1493.0,4797431.5,4707643.0,2231532.442321242,652,
666,14.346280097961426,123.04061126708984,1865.0,6816452.5,4623364.0,1238143.724568367,,
677,0.037338707596063614,158.0272216796875,5.0,4680582.0,4590794.0,754571.7444333574,677,
679,0.06760311126708984,95.01885223388672,9.0,4675603.0,4585815.0,377564.54135843145,,
680,10.012473106384277,101.07132720947266,1305.0,4675540.5,4585752.0,269504.7076547146,,
686,0.08583015948534012,166.046142578125,11.0,4659025.5,4569237.0,368597.2605788745,,
693,9.902777671813965,112.11244201660156,1291.0,36426308.0,4536208.0,9649730.778182983,693,
701,0.10655903816223145,97.99185180664062,13.0,4580485.5,4490697.0,626734.0924546858,,
713,9.501194953918457,155.0815887451172,1239.0,4551777.0,4461989.0,2256654.7605280075,713,
715,9.79450511932373,112.11244201660156,1277.0,36591848.0,4458542.0,8076136.626502991,,
722,12.196579933166504,112.11244201660156,1587.0,30290346.0,4430826.0,8906232.714141846,,
781,3.9802963733673096,161.12869262695312,519.0,4355827.5,4266039.0,1214347.3510011206,781,
792,0.06760311126708984,60.04519271850586,9.0,4321905.0,4232117.0,582802.3252136142,792,
819,23.377546310424805,139.0177764892578,3031.0,4219056.0,4129268.0,1007239.6287822723,,
830,0.06760311126708984,216.08551025390625,9.0,4197078.5,4107290.0,540012.0858058021,830,
842,10.618021965026855,717.062744140625,1383.0,4172029.5,4082241.0,290051.92515945435,7657,13C4
861,2.3973073959350586,212.09559631347656,313.0,7455377.0,4028980.0,2664619.9701809883,861,
866,0.10655903816223145,139.0177764892578,13.0,4106617.75,4016829.0,445705.44380469597,866,
881,7.230069160461426,110.07170104980469,945.0,4063067.5,3973279.0,241699.07935386896,,
895,7.0171895027160645,120.10203552246094,917.0,4026327.0,3936539.0,1790662.7073852718,895,
929,9.254881858825684,711.0714111328125,1207.0,3943801.0,3854013.0,266041.3078980446,,
955,1.4676369428634644,338.1842956542969,191.0,3884730.0,3794942.0,850439.9027641272,955,
999,1.4827117919921875,338.17779541015625,193.0,3781675.25,3691887.0,1163002.3692314285,999,
1002,2.125617742538452,195.1253662109375,277.0,3777335.75,3687547.0,1801900.528981274,1002,
1008,0.06760311126708984,231.11854553222656,9.0,3767173.75,3677385.0,324040.27051228855,1008,
1009,11.578394889831543,112.11244201660156,1507.0,31837058.0,3676680.0,9708557.624084473,,
1022,2.125617742538452,196.126220703125,277.0,3744455.75,3654667.0,928586.4814853966,7,13C1
1034,10.817802429199219,709.0757446289062,1409.0,3713826.75,3624038.0,503366.17875988595,,
1041,1.6538523435592651,302.1963195800781,215.0,3700954.5,3611166.0,1287166.1692593778,1041,
1061,12.366280555725098,112.11244201660156,1609.0,29601000.0,3583472.0,6648198.688285828,,
1062,7.230069160461426,122.07156372070312,945.0,3672117.5,3582329.0,215095.2810535729,,
1072,8.249166488647461,250.9898681640625,1077.0,5317477.5,3558608.0,2060694.2523756027,1072,
1083,11.858081817626953,112.11244201660156,1543.0,29844664.0,3544660.0,7773969.19128418,,
1112,3.3164384365081787,296.0433044433594,433.0,3552299.5,3462511.0,735453.9285781384,1112,
1135,10.927445411682129,112.11244201660156,1423.0,35197712.0,3427648.0,9154002.420471191,1135,
1140,14.88428783416748,250.9878692626953,1935.0,6697179.0,3421513.0,1230215.9132003784,,
1176,7.396932601928711,132.10227966308594,967.0,3442577.0,3352789.0,1669416.1545442939,1176,
1182,11.16242504119873,209.04827880859375,1453.0,3436774.0,3346986.0,1593130.6672562452,1182,
1193,2.2304983139038086,284.1730041503906,291.0,3426497.75,3336709.0,978882.5100328485,,
1209,11.332242012023926,112.11244201660156,1475.0,34167608.0,3306948.0,10076632.36026001,,
1226,5.829568862915039,73.07664489746094,761.0,3470504.0,3283727.0,339534.2267845869,,
1238,9.285604476928711,711.071533203125,1211.0,3351031.5,3261243.0,266041.3078980446,,
1271,2.2454981803894043,284.16790771484375,293.0,3309353.25,3219565.0,907742.6850571141,1271,
1286,14.559568405151367,593.0040893554688,1893.0,3283141.5,3193353.0,278662.76379895955,,
1301,11.28691577911377,286.11279296875,1469.0,3265951.5,3176163.0,1249515.4989081603,1301,
1304,10.94325065612793,212.09483337402344,1425.0,5348576.0,3172117.0,2308464.2342891693,,
1316,9.131497383117676,165.0582275390625,1191.0,3234665.75,3144877.0,1624522.2176452614,1316,
1330,0.13677136600017548,115.12324523925781,17.0,3215788.5,3126000.0,819146.0626042881,1330,
1334,0.10655903816223145,125.03821563720703,13.0,3211678.75,3121890.0,395302.09756560577,,
1339,9.5635404586792,106.08659362792969,1247.0,3203782.5,3113994.0,1300872.2150716037,,
1342,10.927445411682129,193.0527801513672,1423.0,3202935.25,3113147.0,1448269.8553876244,1342,
1350,10.817802429199219,112.11244201660156,1409.0,34887792.0,3099828.0,6560695.022689819,1350,
1447,7.336560249328613,144.1021270751953,959.0,3039297.75,2949509.0,2106363.5568245277,1447,
1476,7.032337188720703,173.1284637451172,919.0,2996904.0,2907116.0,1551870.3281387389,1476,
1487,10.555869102478027,112.11244201660156,1375.0,35146524.0,2894954.0,9293853.139045715,1487,
1500,7.230069160461426,137.08226013183594,945.0,2964929.25,2875141.0,163083.13048427552,,
1515,2.1106157302856445,114.09159088134766,275.0,2952412.75,2862624.0,933192.5442613065,1515,
1520,3.1605188846588135,130.08653259277344,413.0,2940893.25,2851105.0,1507524.305359736,1520,
1538,14.559568405151367,478.0094909667969,1893.0,2921788.25,2832000.0,429575.8194710687,,
1563,0.10655903816223145,124.04153442382812,13.0,2878048.25,2788260.0,334774.2699460909,,
1566,2.291564464569092,151.09642028808594,299.0,2875582.25,2785794.0,416770.5878227763,,
1607,14.559568405151367,230.99514770507812,1893.0,2817969.5,2728181.0,1233774.318036802,,
1634,10.295700073242188,715.0532836914062,1341.0,2786232.25,2696444.0,203823.42761659622,7657,13C2
1645,2.2454981803894043,267.1436767578125,293.0,2766143.25,2676355.0,684576.7476478219,1645,
1659,10.417543411254883,146.11756896972656,1357.0,2748301.25,2658513.0,1471134.6171942782,1659,
1661,10.417543411254883,112.11244201660156,1357.0,35060756.0,2656956.0,8039291.775627136,1661,
1676,11.28691577911377,291.06903076171875,1469.0,2722768.0,2632980.0,921207.1049267463,1676,
1681,10.012473106384277,98.07176208496094,1305.0,2716498.75,2626710.0,163472.88426154852,,
1702,8.886686325073242,711.071533203125,1159.0,2698794.75,2609006.0,222743.64294719696,1702,
1716,10.387084007263184,162.11251831054688,1353.0,2684129.75,2594341.0,1910229.3313384354,,
1719,7.230069160461426,136.08706665039062,945.0,2682727.25,2592939.0,148561.67085285857,,
1721,0.06760311126708984,141.00059509277344,9.0,2679712.25,2589924.0,356106.106562224,,
1724,11.21058464050293,104.07086944580078,1459.0,2731434.75,2583348.0,705118.1894927025,,
1725,7.707528591156006,171.1127166748047,1007.0,2673073.0,2583285.0,489851.2633435726,1725,
1788,10.555869102478027,236.1491241455078,1375.0,2597774.5,2507986.0,1284530.0561624877,1788,
1799,8.91718864440918,711.0711669921875,1163.0,2587086.25,2497298.0,222743.64294719696,,
1804,0.6420135498046875,341.1007995605469,83.0,2582470.0,2492682.0,444500.5852224231,1804,
1814,0.08583015948534012,82.01436614990234,11.0,2569826.5,2480038.0,465272.2638615966,,
1817,3.1605188846588135,148.09664916992188,413.0,2562988.75,2473200.0,1420078.076495301,1817,
1827,0.06760311126708984,102.12812042236328,9.0,2546948.0,2457160.0,258344.6018199469,,
1831,10.602225303649902,713.0802612304688,1381.0,2543842.0,2454054.0,176156.48635601997,,
1845,10.618021965026855,713.0806274414062,1383.0,2525838.75,2436050.0,176156.48635601997,,
1850,17.838998794555664,164.0673370361328,2315.0,8656727.0,2428227.0,1629172.9779930115,,
1864,3.9802963733673096,150.11231994628906,519.0,2506604.25,2416816.0,470351.8308947403,1864,
1869,3.7811226844787598,296.0486755371094,493.0,2500994.5,2411206.0,715618.2622070312,1869,
1885,11.380006790161133,84.044921875,1481.0,2484215.25,2394427.0,1221532.4155383985,,
