mf_id,scan_time,mz,apex_scan,intensity,persistence,area,monoisotopic_mf_id,isotopologue_type
1,8.039406776428223,118.08642578125,1051.0,212987520.0,212881027.0,133969544.37886786,1,
3,0.06794432550668716,214.08937072753906,9.0,63711036.0,63604543.0,10550297.488148823,3,
5,2.1412858963012695,195.12265014648438,279.0,58031416.0,57924923.0,14773000.369931042,5,
11,10.365039825439453,135.0472869873047,1351.0,34545584.0,34439091.0,18548596.479934424,11,
13,10.094897270202637,132.10206604003906,1317.0,28389810.0,28283317.0,14611958.799717467,13,
14,0.08304210752248764,123.04069519042969,11.0,26673248.0,26566755.0,2450342.6148994043,14,
18,0.06794432550668716,214.087646484375,9.0,22419710.0,22313217.0,1895311.1147481296,18,
23,2.1412858963012695,240.18075561523438,279.0,17741930.0,17635437.0,3866657.0039289966,23,
25,11.382043838500977,147.07664489746094,1481.0,17330758.0,17224265.0,6734619.386248866,25,
26,9.09552001953125,121.03199768066406,1187.0,17212872.0,17106379.0,7916761.860705088,26,
28,0.06794432550668716,214.09188842773438,9.0,16400800.0,16294307.0,3108393.3138238825,28,
29,7.504745960235596,76.0762710571289,981.0,16022673.0,15916180.0,14118676.514836378,29,
30,9.509157180786133,155.08132934570312,1241.0,15869914.0,15763421.0,8046385.828796994,30,
32,2.2620747089385986,202.18031311035156,295.0,15466766.0,15360273.0,5870573.695044696,32,
38,8.927481651306152,162.11265563964844,1165.0,14729488.0,14622995.0,8388703.24313286,38,
39,11.442535400390625,179.07345581054688,1489.0,14346359.0,14239866.0,5897394.030954879,39,
40,11.967309951782227,148.06053161621094,1557.0,14297680.0,14191187.0,10274183.665005088,40,
44,14.637482643127441,133.02780151367188,1903.0,12988550.0,12882057.0,9508700.396306032,,
45,11.227839469909668,252.14443969726562,1461.0,12965299.0,12858806.0,6002618.783191457,45,
48,2.1412858963012695,212.14889526367188,279.0,12751347.0,12644854.0,3156786.502441764,48,
49,8.881877899169922,212.0949249267578,1159.0,12565124.0,12458631.0,2395852.8057804108,49,
53,0.06794432550668716,93.0219955444336,9.0,11954899.0,11848406.0,764386.9524135748,53,
54,8.004817962646484,119.08980560302734,1047.0,11884557.0,11778064.0,7270902.742372572,1,13C1
57,0.06794432550668716,74.0970687866211,9.0,11464562.0,11358069.0,1920480.0004668236,57,
58,11.382043838500977,130.050048828125,1481.0,11325170.0,11218677.0,4307794.529757818,58,
61,0.06794432550668716,88.0761947631836,9.0,10895702.0,10789209.0,1604492.9984155037,,
70,14.637482643127441,248.02212524414062,1903.0,9980657.0,9874164.0,6863871.533727361,,
78,8.69612979888916,250.9879913330078,1135.0,9617094.0,9510601.0,1836523.8603973389,,
80,23.16629409790039,164.06686401367188,2993.0,9474929.0,9368436.0,1777617.6885910034,,
81,2.1412858963012695,240.17877197265625,279.0,9519573.0,9346235.0,2361160.4272812027,81,
84,0.08304210752248764,100.0248031616211,11.0,9236269.0,9129776.0,824418.2057280005,,
102,7.412694931030273,132.10206604003906,969.0,8568627.0,8462134.0,5799506.249188602,102,
105,11.318745613098145,286.11297607421875,1473.0,8421675.0,8315182.0,2915548.1213806802,105,
108,6.322637557983398,138.05508422851562,827.0,8333160.5,8226667.0,3444181.5594292283,108,
109,8.553620338439941,138.05508422851562,1117.0,8267402.5,8160909.0,4367934.79616078,109,
119,0.06794432550668716,231.11593627929688,9.0,7995709.5,7889216.0,620210.8427070538,119,
136,0.06794432550668716,74.060791015625,9.0,7662900.5,7556407.0,728838.0872254306,136,
148,9.01915454864502,152.05674743652344,1177.0,7526300.0,7419807.0,3898975.6771759763,148,
149,2.1263089179992676,195.1248321533203,277.0,12254068.0,7418811.0,4558864.8108302485,149,
155,0.08304210752248764,141.05117797851562,11.0,7460850.0,7354357.0,675942.0068178573,155,
158,5.182735443115234,250.9879913330078,677.0,7391878.0,7285385.0,1248925.1072802544,,
159,2.6894009113311768,144.9823760986328,351.0,7380251.0,7273758.0,3045396.6093154587,159,
165,10.99045467376709,250.9879913330078,1431.0,7350541.0,7244048.0,2027186.1232931614,,
171,9.525354385375977,106.08670043945312,1243.0,7302107.0,7195614.0,4978907.629140347,171,
173,11.212651252746582,252.14239501953125,1459.0,7333441.0,7184763.0,4012778.6412712783,173,
185,10.883147239685059,112.11225128173828,1417.0,36605752.0,7069718.0,11388423.523605347,185,
187,0.13298967480659485,113.10774230957031,17.0,7161465.5,7054972.0,2678773.6826788858,187,
204,14.9495849609375,250.9879913330078,1943.0,6966757.0,6860264.0,1824477.3332967758,,
235,0.06794432550668716,215.0934295654297,9.0,6678092.5,6571599.0,1030210.3930390705,3,13C1
256,10.658742904663086,711.0661010742188,1389.0,6478874.0,6372381.0,826145.024638176,13402,13C1
258,0.08304210752248764,166.0462646484375,11.0,6463715.5,6357222.0,379788.8918001953,,
269,0.1783706247806549,72.08141326904297,23.0,6375479.5,6268986.0,2437958.924542561,269,
289,1.6068834066390991,274.276123046875,209.0,6238335.0,6131842.0,1284941.3566861153,289,
292,9.12586784362793,165.05783081054688,1191.0,6220383.5,6113890.0,3075666.6576706823,,
305,0.08304210752248764,164.06686401367188,11.0,6165059.0,6058566.0,618557.8688016194,,
311,1.5154298543930054,338.1813049316406,197.0,6098952.0,5992459.0,1451111.2189206472,311,
319,10.658742904663086,713.0602416992188,1389.0,6044696.0,5938203.0,585209.3477416039,6391,13C2
339,2.2776286602020264,284.1706848144531,297.0,5872402.5,5765909.0,806364.8207835034,339,
372,3.1777536869049072,130.08627319335938,415.0,5650302.5,5543809.0,4575399.721649475,,
410,3.1626057624816895,148.0968017578125,413.0,5419654.0,5313161.0,1545934.5322172642,410,
417,14.667398452758789,112.11225128173828,1907.0,25563668.0,5256784.0,8422645.978645325,,
