mf_id,scan_time,mz,apex_scan,intensity,persistence,area,monoisotopic_mf_id,isotopologue_type
1,8.028701782226562,118.08647918701172,1053.0,146086144.0,146013101.0,88213756.49397683,1,
2,0.022168327122926712,214.08950805664062,3.0,130922400.0,130849357.0,16363112.521470547,2,
9,6.325747013092041,141.07373046875,829.0,46286548.0,46213505.0,18796464.049820065,9,
10,2.121603488922119,195.122802734375,277.0,45048264.0,44975221.0,12417068.172941506,10,
13,10.361295700073242,135.04736328125,1357.0,33296918.0,33223875.0,17582738.09193252,13,
15,0.05215979367494583,214.08718872070312,7.0,31073616.0,31000573.0,4823088.09801545,15,
17,11.449710845947266,147.07626342773438,1497.0,23643084.0,23570041.0,10550381.386841163,17,
21,1.8335514068603516,112.1123275756836,239.0,59371024.0,19087540.0,14933527.289783478,21,
23,10.115893363952637,132.10208129882812,1325.0,18531320.0,18458277.0,5791369.523919895,23,
24,0.03720574080944061,214.09205627441406,5.0,18000800.0,17927757.0,3610845.7504162565,24,
25,2.2725982666015625,202.18045043945312,297.0,17025546.0,16952503.0,6611388.918672329,25,
33,11.449710845947266,130.05010986328125,1497.0,15711667.0,15638624.0,6703378.719176296,33,
36,0.08616786450147629,123.04036712646484,11.0,14481548.0,14408505.0,1195822.8723322265,36,
37,9.025071144104004,152.0568084716797,1183.0,14250074.0,14177031.0,7476689.269382447,37,
41,6.356198787689209,142.079833984375,833.0,13797206.0,13724163.0,6832620.520153761,41,
42,0.05215979367494583,215.09300231933594,7.0,13719521.0,13646478.0,1699339.8627141435,2,13C1
44,9.101373672485352,121.03204345703125,1193.0,13597026.0,13523983.0,6122034.107920665,44,
45,8.902933120727539,212.09506225585938,1167.0,13551019.0,13477976.0,2326110.022752762,45,
47,14.63204288482666,133.02783203125,1909.0,13149972.0,13076929.0,4079869.072625175,,
48,6.248307704925537,112.1123275756836,819.0,63108420.0,12977456.0,16225663.291992188,48,
51,12.063572883605957,148.0605926513672,1577.0,12617372.0,12544329.0,8612070.96575594,51,
53,11.401481628417969,179.07351684570312,1491.0,12534395.0,12461352.0,5552111.904012597,53,
57,2.287564992904663,284.1708068847656,299.0,11836993.0,11763950.0,1610726.9245775943,57,
63,2.121603488922119,240.1799774169922,277.0,11114115.0,11041072.0,2739289.9521103613,63,
66,11.231304168701172,252.14370727539062,1469.0,10885894.0,10812851.0,5070475.846107926,66,
79,10.822779655456543,713.0660400390625,1417.0,10221339.0,10148296.0,714442.0153360367,79,
80,14.63204288482666,248.02215576171875,1909.0,10174534.0,10101491.0,2723490.4974738117,,
81,0.5653541088104248,296.0476989746094,73.0,10138501.0,10065458.0,2085284.940846324,81,
87,2.121603488922119,212.14906311035156,277.0,9820360.0,9747317.0,2654315.4843460466,87,
92,0.022168327122926712,158.02687072753906,3.0,9542654.0,9469611.0,1139242.1693816893,92,
97,2.1965529918670654,296.0451965332031,287.0,9032685.0,8959642.0,2899395.073998928,97,
122,8.028701782226562,119.08985900878906,1053.0,8375187.5,8302144.0,4763756.690686315,1,13C1
125,1.5415327548980713,338.18145751953125,201.0,8292438.0,8219395.0,1910268.5901886532,125,
142,10.822779655456543,711.0719604492188,1417.0,7932930.5,7859887.0,564962.4293317795,,
145,0.10363233834505081,74.0971450805664,13.0,7861780.0,7788737.0,1730511.2942967564,145,
148,23.239763259887695,123.04036712646484,3003.0,7811449.5,7738406.0,1491196.841632843,,
151,10.822779655456543,715.0631713867188,1417.0,7757888.0,7684845.0,565263.2519907951,151,
160,7.131747245788574,98.07167053222656,935.0,7698242.0,7625199.0,626229.0936398506,,
166,7.482588768005371,76.07630920410156,981.0,7577309.0,7504266.0,3699124.996928387,166,
169,1.6046947240829468,274.2738952636719,209.0,7538436.5,7465393.0,3733020.806824684,169,
190,2.2725982666015625,284.1683044433594,297.0,7312270.5,7239227.0,1135696.714154292,190,
213,2.136547327041626,240.1819305419922,279.0,7047330.0,6974287.0,2105083.435058306,213,
270,8.902933120727539,162.11270141601562,1167.0,6598048.5,6525005.0,3834819.152759433,270,
285,2.1066536903381348,195.12489318847656,275.0,6438538.0,6365495.0,1585348.9111277983,,
312,9.899771690368652,112.1123275756836,1297.0,38451380.0,6186964.0,9997460.401542664,312,
335,0.08616786450147629,113.10774230957031,11.0,6168917.0,6095874.0,901806.4778366983,335,
355,14.556462287902832,250.98805236816406,1899.0,6520047.0,5909687.0,1058988.3424034119,,
363,0.10363233834505081,111.0921401977539,13.0,5899130.5,5826087.0,633369.3846698105,363,
365,0.6419410705566406,296.04241943359375,83.0,5894153.0,5821110.0,1776110.950652957,365,
391,0.022168327122926712,216.0850067138672,3.0,5743053.0,5670010.0,704870.2722737044,391,
414,8.521435737609863,138.05479431152344,1117.0,5618378.0,5545335.0,1621300.7862804048,414,
416,5.335585117340088,136.0618133544922,699.0,5612312.5,5539269.0,4625318.263035357,416,
438,5.898324966430664,83.06100463867188,773.0,5450577.5,5377534.0,1180979.0617876053,438,
