mf_id,scan_time,mz,apex_scan,intensity,persistence,area,monoisotopic_mf_id,isotopologue_type
1,8.002791404724121,118.0865707397461,1047.0,648560000.0,648235718.0,111045983.14068604,1,
2,6.351390361785889,141.07391357421875,829.0,191486112.0,191161830.0,101262754.84267521,2,
3,6.351390361785889,138.05490112304688,829.0,148667664.0,148343382.0,77192783.8213644,3,
6,10.104357719421387,132.10218811035156,1321.0,110141680.0,109817398.0,58119032.134108804,6,
9,11.234503746032715,252.14389038085938,1467.0,88624808.0,88300526.0,43781218.3604548,9,
16,0.04177014157176018,214.08978271484375,5.0,61288000.0,60963718.0,8339341.787137657,16,
17,2.1369740962982178,195.12290954589844,277.0,60549360.0,60225078.0,16078244.118650474,17,
19,6.351390361785889,142.08001708984375,829.0,57840688.0,57516406.0,29977830.309713364,2100,13C1
26,12.12418270111084,148.0607147216797,1583.0,42163332.0,41839050.0,26270089.759667635,26,
28,8.002791404724121,119.0899429321289,1047.0,36251708.0,35927426.0,14740916.310216144,1,13C1
29,7.504992485046387,76.07637786865234,981.0,35299000.0,34974718.0,28712051.94605118,29,
30,10.088753700256348,132.1009979248047,1319.0,32808834.0,32484552.0,19828822.479409587,30,
32,10.366363525390625,135.04745483398438,1355.0,30682106.0,30357824.0,14415426.318158355,32,
34,11.435188293457031,179.07363891601562,1493.0,28821026.0,28496744.0,12279020.29663518,34,
37,0.09114270657300949,123.04047393798828,11.0,25811832.0,25487550.0,2200892.7356639095,37,
40,11.588903427124023,258.1105651855469,1513.0,23180724.0,22856442.0,9889074.899339847,40,
41,8.909749031066895,162.11236572265625,1165.0,22793024.0,22468742.0,14313341.239587143,41,
42,9.091927528381348,121.03215789794922,1189.0,21844950.0,21520668.0,10106566.428991616,42,
43,11.420186042785645,333.1300048828125,1491.0,21576124.0,21251842.0,7816175.076636329,43,
44,11.480818748474121,245.11300659179688,1499.0,21039908.0,20715626.0,10384845.75363332,44,
47,9.03140640258789,236.1496124267578,1181.0,20062858.0,19738576.0,6008907.537575722,47,
50,6.351390361785889,141.0725555419922,829.0,40957932.0,17897496.0,21464747.084015846,7874,13C1
52,3.9596383571624756,112.11239624023438,515.0,67936080.0,16646568.0,17399039.102336884,52,
54,10.770833969116211,176.09182739257812,1407.0,16831564.0,16507282.0,5817825.763642639,54,
59,2.227083921432495,202.17990112304688,289.0,16222986.0,15898704.0,3864590.5601087743,59,
63,11.375094413757324,147.07638549804688,1485.0,16027915.0,15703633.0,6618763.909282089,63,
66,10.539037704467773,236.1496124267578,1377.0,15867829.0,15543547.0,8404626.288159816,,
68,2.1369740962982178,240.1810760498047,277.0,15673523.0,15349241.0,3519269.75906742,68,
