mf_id,scan_time,mz,apex_scan,intensity,persistence,area,monoisotopic_mf_id,isotopologue_type
4,0.1308453232049942,96.95897674560547,16.0,123883432.0,123360609.0,14511028.621376961,,
5,14.654289245605469,194.92706298828125,1908.0,123787800.0,123264977.0,87780154.68121855,,
11,4.62664270401001,61.987178802490234,604.0,54051772.0,53528949.0,46662212.90116882,,
13,14.684164047241211,98.95484161376953,1912.0,46518328.0,45995505.0,17085195.796920776,,
19,2.3172528743743896,96.95897674560547,302.0,66787440.0,27933684.0,17434918.248355865,,
20,0.7498679757118225,248.9732208251953,96.0,26408360.0,25885537.0,6248891.947193861,,
24,14.865084648132324,212.07521057128906,1936.0,25524206.0,25001383.0,5939459.446754456,,
27,4.83913516998291,212.07521057128906,632.0,25082632.0,24559809.0,5755674.775966644,27,
33,0.015512742102146149,212.0746612548828,2.0,23462702.0,22939879.0,4281476.141685024,33,
34,18.581995010375977,212.0750732421875,2414.0,23323288.0,22800465.0,5109356.897079468,34,
35,0.03200642392039299,76.9869613647461,4.0,22892782.0,22369959.0,4006530.836026028,,
39,10.955544471740723,96.96869659423828,1430.0,22016176.0,21493353.0,13632946.930660248,,
40,7.85486364364624,212.07521057128906,1028.0,21546382.0,21023559.0,5651567.7960243225,40,
45,6.619072437286377,248.97421264648438,866.0,19537060.0,19014237.0,5215770.826078415,,
63,8.14249324798584,248.97421264648438,1066.0,17230244.0,16707421.0,6559334.916023254,,
77,6.619072437286377,248.97201538085938,866.0,15761625.0,15238802.0,3822341.0803394318,,
78,11.688339233398438,94.97955322265625,1524.0,15674444.0,15151621.0,6204891.819423676,,
79,11.396246910095215,267.0727233886719,1486.0,15503614.0,14980791.0,5828227.598365817,79,
80,14.684164047241211,106.03984069824219,1912.0,15311650.0,14788827.0,1371179.4587507248,,
83,0.16070552170276642,61.987178802490234,20.0,17272110.0,14275712.0,12816004.519338071,,
86,3.265346050262451,248.9752655029297,426.0,14501409.0,13978586.0,2959949.177705765,,
88,14.849501609802246,248.9732208251953,1934.0,14450354.0,13927531.0,3315412.9795532227,,
92,6.466548442840576,106.0401382446289,846.0,19584610.0,13577696.0,2969289.858839035,92,
105,0.08039148896932602,74.99268341064453,10.0,12807599.0,12284776.0,1305476.9573239796,,
110,3.265346050262451,106.0401382446289,426.0,16680039.0,11965131.0,4126995.48814106,,
120,16.698802947998047,248.9730987548828,2170.0,11769270.0,11246447.0,2511602.0812683105,,
125,14.654289245605469,196.92312622070312,1908.0,11613450.0,11090627.0,7734695.691301173,,
148,14.7896146774292,61.99530792236328,1926.0,10391358.0,9868535.0,4296530.0800533295,,
179,16.698802947998047,212.0743865966797,2170.0,20817274.0,8965265.0,4712512.826263428,179,
199,5.599746227264404,94.97955322265625,732.0,9592519.0,8329899.0,2103224.820957184,,
206,14.895157814025879,212.07290649414062,1940.0,8663714.0,8140891.0,3261694.4495544434,,
209,0.7498679757118225,248.9753875732422,96.0,14100333.0,8062526.0,3748760.76655674,,
210,8.14249324798584,248.97109985351562,1066.0,8582754.0,8059931.0,2528796.885532379,,
213,0.08039148896932602,90.97016143798828,10.0,8502122.0,7979299.0,673206.4953271011,,
216,9.636900901794434,212.0750732421875,1260.0,8440751.0,7917928.0,1537264.426044464,,
