mf_id,scan_time,mz,apex_scan,intensity,persistence,area,monoisotopic_mf_id,isotopologue_type
1,14.62985610961914,96.95880126953125,1902.0,1074014336.0,1073477328.0,336774995.0905762,1,
2,14.644781112670898,194.9270477294922,1904.0,125648088.0,125111080.0,96220385.85047054,,
6,8.014684677124023,80.91557312011719,1048.0,66863116.0,66326108.0,29852010.757339478,,
7,8.014684677124023,78.91764068603516,1048.0,55472524.0,54935516.0,24944183.917816162,,
8,14.62985610961914,98.95466613769531,1902.0,51869044.0,51332036.0,16944859.506774902,,
10,4.337545394897461,61.98713684082031,566.0,44136104.0,43599096.0,42314961.28190327,,
12,0.030092474073171616,76.98683166503906,4.0,26602922.0,26065914.0,4835340.706341729,,
13,11.694931030273438,94.97941589355469,1522.0,25731348.0,25194340.0,14361760.239543915,,
16,23.375316619873047,212.0750274658203,3020.0,24764128.0,24227120.0,6155178.903160095,16,
17,1.9822349548339844,106.03990936279297,258.0,24490620.0,22760311.0,2827736.5475053787,,
19,10.967340469360352,96.9687271118164,1428.0,20475986.0,19938978.0,5447152.938179016,,
20,0.013565493747591972,212.0743865966797,2.0,20700698.0,19266601.0,3177647.1435612515,20,
21,11.326242446899414,267.0726623535156,1474.0,16994556.0,16457548.0,6692102.796331959,21,
22,1.4021871089935303,248.97303771972656,182.0,26407410.0,16291739.0,6420489.891050339,,
25,11.465227127075195,248.97303771972656,1492.0,16070689.0,15533681.0,5691588.083282471,,
28,14.614931106567383,194.92918395996094,1900.0,16263094.0,14670897.0,20869274.091819048,,
38,0.4399729073047638,106.03990936279297,56.0,14900279.0,11333871.0,2476599.101247072,,
45,14.614931106567383,196.9230499267578,1900.0,11002189.0,10465181.0,2997297.5080265403,,
46,14.843012809753418,212.0743865966797,1930.0,21330380.0,9891935.0,5997573.960289001,,
47,14.750078201293945,61.99516677856445,1918.0,10421574.0,9884566.0,3410157.7599220276,,
57,1.4021871089935303,248.97511291503906,182.0,14266255.0,9353081.0,3952478.987724781,,
60,14.584966659545898,96.95597076416016,1896.0,9956446.0,8944379.0,834628.2839832306,60,
68,15.5418062210083,106.03990936279297,2018.0,9107596.0,8570588.0,1568339.241481781,,
77,14.614931106567383,98.9631118774414,1900.0,9257061.0,8411848.0,2174988.805974895,1556,13C2
79,14.674703598022461,97.95833587646484,1908.0,8774180.0,8237172.0,4750924.746316671,1556,13C1
83,23.375316619873047,156.01177978515625,3020.0,8567092.0,8030084.0,1752507.694114685,,
86,10.967340469360352,98.96570587158203,1428.0,8373075.0,7836067.0,2117128.019805908,,
88,3.6434898376464844,212.0743865966797,476.0,20319652.0,7748152.0,4046028.5732545853,88,
94,0.1078815907239914,83.02381896972656,14.0,7987733.0,7450725.0,1317048.1053199293,,
99,20.35930824279785,212.0750274658203,2634.0,18750234.0,7287556.0,4320977.197914124,,
100,0.07558382302522659,61.98713684082031,10.0,10220748.0,7282219.0,1899824.065011587,,
104,8.140868186950684,212.0743865966797,1064.0,17432380.0,7099149.0,3399384.138824463,,
118,0.07558382302522659,74.99260711669922,10.0,7290742.0,6753734.0,1023952.2830045931,,
119,3.2334845066070557,248.97303771972656,422.0,27559772.0,6695560.0,4656826.838777542,,
121,1.4021871089935303,212.07669067382812,182.0,7199138.0,6594623.0,1873388.2991313934,,
123,0.07558382302522659,90.9701156616211,10.0,7091319.5,6554311.0,907651.6391035784,,
126,2.239389419555664,91.02096557617188,292.0,7024425.5,6487417.0,1574970.196393095,126,
128,2.6813509464263916,114.93533325195312,350.0,6989218.5,6452210.0,3219693.617197711,,
137,1.1414117813110352,248.97093200683594,148.0,10396238.0,6155084.0,3657623.424354553,,
139,14.644781112670898,194.9248504638672,1904.0,29858148.0,6132754.0,15979094.120523393,,
142,14.54000473022461,62.99607849121094,1890.0,6762018.5,6043834.0,1815119.2583293915,,
150,23.375316619873047,61.995296478271484,3020.0,9837706.0,5873350.0,1263250.7110023499,,
151,11.990022659301758,146.04501342773438,1560.0,6409905.5,5872897.0,4006593.347142853,,
153,18.85392189025879,106.03990936279297,2440.0,6349474.0,5812466.0,1167473.8042197227,,
163,2.2700870037078857,121.02845001220703,296.0,6124426.5,5587418.0,793069.7314375043,,
165,0.1078815907239914,109.03949737548828,14.0,6112551.5,5575543.0,731176.2879260713,,
170,14.524413108825684,248.97421264648438,1888.0,12542896.0,5477041.0,2276093.593547821,,
174,0.1078815907239914,68.01305389404297,14.0,5954535.5,5417527.0,895807.6118239718,,
184,14.599870681762695,96.96263122558594,1898.0,8477449.0,5279072.0,1188684.3914017826,,
197,24.540237426757812,83.02381896972656,3170.0,5700269.5,5163261.0,1186312.684671402,,
207,6.77342414855957,248.97303771972656,886.0,22428100.0,4998244.0,6427478.643848419,,
220,1.310789704322815,156.01177978515625,170.0,5374142.0,4837134.0,995356.2131869793,,
241,18.23236656188965,61.995296478271484,2360.0,8866598.0,4615502.0,1548538.0569763184,,
250,21.032522201538086,61.995296478271484,2720.0,8723455.0,4524593.0,1489534.1057815552,,
274,16.78951644897461,212.07420349121094,2176.0,16328855.0,4374727.0,2977688.335044861,274,
275,3.2334845066070557,248.97511291503906,422.0,14598959.0,4365417.0,2844851.3436727524,,
284,11.725914001464844,106.03990936279297,1526.0,6777182.0,4275689.0,950795.3527479172,,
314,0.07558382302522659,80.96397399902344,10.0,4631011.0,4094003.0,1570698.607193578,,
326,11.603071212768555,165.01852416992188,1510.0,4525443.0,3988435.0,1300120.0287325382,,
331,16.534929275512695,212.0750274658203,2144.0,16276513.0,3954319.0,4226127.7010650635,331,
355,11.694931030273438,172.95738220214844,1522.0,4377645.5,3840637.0,3374744.5075600147,,
363,8.15583324432373,61.99516677856445,1066.0,7913936.0,3791575.0,2061112.403629303,,
375,12.99545669555664,248.97317504882812,1690.0,13739801.0,3750624.0,2811674.983112335,,
391,8.639859199523926,106.03990936279297,1128.0,5679981.5,3679454.0,775094.0155739784,,
393,10.072026252746582,106.03990936279297,1314.0,4869893.5,3676334.0,646763.2799520493,,
406,10.967340469360352,130.88833618164062,1428.0,4157287.5,3620279.0,950459.3410642147,,
423,8.046798706054688,142.91636657714844,1052.0,4082477.25,3545469.0,1337424.8232383728,,
447,10.824764251708984,72.94190979003906,1410.0,3985971.25,3448963.0,1545383.4303892031,,
455,16.534929275512695,212.07420349121094,2144.0,16160383.0,3422472.0,4196096.466934204,455,
474,0.013565493747591972,63.961299896240234,2.0,4021888.0,3332124.0,671473.2746433951,,
502,14.599870681762695,97.00877380371094,1898.0,3793552.0,3256544.0,477709.3824543357,,
505,14.584966659545898,314.8642883300781,1896.0,3779503.75,3242495.0,591556.1008753683,,
510,14.614931106567383,79.95606231689453,1900.0,3757646.0,3220638.0,1286971.0113199884,,
526,8.281572341918945,248.97198486328125,1082.0,13503530.0,3185415.0,3274578.231710434,,
527,16.78951644897461,212.07337951660156,2176.0,10748006.0,3182323.0,2199646.890815735,527,
546,1.9822349548339844,83.0240249633789,258.0,3796128.0,3136451.0,517007.8097972274,,
550,5.2510786056518555,83.02381896972656,686.0,3667398.5,3130390.0,879856.8118152618,,
