mf_id,scan_time,mz,apex_scan,intensity,persistence,area,monoisotopic_mf_id,isotopologue_type
1,14.585792541503906,96.95904541015625,1900.0,989064768.0,988570235.0,260583869.71842113,,
2,14.585792541503906,194.92701721191406,1900.0,116172024.0,115677491.0,80911294.84177782,,
5,4.136444091796875,61.987152099609375,538.0,76359208.0,75864675.0,67554424.46531725,,
6,14.585792541503906,98.95466613769531,1900.0,45805144.0,45310611.0,12132827.58877265,,
11,4.166508197784424,248.97300720214844,542.0,29411612.0,28917079.0,6181205.107444763,,
14,0.031837575137615204,76.98684692382812,4.0,25687126.0,25192593.0,4819918.991031498,,
15,11.669782638549805,94.97942352294922,1524.0,25167244.0,24672711.0,10125691.83777237,,
17,0.015427241101861,212.07440185546875,2.0,23652594.0,23158061.0,3755935.8769557327,17,
20,4.424285888671875,212.07423400878906,576.0,21071608.0,20577075.0,4200906.0415763855,20,
22,11.791133880615234,146.04501342773438,1540.0,20455072.0,19960539.0,14305677.295094311,22,
24,1.181754469871521,248.97300720214844,152.0,28670258.0,18283146.0,5665458.178936958,,
25,7.328646659851074,212.074951171875,958.0,18644284.0,18149751.0,5448713.301376343,,
26,6.343230724334717,124.99031829833984,828.0,18497712.0,18003179.0,10777594.0328435,,
28,10.627289772033691,96.96871948242188,1388.0,17902612.0,17408079.0,9571832.876276016,,
58,2.194103717803955,106.03995513916016,284.0,14417933.0,11228296.0,2339578.9478697777,,
59,0.0772247388958931,61.987152099609375,10.0,14267949.0,11191613.0,2040917.3133140132,,
67,1.3821156024932861,248.97509765625,178.0,15007942.0,10746980.0,4339262.833805323,,
69,4.819952011108398,94.97966766357422,628.0,12091439.0,10625642.0,4559108.736481667,,
70,18.461244583129883,96.95904541015625,2396.0,10775061.0,10280528.0,962191.0056128502,,
75,14.66108226776123,196.92300415039062,1910.0,10280523.0,9785990.0,4738936.426267648,,
77,14.708937644958496,61.99528884887695,1916.0,10202290.0,9707757.0,3538582.446138382,,
78,11.412237167358398,248.9720458984375,1490.0,11380005.0,9577438.0,3020554.0579948425,,
99,2.239163637161255,91.0209732055664,290.0,9274058.0,8779525.0,2063285.0522954464,99,
104,14.910195350646973,212.07440185546875,1942.0,19873652.0,8586295.0,4658002.404800415,104,
115,14.6012601852417,98.96310424804688,1902.0,8817236.0,8062248.0,3542828.6620574007,,
121,14.585792541503906,97.95834350585938,1900.0,8305912.0,7811379.0,1811785.156022518,2810,13C1
140,3.4352447986602783,248.9709930419922,446.0,10485619.0,7392219.0,3744410.178809643,,
141,1.181754469871521,248.9709930419922,152.0,11308111.0,7387276.0,2273663.736108303,,
146,0.1095767393708229,83.02384185791016,14.0,7724257.5,7229724.0,1358122.7712087482,,
174,10.627289772033691,98.9656982421875,1388.0,7284506.0,6789973.0,2994736.351539612,,
180,7.743322849273682,61.99528884887695,1012.0,7694316.0,6641262.0,1921375.4523620605,,
195,14.525741577148438,62.99619674682617,1892.0,6889505.0,6355444.0,3969180.0927000046,,
200,0.1573054939508438,96.95904541015625,20.0,6724573.5,6230040.0,1996515.6841310002,,
222,0.015427241101861,212.07688903808594,2.0,6373431.0,5878898.0,1326823.6054583453,,
230,14.6012601852417,96.96186065673828,1902.0,8112003.5,5755596.0,979085.5301195532,,
238,0.1095767393708229,90.97019958496094,14.0,6167230.0,5672697.0,878519.0657610996,,
244,10.642511367797852,124.0064697265625,1390.0,6088561.5,5594028.0,2762990.866263479,,
256,14.61618709564209,96.95519256591797,1904.0,7227627.5,5441007.0,1373476.3420752063,256,
280,0.1095767393708229,109.03952026367188,14.0,5769984.0,5275451.0,731887.1446311809,,
285,0.0772247388958931,74.99259948730469,10.0,5725398.0,5230865.0,803428.7169860341,,
297,14.540828704833984,248.97317504882812,1894.0,13929874.0,5129552.0,2455803.828262329,,
310,4.424285888671875,156.01181030273438,576.0,5690129.5,4983591.0,1120144.0519070625,,
318,7.803264141082764,62.996070861816406,1020.0,5675870.0,4899425.0,1448886.867978096,,
332,7.83302640914917,155.00112915039062,1024.0,5319819.0,4825286.0,2634871.1580513567,,
354,0.0772247388958931,80.9639663696289,10.0,5193679.0,4699146.0,897173.9449708061,,
368,5.845613479614258,248.9720458984375,762.0,18475836.0,4631831.0,3821920.7706394196,,
373,13.392528533935547,106.03995513916016,1746.0,5595222.5,4600684.0,848422.4511032104,,
385,0.1095767393708229,68.01292419433594,14.0,5027257.0,4532724.0,850708.4941090243,,
392,2.239163637161255,121.0284652709961,290.0,5006355.5,4511822.0,794563.7752928287,,
406,12.84891414642334,212.0750732421875,1676.0,17107560.0,4449466.0,3305385.0702209473,406,
414,11.260931015014648,212.0725860595703,1470.0,7077428.0,4421855.0,2366356.4248638153,,
425,9.532516479492188,248.97427368164062,1246.0,10190412.0,4334038.0,2181360.6141052246,,
432,11.457929611206055,165.01853942871094,1496.0,4778700.5,4284167.0,1660827.566010788,,
434,16.970489501953125,248.97300720214844,2204.0,11062235.0,4265116.0,2475717.639942169,,
500,16.78438377380371,212.0750732421875,2180.0,16884282.0,3966065.0,4994618.539970398,500,
552,0.015427241101861,63.9612922668457,2.0,4276373.5,3781840.0,735292.3606798295,,
557,4.303159713745117,71.01265716552734,560.0,4266863.5,3772330.0,2456994.699777603,,
585,14.6012601852417,194.92483520507812,1902.0,18183782.0,3630132.0,19723414.05911888,,
588,4.424285888671875,212.07672119140625,576.0,7523858.0,3625121.0,1814038.0412573814,,
609,6.209137916564941,248.9720458984375,810.0,17604104.0,3565971.0,3711243.542257309,,
630,11.48803424835205,106.03995513916016,1500.0,5302591.5,3529013.0,817225.9115171432,,
693,10.454683303833008,70.9449234008789,1366.0,3828780.75,3334247.0,3158157.225106746,,
729,8.719974517822266,248.9761505126953,1140.0,3718832.75,3224299.0,931401.5956668854,,
770,4.682944297790527,89.0233154296875,610.0,3628854.0,3134321.0,1033749.8158063889,,
773,18.708232879638672,248.97300720214844,2428.0,9906200.0,3129461.0,2860764.878627777,,
798,16.861494064331055,106.03995513916016,2190.0,5083769.5,3087498.0,754272.0269069672,,
829,6.781764984130859,212.07672119140625,886.0,7254669.0,3017421.0,2160317.920489311,,
876,7.619988441467285,248.9763946533203,996.0,3760435.75,2918186.0,1242856.7846813202,,
883,0.0772247388958931,116.9275131225586,10.0,3396370.5,2901837.0,215446.6796336216,,
889,18.491968154907227,213.0782928466797,2400.0,3387816.5,2893283.0,599662.7075023651,,
898,7.41928768157959,248.9763946533203,970.0,3694789.5,2875990.0,1063440.5255270004,,
902,5.921048164367676,248.9720458984375,772.0,17218974.0,2870959.0,4977259.122758865,,
939,17.29676628112793,106.03995513916016,2246.0,5104220.0,2805901.0,827438.392408371,,
973,16.210065841674805,212.0725860595703,2106.0,5493486.5,2753220.0,1262091.9579143524,,
991,11.260931015014648,145.0609588623047,1470.0,3222154.5,2727621.0,1205654.230135139,,
995,24.56499671936035,109.03982543945312,3180.0,3214903.75,2720370.0,694677.6329660416,,
1035,16.861494064331055,106.04024505615234,2190.0,4292587.5,2658175.0,827685.4550123215,,
1038,24.5804386138916,68.01307678222656,3182.0,3148386.5,2653853.0,994219.796579361,,
1044,14.525741577148438,248.9752197265625,1892.0,7656859.0,2648228.0,3679023.4796009064,,
1058,0.1095767393708229,91.0289077758789,14.0,3118142.75,2623609.0,437317.69479069766,,
1080,14.66108226776123,96.95621490478516,1910.0,5257094.0,2600484.0,456498.3906533718,1080,
1081,10.469911575317383,72.94190216064453,1368.0,3092867.75,2598334.0,1499561.1067087417,,
1098,5.845613479614258,248.9709930419922,762.0,10099218.0,2584243.0,2226778.7596054077,,
1108,14.61618709564209,79.95625305175781,1904.0,3065375.0,2570842.0,998855.1019245386,,
1162,0.1095767393708229,65.01335144042969,14.0,2986750.0,2492217.0,507085.72460109787,,
1168,9.701567649841309,106.03995513916016,1268.0,4482828.0,2488389.0,722270.7403860092,,
1178,23.193437576293945,65.0132064819336,3004.0,2968791.5,2474258.0,605220.719110012,,
1189,14.525741577148438,156.01181030273438,1892.0,6680801.0,2464957.0,1174377.9652290344,,
1190,17.607582092285156,106.03995513916016,2286.0,5157993.0,2463329.0,1090094.061056137,,
1194,11.14055347442627,156.01181030273438,1454.0,6588829.0,2457509.0,1407334.7048969269,,
1198,1.427425742149353,157.12277221679688,184.0,2948439.75,2453906.0,742811.619666446,,
1209,16.78438377380371,248.97509765625,2180.0,6272373.5,2446679.0,2156112.6888046265,,
1215,0.015427241101861,80.91556549072266,2.0,2932766.75,2438233.0,369601.6614882415,,
