mf_id,scan_time,mz,apex_scan,intensity,persistence,area,monoisotopic_mf_id,isotopologue_type
1,8.026630401611328,118.08653259277344,1049.0,136974352.0,136905865.0,82960765.21536875,1,
2,0.021855657920241356,214.08958435058594,3.0,76696736.0,76628249.0,10947591.340838268,2,
6,2.130005359649658,195.12289428710938,277.0,46090348.0,46021861.0,12853869.993407894,6,
9,8.01127815246582,118.08555603027344,1047.0,36708332.0,36274264.0,27491473.088769734,9,
13,11.44460391998291,147.07630920410156,1491.0,22791488.0,22723001.0,9143242.009452026,13,
14,0.037099290639162064,214.08731079101562,5.0,20932532.0,20864045.0,3548226.4562350176,14,
15,10.090535163879395,132.1017608642578,1317.0,20563566.0,20495079.0,10870363.710720994,15,
18,10.352005958557129,135.0474090576172,1351.0,19064594.0,18996107.0,10143813.557345994,18,
22,0.08633437007665634,123.04045104980469,11.0,17669520.0,17601033.0,1390247.8518826142,22,
29,9.091218948364258,121.03207397460938,1187.0,15765156.0,15696669.0,7736249.884786686,29,
40,9.012479782104492,152.05690002441406,1177.0,14448693.0,14380206.0,7588347.875312656,40,
41,11.429060935974121,179.0735626220703,1489.0,14312404.0,14243917.0,5629614.402512088,41,
43,11.22590446472168,252.14381408691406,1463.0,14266185.0,14197698.0,6658626.816628432,43,
46,11.44460391998291,130.04977416992188,1491.0,13474788.0,13406301.0,5615363.138753161,46,
53,9.060894012451172,212.09515380859375,1183.0,12759983.0,12691496.0,2942594.0123062134,53,
56,14.634429931640625,133.02792358398438,1903.0,12658868.0,12590381.0,2666846.8695374336,,
62,2.296283483505249,284.1698913574219,299.0,11515046.0,11446559.0,1349566.075900644,62,
64,2.265758514404297,202.18052673339844,295.0,11466631.0,11398144.0,4517763.880727453,64,
70,2.1449594497680664,240.18011474609375,279.0,11025269.0,10956782.0,2807921.902486628,70,
79,12.107095718383789,148.0601806640625,1577.0,10569835.0,10501348.0,6737333.055208892,79,
82,6.958860874176025,98.07173919677734,909.0,10452223.0,10383736.0,1215385.0810263157,82,
84,14.634429931640625,248.02133178710938,1903.0,10326773.0,10258286.0,2076978.5526753888,,
86,10.885660171508789,713.0662841796875,1419.0,10157601.0,10089114.0,1974649.146032554,86,
92,2.130005359649658,212.149169921875,277.0,9998467.0,9929980.0,2852030.173121388,92,
103,9.505389213562012,155.08148193359375,1241.0,9640069.0,9571582.0,4622428.2319395365,103,
106,2.1449594497680664,195.12071228027344,279.0,9588449.0,9519962.0,3767632.11453627,106,
109,0.021855657920241356,214.0921173095703,3.0,9428399.0,9359912.0,1807515.627096139,109,
121,2.2055153846740723,296.0453796386719,287.0,8967188.0,8898701.0,1627023.7636418343,121,
123,6.988779544830322,73.07658386230469,913.0,8799655.0,8731168.0,972803.1077327728,123,
126,1.5352449417114258,338.1817932128906,199.0,8742371.0,8673884.0,1916048.7071403363,126,
139,0.052205488085746765,215.09312438964844,7.0,8422929.0,8354442.0,1044652.4734843019,2,13C1
155,18.66579818725586,73.07658386230469,2417.0,8171203.5,8102716.0,822049.5139651299,155,
157,10.852677345275879,711.0678100585938,1415.0,8153057.5,8084570.0,684613.6155929565,2726,13C2
187,11.22590446472168,252.14596557617188,1463.0,7779279.0,7710792.0,4515777.798712081,187,
189,10.852677345275879,713.072021484375,1415.0,7764240.5,7695753.0,1547192.6333193094,,
237,8.026630401611328,119.08991241455078,1049.0,7314758.0,7246271.0,4424533.974160522,1,13C1
247,8.921525955200195,162.11227416992188,1165.0,7251575.0,7183088.0,4355599.1269682795,,
277,0.08633437007665634,74.09700775146484,11.0,6974468.5,6905981.0,1099003.7449203208,277,
287,2.281252384185791,284.17230224609375,297.0,6887471.5,6818984.0,1119496.3303518295,287,
303,10.105838775634766,132.10296630859375,1319.0,6763792.5,6691144.0,4433819.858548902,303,
304,3.969421625137329,112.1114273071289,519.0,13375488.0,6690240.0,4671095.268407822,304,
330,0.08633437007665634,113.10750579833984,11.0,6577297.0,6508810.0,1427640.7527916767,330,
331,6.958860874176025,112.08747863769531,909.0,6561192.0,6492705.0,787851.6294652224,331,
342,8.550373077392578,138.05482482910156,1117.0,6510628.5,6442141.0,3440716.6578584313,342,
357,11.087569236755371,250.98818969726562,1445.0,7005724.0,6359222.0,1809400.791433692,357,
393,6.988779544830322,101.0712890625,913.0,6214409.5,6145922.0,606093.2706047297,393,
405,14.634429931640625,248.02342224121094,1903.0,6127197.0,6058710.0,1429220.5891884025,,
409,0.8583997488021851,112.1114273071289,111.0,11826780.0,6036644.0,5789406.112059116,409,
419,0.08633437007665634,111.09187316894531,11.0,6038029.5,5969542.0,581873.9455512911,419,
439,2.130005359649658,195.12509155273438,277.0,5937221.5,5868734.0,2874335.6844586707,,
463,14.571952819824219,250.98712158203125,1895.0,5752475.0,5683988.0,1371884.8493537903,,
