mf_id,scan_time,mz,apex_scan,intensity,persistence,area,monoisotopic_mf_id,isotopologue_type
1,8.032069206237793,118.08641052246094,1055.0,780359744.0,779969559.0,312043843.34615326,1,
6,6.301029205322266,138.05511474609375,827.0,207268832.0,206878647.0,37537557.373687744,6,
7,11.224604606628418,252.14361572265625,1471.0,172745056.0,172354871.0,79892247.83670458,7,
8,8.001708984375,118.08543395996094,1051.0,166934768.0,166544583.0,54459102.039642334,8,
9,10.071657180786133,132.10203552246094,1321.0,145344304.0,144954119.0,77175012.3074826,9,
11,8.032069206237793,118.08744049072266,1055.0,132805720.0,132415535.0,82294906.32836914,11,
14,11.194708824157715,252.14564514160156,1467.0,101364336.0,85616750.0,29837637.033313453,14,
16,11.590168952941895,258.1101989746094,1519.0,80119160.0,79728975.0,37825278.5458321,16,
18,7.5008625984191895,76.07630157470703,985.0,70891056.0,70500871.0,33848345.476626635,18,
19,5.208282947540283,112.11222839355469,683.0,63608940.0,63218755.0,11371048.441940308,,
20,0.06767742335796356,214.0891876220703,9.0,61667040.0,61276855.0,8862975.203138858,20,
23,2.1245713233947754,195.12271118164062,277.0,59290104.0,58899919.0,15696448.767299931,23,
25,11.394126892089844,179.07342529296875,1493.0,57433732.0,57043547.0,12754182.75059284,25,
26,11.938467025756836,148.06053161621094,1565.0,53739332.0,53349147.0,39512414.63935661,26,
31,11.304221153259277,333.1296081542969,1481.0,46539984.0,46149799.0,12610050.40762347,31,
33,8.032069206237793,119.08978271484375,1055.0,45176112.0,44785927.0,17750080.11024952,1,13C1
35,11.470226287841797,245.11273193359375,1503.0,41894404.0,41504219.0,21337827.00111571,35,
40,0.08272940665483475,123.04036712646484,11.0,39050696.0,38660511.0,3115279.0253003193,40,
44,10.513776779174805,236.1492919921875,1379.0,34453312.0,34063127.0,8050624.189626053,44,
45,8.921104431152344,162.11216735839844,1171.0,34433840.0,34043655.0,19634845.05933374,45,
47,9.103638648986816,121.03195190429688,1195.0,31351014.0,30960829.0,9202515.696113825,47,
50,0.05251917243003845,214.09112548828125,7.0,29057140.0,28666955.0,5781459.162740007,50,
55,11.304221153259277,333.1263427734375,1481.0,26782762.0,26392577.0,6117702.44380188,,
56,9.59511661529541,116.07069396972656,1259.0,26084540.0,25694355.0,12995668.837975964,56,
58,11.470226287841797,245.1147918701172,1503.0,25515816.0,25071155.0,15182990.01500126,58,
