mf_id,scan_time,mz,apex_scan,intensity,persistence,area,monoisotopic_mf_id,isotopologue_type
1,7.991435527801514,118.08643341064453,1045.0,603817792.0,603515883.0,236441629.52783155,1,
2,6.2763872146606445,141.07369995117188,819.0,287799808.0,287497899.0,70809935.01046753,10,2H3
3,10.047024726867676,132.1020050048828,1313.0,129917152.0,129615243.0,35510307.41610016,3,
4,11.208504676818848,252.14450073242188,1463.0,108816656.0,108514747.0,51915209.87857611,4,
7,6.2763872146606445,142.079833984375,819.0,83106456.0,82804547.0,23459804.453811646,286,13C1
8,0.06963521242141724,214.08985900878906,9.0,76768504.0,76466595.0,9355432.443999242,8,
10,6.2912516593933105,138.0550994873047,821.0,66985540.0,66683631.0,22393604.933265686,10,
12,2.1411497592926025,195.12261962890625,277.0,63769536.0,63467627.0,16840843.791105792,12,
15,7.472226619720459,76.0762710571289,977.0,58191140.0,57889231.0,52052463.091202915,15,
20,11.586511611938477,258.11016845703125,1513.0,41016360.0,40714451.0,17800023.551904,20,
22,11.813695907592773,148.06051635742188,1543.0,36521760.0,36219851.0,28642315.482470393,22,
23,8.036383628845215,119.08980560302734,1051.0,34213500.0,33911591.0,10671132.31672144,1,13C1
25,11.404726028442383,179.0734100341797,1489.0,32107470.0,31805561.0,14164511.285009231,25,
26,0.08475800603628159,123.04037475585938,11.0,28982826.0,28680917.0,2163389.744641049,26,
30,0.06963521242141724,214.08734130859375,9.0,23029182.0,22727273.0,2691245.1124932915,30,
32,10.55640697479248,236.14930725097656,1379.0,22485878.0,22183969.0,11735331.981932208,32,
33,11.238409042358398,147.07666015625,1467.0,22038740.0,21736831.0,9922050.061161947,33,
34,2.1411497592926025,112.11227416992188,277.0,56165968.0,20701992.0,12255195.605758667,,
36,11.480538368225098,245.1137237548828,1499.0,20566142.0,20264233.0,10381698.099795207,36,
37,2.1411497592926025,240.18072509765625,277.0,20330768.0,20028859.0,4586632.067274813,37,
38,5.320198059082031,136.06170654296875,693.0,20232168.0,19930259.0,8894286.451243877,38,
39,9.07894515991211,121.03197479248047,1187.0,19287226.0,18985317.0,9000743.598244531,39,
42,8.911091804504395,162.11265563964844,1165.0,18211256.0,17909347.0,6521403.565269947,42,
43,9.002559661865234,236.14930725097656,1177.0,18049390.0,17747481.0,10524436.53510771,43,
45,0.5424215197563171,296.04498291015625,69.0,17301588.0,16999679.0,3190854.292133808,,
48,10.371030807495117,135.0477294921875,1355.0,17003994.0,16702085.0,8698946.896307407,48,
49,11.813695907592773,275.07147216796875,1543.0,15535629.0,15233720.0,6832149.543334057,49,
50,2.2467031478881836,202.18038940429688,291.0,14826320.0,14524411.0,5506130.488666235,50,
51,11.253413200378418,130.05007934570312,1469.0,14749618.0,14447709.0,6217018.176980838,51,
56,10.431796073913574,146.11766052246094,1363.0,14074636.0,13772727.0,7440473.228682191,56,
57,2.1411497592926025,212.14886474609375,277.0,13902710.0,13600801.0,3699156.930094827,57,
58,0.09970802813768387,74.09712219238281,13.0,12783696.0,12481787.0,1743670.8919394938,,
60,0.03943334147334099,214.09194946289062,5.0,12608937.0,12307028.0,3015523.609226794,60,
63,1.6369638442993164,274.2736511230469,211.0,12227517.0,11925608.0,2722148.8959732056,63,
