mf_id,scan_time,mz,apex_scan,intensity,persistence,area,monoisotopic_mf_id,isotopologue_type,samp_name
2360,0.06062467023730278,210.05906677246097,8,2033372.125,1459079,328487.2819589812,2360,NA,230724_Smp_G4_1_C-H_t0_A
2605,0.01355835702270269,213.07830810546875,2,1928503.875,1354210,411845.5508744321,2360,2H3,230724_Smp_G4_1_C-H_t0_A
1744,0.02970332466065883,210.0587615966797,4,2585543.5,2000206,385467.863579704,1744,NA,230724_Smp_G4_1_C-H_t2_C
3842,0.02970332466065883,212.0717010498047,4,1750511.5,1165174,422810.2582734735,1744,2H2,230724_Smp_G4_1_C-H_t2_C
2200,0.06026610732078552,210.0592803955078,8,2500828.25,1947491,200843.6772138304,2200,NA,230724_Smp_G4_1_C-H_t24_A
4799,0.1591111570596695,212.0723114013672,20,3006497.75,1040069,1343721.9365524873,2200,2H2,230724_Smp_G4_1_C-H_t24_A
6025,0.0135768074542284,212.0714874267578,2,1393821.375,840484,442546.57587824017,2200,2H2,230724_Smp_G4_1_C-H_t24_A
1161,0.04545000568032265,210.058837890625,6,2907596,2368768,393711.0916469358,1161,NA,230724_Smp_G4_1_C-H_t24_C
2970,0.013773157261312,212.0719451904297,2,1831936.75,1293108,457582.5254729325,1161,2H2,230724_Smp_G4_1_C-H_t24_C
2377,0.06224162131547928,210.0591278076172,8,2404069.5,1881246,368139.74054758414,2377,NA,230724_Smp_G4_1_C-H_t48_A
8932,0.03200642392039299,212.0713806152344,4,1128771.125,605948,286803.56866388395,2377,2H2,230724_Smp_G4_1_C-H_t48_A
1350,0.06035925820469856,210.05877685546875,8,3039107.25,2484971,430220.2574569639,1350,NA,230724_Smp_G4_1_H_t2_A
2916,0.01360337529331445,212.07174682617188,2,2101113.25,1505747,675389.8058440201,1350,2H2,230724_Smp_G4_1_H_t2_A
724,0.06026480719447136,210.05892944335935,8,4093754.5,3515381,527529.8902088143,724,NA,230724_Smp_G4_1_H_t2_C
741,0.01353807188570499,212.072021484375,2,4059443.5,3481070,995164.2929453516,724,2H2,230724_Smp_G4_1_H_t2_C
255,14.734498023986816,61.99522399902344,1916,9532223,9012036,2635253.374847412,255,NA,230724_Smp_G4_1_H_t24_A
1597,0.03185771033167839,213.07823181152344,4,3136593.5,2616406,461391.7193064913,1804,2H3,230724_Smp_G4_1_H_t24_A
1804,0.03185771033167839,210.05880737304688,4,2929845.25,2409658,383876.46733991336,1804,NA,230724_Smp_G4_1_H_t24_A
2283,14.79530429840088,65.013275146484375,1924,2560380,2040193,598689.3571953773,255,2H3,230724_Smp_G4_1_H_t24_A
3707,3.1702730655670166,61.99522399902344,412,6858629,1410480,1690796.561815739,3707,NA,230724_Smp_G4_1_H_t24_A
10046,3.3092596530914307,65.01341247558594,430,1135942.25,564585,240674.47406107187,3707,2H3,230724_Smp_G4_1_H_t24_A
1386,0.05998400598764419,210.0592803955078,8,3078883,2530095,470608.633972927,1386,NA,230724_Smp_G4_1_H_t24_B
3474,0.01340932212769985,212.0715179443359,2,1913572.875,1308333,482141.7313759448,1386,2H2,230724_Smp_G4_1_H_t24_B
1436,0.04545027390122413,210.05894470214844,6,2414676.75,1882832,339191.07238125894,1436,NA,230724_Smp_G4_1_H_t48_B
2298,0.01353383995592594,212.07191467285156,2,2565238.25,1366606,719524.6260924246,1436,2H2,230724_Smp_G4_1_H_t48_B
1357,0.0300831887871027,210.05921936035156,4,2934287,2415869,423139.7712992346,1357,NA,230724_Smp_G4_2_C-H_t2_A
5229,0.01357497461140155,212.07147216796875,2,1361967.625,843549,420766.08695675153,1357,2H2,230724_Smp_G4_2_C-H_t2_A
6633,0.15682603418827057,212.0720977783203,20,2358407.75,677624,866196.5853153355,1357,2H2,230724_Smp_G4_2_C-H_t2_A
312,14.86073398590088,61.99527740478515,1938,9393557,4568966,3254373.3594207764,312,NA,230724_Smp_G4_2_C-H_t24_A
1508,14.922316551208496,65.0133285522461,1946,2454156.25,1939445,649581.4130990505,312,2H3,230724_Smp_G4_2_C-H_t24_A
1150,0.06004224345088005,210.05914306640625,8,3125643.25,2629275,409788.58593005175,1150,NA,230724_Smp_G4_2_C-H_t24_B
2019,4.1327948570251465,61.99520492553711,540,6875089.5,1838120,1695922.171239853,2019,NA,230724_Smp_G4_2_C-H_t24_B
