scan_time_round,mode,isotopologue_type,mz_round,n,n_homarine,n_control,mz_average,scan_time_average,intensity_average,monoisotopic_mass,id
6,positive,2H2,140.1,10,10,0,140.06776733398436,6.30152997970581,807496.6234375,138.05521384209237,1
9,positive,2H2,721.1,8,8,0,721.0590667724609,9.077882885932922,133835.544921875,719.0465132805689,2
11,positive,2H3,165.1,8,8,0,165.0949878692627,10.627352833747864,2042995.46875,162.0761576314247,3
6,positive,2H3,141.1,7,7,0,141.07539803641183,6.284151145390102,91553272.76785715,138.05656779857384,4
6,positive,2H3,281.1,6,6,0,281.13983154296875,6.321552594502767,2883748.5416666665,278.12100130513073,5
9,positive,2H3,716.1,6,6,0,716.065928141276,9.102350234985352,159876.35677083334,713.047097903438,6
6,positive,2H3,97.1,4,4,0,97.08446311950684,6.3211774826049805,3915340.25,94.06563288166883,7
6,positive,2H3,199.1,4,4,0,199.1268768310547,6.294708967208862,2914084.3125,196.1080465932167,8
5,positive,2H2,138.1,3,3,0,138.07423400878906,5.301373481750488,1495221.3125,136.06168051689707,9
0,positive,2H3,127.1,2,2,0,127.06162643432617,0.06975343450903893,294630.828125,124.04279619648817,10
5,positive,2H2,270.1,2,2,0,270.1156311035156,5.158230304718018,1524675.53125,268.10307761162363,11
6,positive,2H3,142.1,2,2,0,142.0775146484375,6.2895894050598145,10513103,139.0586844105995,12
7,positive,2H3,231.1,2,2,0,231.11660766601562,7.4292285442352295,238502.9921875,228.09777742817764,13
9,positive,2H3,141.1,2,2,0,141.0738754272461,8.513915538787842,1705786.375,138.0550451894081,14
11,positive,2H3,877.1,2,2,0,877.0760192871094,10.682842254638672,217070.640625,874.0571890492714,15
15,positive,2H2,825,2,2,0,824.9971923828125,14.580399513244629,164899.6640625,822.9846388909205,16
0,positive,2H2,110.1,1,1,0,110.0707778930664,0.06955946236848831,434149.09375,108.0582244011744,17
0,positive,2H2,145.1,1,1,0,145.0608673095703,0.06955946236848831,322264.875,143.04831381767832,18
2,positive,2H2,151.1,1,1,0,151.09518432617188,2.2725982666015625,591130.5625,149.08263083427988,19
2,positive,2H2,241.2,1,1,0,241.1526641845703,2.278872013092041,109853.6796875,239.14011069267832,20
3,negative,2H3,65,1,1,0,65.01341247558594,3.3092596530914307,1135942.25,61.994582237747935,21
6,positive,2H3,278.1,1,1,0,278.1219482421875,6.276926517486572,1929522,275.1031180043495,22
7,positive,2H2,208.1,1,1,0,208.11737060546875,7.33595085144043,230913.828125,206.10481711357676,23
8,positive,2H2,120.1,1,1,0,120.0988311767578,8.035565376281738,1403199.875,118.08627768486579,24
8,positive,2H2,208.1,1,1,0,208.1175079345703,8.374044418334961,159077.140625,206.10495444267832,25
8,positive,2H3,98.1,1,1,0,98.07965087890624,7.563916206359863,258200.6875,95.06082064106823,26
8,positive,2H3,141.1,1,1,0,141.07371520996094,8.442708015441895,734823.375,138.05488497212295,27
10,positive,2H2,717.1,1,1,0,717.07464599609375,10.479320526123049,942033.1875,715.0620925042017,28
11,positive,2H2,608.1,1,1,0,608.06536865234375,10.767545700073242,180911.25,606.0528151604517,29
11,positive,2H3,718.1,1,1,0,718.0574951171875,10.767142295837402,336270.3125,715.0386648793495,30
11,positive,2H3,720.1,1,1,0,720.05682373046875,10.760583877563477,166240.90625,717.0379934926308,31
11,positive,2H3,874.1,1,1,0,874.0855712890625,10.856867790222168,213309.140625,871.0667410512245,32
12,positive,2H2,134.1,1,1,0,134.08949279785156,11.599925994873049,854749.375,132.07693930595957,33
12,positive,2H2,260.1,1,1,0,260.12286376953125,11.614831924438477,1258356.125,258.11031027763926,34
15,negative,2H2,99,1,1,0,98.9656982421875,14.738965034484863,1302811.375,96.9531447502955,35
16,negative,2H3,65,1,1,0,65.01331329345703,16.2259521484375,1509781.5,61.99448305561903,36
16,positive,2H3,138.1,1,1,0,138.06597900390625,16.417844772338867,339636.375,135.04714876606826,37
24,positive,2H2,214.1,1,1,0,214.0858154296875,24.326242446899418,248310.203125,212.0732619377955,38
24,positive,2H3,215.1,1,1,0,215.0933532714844,24.115772247314453,1289989.25,212.07452303364641,39
