scan_time_round,mode,isotopologue_type,mz_round,n,n_homarine,n_control,mz_med,scan_time_med,intensity_med,samples,monoisotopic_mass,id,quality_peaks,notes
6,positive,2H2,140.1,10,10,0,140.06777954101562,6.306479454040527,747614.3125,"230724_Smp_G4_1_H_t2_A, 230724_Smp_G4_1_H_t24_B, 230724_Smp_G4_1_H_t48_A, 230724_Smp_G4_1_H_t48_B, 230724_Smp_G4_1_H_t48_C, 230724_Smp_G4_2_H_t2_C, 230724_Smp_G4_2_H_t24_B, 230724_Smp_G4_2_H_t24_C, 230724_Smp_G4_2_H_t48_B, 230724_Smp_G4_2_H_t48_C",138.05522604912363,1,y,more likely the 13C2 iso than the 2H2 iso
9,positive,2H2,721.1,8,8,0,721.0591735839844,9.073890686035156,133958.3438,"230724_Smp_G4_1_H_t2_C, 230724_Smp_G4_1_H_t2_C, 230724_Smp_G4_1_H_t2_C, 230724_Smp_G4_1_H_t2_C, 230724_Smp_G4_1_H_t2_C, 230724_Smp_G4_1_H_t2_C, 230724_Smp_G4_1_H_t2_C, 230724_Smp_G4_1_H_t2_C",719.0466200920923,2,n,
11,positive,2H3,165.1,8,8,0,165.0949249267578,10.650871753692627,1814212.5,"230724_Smp_G4_1_H_t2_A, 230724_Smp_G4_1_H_t2_B, 230724_Smp_G4_1_H_t2_C, 230724_Smp_G4_1_H_t24_B, 230724_Smp_G4_2_H_t2_A, 230724_Smp_G4_2_H_t2_B, 230724_Smp_G4_2_H_t2_C, 230724_Smp_G4_2_H_t24_C",162.07609468891982,3,y,
6,positive,2H3,141.1,7,7,0,141.0738067626953,6.2763872146606445,1630560.375,"230724_Smp_G4_1_H_t48_B, 230724_Smp_G4_2_H_t2_A, 230724_Smp_G4_2_H_t2_A, 230724_Smp_G4_2_H_t2_B, 230724_Smp_G4_2_H_t2_B, 230724_Smp_G4_2_H_t2_C, 230724_Smp_G4_2_H_t24_B",138.05497652485732,4,y,
6,positive,2H3,281.1,6,6,0,281.1393127441406,6.320253372192383,3098307.375,"230724_Smp_G4_2_H_t2_A, 230724_Smp_G4_2_H_t2_B, 230724_Smp_G4_2_H_t24_C, 230724_Smp_G4_2_H_t24_C, 230724_Smp_G4_2_H_t48_B, 230724_Smp_G4_2_H_t48_C",278.1204825063026,5,y,homarine_adduct_or_iso
9,positive,2H3,716.1,6,6,0,716.06658935546875,9.035794258117676,128616.0273,"230724_Smp_G4_1_H_t2_C, 230724_Smp_G4_1_H_t2_C, 230724_Smp_G4_1_H_t2_C, 230724_Smp_G4_1_H_t2_C, 230724_Smp_G4_1_H_t2_C, 230724_Smp_G4_1_H_t2_C",713.0477591176308,6,n,
6,positive,2H3,97.1,4,4,0,97.08442306518555,6.329463720321655,3579452.25,"230724_Smp_G4_2_H_t2_A, 230724_Smp_G4_2_H_t2_B, 230724_Smp_G4_2_H_t24_A, 230724_Smp_G4_2_H_t48_C",94.06559282734754,7,y,homarine_adduct_or_iso
6,positive,2H3,199.1,4,4,0,199.12681579589844,6.298978567123413,2901874,"230724_Smp_G4_2_H_t2_A, 230724_Smp_G4_2_H_t2_C, 230724_Smp_G4_2_H_t24_B, 230724_Smp_G4_2_H_t48_A",196.10798555806045,8,y,homarine_adduct_or_iso
5,positive,2H2,138.1,3,3,0,138.07418823242188,5.302046298980713,1042907.875,"230724_Smp_G4_2_H_t48_A, 230724_Smp_G4_2_H_t48_B, 230724_Smp_G4_2_H_t48_C",136.06163474052988,9,y,
0,positive,2H3,127.1,2,2,0,127.06162643432617,0.069753435,294630.8281,"230724_Smp_G4_1_H_t24_A, 230724_Smp_G4_1_H_t48_C",124.04279619648817,10,n,
