id,n,mode,mz_med,scan_time_med,isotopologue_type,samples,compound_name,ionization_form,empirical_formula,rt_expected,mz_expected
1,10,positive,140.06777954101562,6.306479454040527,2H2,"230724_Smp_G4_1_H_t2_A, 230724_Smp_G4_1_H_t24_B, 230724_Smp_G4_1_H_t48_A, 230724_Smp_G4_1_H_t48_B, 230724_Smp_G4_1_H_t48_C, 230724_Smp_G4_2_H_t2_C, 230724_Smp_G4_2_H_t24_B, 230724_Smp_G4_2_H_t24_C, 230724_Smp_G4_2_H_t48_B, 230724_Smp_G4_2_H_t48_C",Homarine,[M+H],C7H7NO2,6.19,138.055503
3,8,positive,165.0949249267578,10.650871753692627,2H3,"230724_Smp_G4_1_H_t2_A, 230724_Smp_G4_1_H_t2_B, 230724_Smp_G4_1_H_t2_C, 230724_Smp_G4_1_H_t24_B, 230724_Smp_G4_2_H_t2_A, 230724_Smp_G4_2_H_t2_B, 230724_Smp_G4_2_H_t2_C, 230724_Smp_G4_2_H_t24_C",N-methyl glutamic acid,[M+H],C6H11NO4,10.9,162.076634
4,7,positive,141.0738067626953,6.2763872146606445,2H3,"230724_Smp_G4_1_H_t48_B, 230724_Smp_G4_2_H_t2_A, 230724_Smp_G4_2_H_t2_A, 230724_Smp_G4_2_H_t2_B, 230724_Smp_G4_2_H_t2_B, 230724_Smp_G4_2_H_t2_C, 230724_Smp_G4_2_H_t24_B",Homarine,[M+H],C7H7NO2,6.19,138.055503
9,3,positive,138.07418823242188,5.302046298980713,2H2,"230724_Smp_G4_2_H_t48_A, 230724_Smp_G4_2_H_t48_B, 230724_Smp_G4_2_H_t48_C",Adenine,[M+H],C5H5N5,4.64,136.06232
11,2,positive,270.1156311035156,5.158230304718018,2H2,"230724_Smp_G4_2_H_t48_A, 230724_Smp_G4_2_H_t48_A",Adenosine,[M+H],C10H13N5O4,4.46,268.10458
14,2,positive,141.0738754272461,8.513915538787842,2H3,"230724_Smp_G4_1_H_t48_C, 230724_Smp_G4_2_H_t48_B",Trigonelline,[M+H],C7H7NO2,8.36,138.055503
24,1,positive,120.0988311767578,8.035565376281738,2H2,230724_Smp_G4_2_H_t48_A,Glycine betaine,[M+H],C5H11NO2,7.27,118.086804
27,1,positive,141.07371520996094,8.442708015441895,2H3,230724_Smp_G4_1_H_t48_B,Trigonelline,[M+H],C7H7NO2,8.36,138.055503
33,1,positive,134.08949279785156,11.599925994873049,2H2,230724_Smp_G4_2_H_t48_A,Creatine,[M+H],C4H9N3O2,11.34,132.077302
34,1,positive,260.12286376953125,11.614831924438477,2H2,230724_Smp_G4_2_H_t48_A,Glycerophosphocholine,[M],C8H21NO6P,10.86,258.110652
