Hello! Here are the QC parameters Minimum area for a real peak: 40000.  minutes. Blank can be this fraction of a sample: 2. S/N ratio: 3. Parts per million flexibility: 6. Processed on: 2024-05-24 15:21:21.764739. 
"","molecule_list_name","replicate_name","precursor_ion_name","retention_time","area","background","height","mass_error_ppm","molecule_list","flags","QC_area"
"1","Pos_Standards","230724_Std_4uMStdsMix1InH2O_4","Homarine",NA,NA,NA,NA,NA,"Pos_Standards","",NA
"2","Pos_Standards","230724_Std_4uMStdsMix1InH2O_5","Homarine",NA,NA,NA,NA,NA,"Pos_Standards","",NA
"3","Pos_Standards","230724_Std_4uMStdsMix1InH2O_6","Homarine",NA,NA,NA,NA,NA,"Pos_Standards","",NA
"4","Pos_Standards","230724_Std_4uMStdsMix1InMatrixH_4","Homarine",NA,NA,NA,NA,NA,"Pos_Standards","",NA
"5","Pos_Standards","230724_Std_4uMStdsMix1InMatrixH_5","Homarine",NA,NA,NA,NA,NA,"Pos_Standards","",NA
"6","Pos_Standards","230724_Std_4uMStdsMix1InMatrixH_6","Homarine",NA,NA,NA,NA,NA,"Pos_Standards","",NA
"7","Pos_Standards","230724_Std_4uMStdsMix2InH2O_4","Homarine",6.33,3224174336,34019580,145252816,1.5,"Pos_Standards","",3224174336
"8","Pos_Standards","230724_Std_4uMStdsMix2InH2O_5","Homarine",6.32,3101693952,33663016,138963936,0.1,"Pos_Standards","",3101693952
"9","Pos_Standards","230724_Std_4uMStdsMix2InH2O_6","Homarine",6.33,3155660800,40306708,146636240,0.8,"Pos_Standards","",3155660800
"10","Pos_Standards","230724_Std_4uMStdsMix2InMatrixH_4","Homarine",6.29,3889366272,49643648,164821008,1.6,"Pos_Standards","",3889366272
"11","Pos_Standards","230724_Std_4uMStdsMix2InMatrixH_5","Homarine",6.31,3692747008,32742672,153080208,0.4,"Pos_Standards","",3692747008
"12","Pos_Standards","230724_Std_4uMStdsMix2InMatrixH_6","Homarine",6.28,3830131712,69891128,150181760,1.6,"Pos_Standards","",3830131712
"13","Pos_Standards","230724_Std_H2OinMatrixH_4","Homarine",6.28,1095616512,14484999,48337408,1.9,"Pos_Standards","",1095616512
"14","Pos_Standards","230724_Std_H2OinMatrixH_5","Homarine",6.31,1044282048,9960713,46345392,1.2,"Pos_Standards","",1044282048
"15","Pos_Standards","230724_Std_H2OinMatrixH_6","Homarine",6.33,1112197120,12144833,47593104,0.9,"Pos_Standards","",1112197120
"16","Pos_Standards","230724_Poo_G4-MethylHomFate_Full1","Homarine",6.38,1535905280,18546970,63585628,2.3,"Pos_Standards","",1535905280
"17","Pos_Standards","230724_Poo_G4-MethylHomFate_Full2","Homarine",6.28,1583988608,15574796,65121160,1.3,"Pos_Standards","",1583988608
"18","Pos_Standards","230724_Poo_G4-MethylHomFate_Full3","Homarine",6.29,1491014400,14103406,63291988,0.8,"Pos_Standards","",1491014400
"19","Pos_Standards","230724_Poo_G4-MethylHomFate_Full4","Homarine",6.33,1591864192,15172401,66118836,0.6,"Pos_Standards","",1591864192
