mass_feature,replicate_name,adjusted_area,sample_fraction,z,treatment,retention_time,mz,timepoint,experiment_id
Adenine,230724_Poo_G4-MethylHomFate_Full1,255007488,Particulate,1,NA,5.295846153846154,136.06232,NA,NA
Adenine,230724_Poo_G4-MethylHomFate_Full2,256524688,Particulate,1,NA,5.295846153846154,136.06232,NA,NA
Adenine,230724_Poo_G4-MethylHomFate_Full3,256400896,Particulate,1,NA,5.295846153846154,136.06232,NA,NA
Adenine,230724_Poo_G4-MethylHomFate_Full4,253819520,Particulate,1,NA,5.295846153846154,136.06232,NA,NA
Adenine,230724_Poo_G4-MethylHomFate_Full5,256034288,Particulate,1,NA,5.295846153846154,136.06232,NA,NA
Adenine,230724_Poo_G4-MethylHomFate_Full6,241484352,Particulate,1,NA,5.295846153846154,136.06232,NA,NA
Adenine,230724_Poo_G4-MethylHomFate_Full7,250677296,Particulate,1,NA,5.295846153846154,136.06232,NA,NA
Adenine,230724_Poo_G4-MethylHomFate_Full8,261529504,Particulate,1,NA,5.295846153846154,136.06232,NA,NA
Adenine,230724_Poo_G4-MethylHomFate_Full9,253650288,Particulate,1,NA,5.295846153846154,136.06232,NA,NA
Adenine,230724_Poo_G4-MethylHomFate_Full10,274972736,Particulate,1,NA,5.295846153846154,136.06232,NA,NA
Adenine,230724_Poo_G4-MethylHomFate_Full11,244442656,Particulate,1,NA,5.295846153846154,136.06232,NA,NA
Adenine,230724_Poo_G4-MethylHomFate_Full12,260150640,Particulate,1,NA,5.295846153846154,136.06232,NA,NA
Adenine,230724_Poo_G4-MethylHomFate_Full13,266399536,Particulate,1,NA,5.295846153846154,136.06232,NA,NA
Adenine,230724_Poo_G4-MethylHomFate_Full14,271528320,Particulate,1,NA,5.295846153846154,136.06232,NA,NA
Adenine,230724_Smp_G4_1_C-H_t0_A,137806304,Particulate,1,Control,5.295846153846154,136.06232,0,G4_1
Adenine,230724_Smp_G4_1_C-H_t0_B,166471824,Particulate,1,Control,5.295846153846154,136.06232,0,G4_1
Adenine,230724_Smp_G4_1_C-H_t0_C,107722504,Particulate,1,Control,5.295846153846154,136.06232,0,G4_1
Adenine,230724_Smp_G4_1_C-H_t2_A,117461032,Particulate,1,Control,5.295846153846154,136.06232,2,G4_1
Adenine,230724_Smp_G4_1_C-H_t2_B,87090904,Particulate,1,Control,5.295846153846154,136.06232,2,G4_1
Adenine,230724_Smp_G4_1_C-H_t2_C,130367280,Particulate,1,Control,5.295846153846154,136.06232,2,G4_1
Adenine,230724_Smp_G4_1_C-H_t24_A,79714864,Particulate,1,Control,5.295846153846154,136.06232,24,G4_1
Adenine,230724_Smp_G4_1_C-H_t24_B,30146096,Particulate,1,Control,5.295846153846154,136.06232,24,G4_1
Adenine,230724_Smp_G4_1_C-H_t24_C,143916272,Particulate,1,Control,5.295846153846154,136.06232,24,G4_1
Adenine,230724_Smp_G4_1_C-H_t48_A,140575888,Particulate,1,Control,5.295846153846154,136.06232,48,G4_1
Adenine,230724_Smp_G4_1_C-H_t48_B,91530080,Particulate,1,Control,5.295846153846154,136.06232,48,G4_1
Adenine,230724_Smp_G4_1_C-H_t48_C,127711944,Particulate,1,Control,5.295846153846154,136.06232,48,G4_1
Adenine,230724_Smp_G4_1_H_t2_A,76371000,Particulate,1,Homarine,5.295846153846154,136.06232,2,G4_1
Adenine,230724_Smp_G4_1_H_t2_B,115812696,Particulate,1,Homarine,5.295846153846154,136.06232,2,G4_1
Adenine,230724_Smp_G4_1_H_t2_C,48187092,Particulate,1,Homarine,5.295846153846154,136.06232,2,G4_1
Adenine,230724_Smp_G4_1_H_t24_A,102141248,Particulate,1,Homarine,5.295846153846154,136.06232,24,G4_1
Adenine,230724_Smp_G4_1_H_t24_B,74321104,Particulate,1,Homarine,5.295846153846154,136.06232,24,G4_1
Adenine,230724_Smp_G4_1_H_t24_C,181330016,Particulate,1,Homarine,5.295846153846154,136.06232,24,G4_1
Adenine,230724_Smp_G4_1_H_t48_A,174400848,Particulate,1,Homarine,5.295846153846154,136.06232,48,G4_1
Adenine,230724_Smp_G4_1_H_t48_B,109164864,Particulate,1,Homarine,5.295846153846154,136.06232,48,G4_1
Adenine,230724_Smp_G4_1_H_t48_C,101882304,Particulate,1,Homarine,5.295846153846154,136.06232,48,G4_1
Adenine,230724_Smp_G4_2_C-H_t0_A,318601408,Particulate,1,Control,5.295846153846154,136.06232,0,G4_2
Adenine,230724_Smp_G4_2_C-H_t0_B,110580016,Particulate,1,Control,5.295846153846154,136.06232,0,G4_2
Adenine,230724_Smp_G4_2_C-H_t0_C,222427456,Particulate,1,Control,5.295846153846154,136.06232,0,G4_2
Adenine,230724_Smp_G4_2_C-H_t2_A,318012576,Particulate,1,Control,5.295846153846154,136.06232,2,G4_2
Adenine,230724_Smp_G4_2_C-H_t2_B,228048192,Particulate,1,Control,5.295846153846154,136.06232,2,G4_2
Adenine,230724_Smp_G4_2_C-H_t2_C,242842032,Particulate,1,Control,5.295846153846154,136.06232,2,G4_2
Adenine,230724_Smp_G4_2_C-H_t24_A,275323104,Particulate,1,Control,5.295846153846154,136.06232,24,G4_2
Adenine,230724_Smp_G4_2_C-H_t24_B,273087136,Particulate,1,Control,5.295846153846154,136.06232,24,G4_2
Adenine,230724_Smp_G4_2_C-H_t24_C,266838560,Particulate,1,Control,5.295846153846154,136.06232,24,G4_2
Adenine,230724_Smp_G4_2_C-H_t48_A,439624800,Particulate,1,Control,5.295846153846154,136.06232,48,G4_2
Adenine,230724_Smp_G4_2_C-H_t48_B,342096992,Particulate,1,Control,5.295846153846154,136.06232,48,G4_2
Adenine,230724_Smp_G4_2_C-H_t48_C,465747424,Particulate,1,Control,5.295846153846154,136.06232,48,G4_2
Adenine,230724_Smp_G4_2_H_t2_A,221385648,Particulate,1,Homarine,5.295846153846154,136.06232,2,G4_2
Adenine,230724_Smp_G4_2_H_t2_B,210984800,Particulate,1,Homarine,5.295846153846154,136.06232,2,G4_2
Adenine,230724_Smp_G4_2_H_t2_C,348830816,Particulate,1,Homarine,5.295846153846154,136.06232,2,G4_2
Adenine,230724_Smp_G4_2_H_t24_A,311151616,Particulate,1,Homarine,5.295846153846154,136.06232,24,G4_2
Adenine,230724_Smp_G4_2_H_t24_B,419539136,Particulate,1,Homarine,5.295846153846154,136.06232,24,G4_2
Adenine,230724_Smp_G4_2_H_t24_C,472897920,Particulate,1,Homarine,5.295846153846154,136.06232,24,G4_2
Adenine,230724_Smp_G4_2_H_t48_A,452506912,Particulate,1,Homarine,5.295846153846154,136.06232,48,G4_2
Adenine,230724_Smp_G4_2_H_t48_B,507978944,Particulate,1,Homarine,5.295846153846154,136.06232,48,G4_2
