replicate_name,treatment,sample_fraction,timepoint,experiment_id,Adenine,Adenosine,Adenosine monophosphate,Citrulline,Cytosine,Deoxyadenosine,Glutathione disulfide,Guanosine,Homarine,L-Arginine,L-Asparagine,L-Cysteic acid,L-Glutamic acid,L-Homoserine,L-Lysine,L-Phenylalanine,L-Proline,L-Serine,L-Tryptophan,L-Tyrosine,N-Methyl-L-glutamic acid,UDP-N-acetylglucosamine,homarine_D2,homarine_D3,n-methyl glutamic acid_D2,n-methyl glutamic acid_D3,n-methyl glutamine,n-methyl glutamine_D3,unknown_C6H11NO2_pos,unknown_C6H9NO3_1_neg,unknown_C6H9NO3_1_neg_D3,unknown_C6H9NO3_2_neg_D3,unknown_C6H9NO3_3_neg,unknown_C6H9NO3_3_neg_D3,unknown_C6H9NO4_neg_D3,unknown_C7H11NO3_pos,unknown_C7H9NO5_pos_D3
230724_Poo_G4-MethylHomFate_Full1,NA,Particulate,NA,NA,255007488,204383680,2765937,10850715,79366976,36783860,273036,3119342,1535905280,35262652,7936322,916511,396400128,4316969,4418846,42152252,84666480,9098239,6921026,10116427,3637542,184577,19816344,5279260672,403744,35520708,1293959,18471624,1651320,144424,1436096,581381,NA,NA,NA,29147984,265796
230724_Poo_G4-MethylHomFate_Full2,NA,Particulate,NA,NA,256524688,206629392,3275645,10860579,79967688,39606520,211053,3234275,1583988608,34503888,7725816,1029925,424328992,4177776,4551813,40785276,82823008,8901014,7010578,10084495,3466213,284486,20095206,5469517312,396893,36110116,1243068,20336802,2007321,40655,1520511,487794,70315,61546,73534,31263776,282638
230724_Poo_G4-MethylHomFate_Full3,NA,Particulate,NA,NA,256400896,200255776,3199182,13255971,77644608,37704464,225924,3044810,1491014400,38171760,8002966,958395,460193792,3989687,4850281,38107240,78950552,9950462,6668324,9973561,3473730,249205,18942030,5124203008,424221,37131224,1189902,17772314,1909260,100732,1576226,656374,NA,45272,54608,29659998,249654
230724_Poo_G4-MethylHomFate_Full4,NA,Particulate,NA,NA,253819520,200361616,3173807,17559656,76790928,38105296,264555,3083561,1591864192,45395480,9802112,1265528,547336000,4573547,5557339,39837520,78798512,11549037,6895482,10119910,3608795,321602,19868930,5466172416,485229,37948436,1271254,17231506,1745240,140562,1636561,654601,105359,66537,NA,31745476,360844
230724_Poo_G4-MethylHomFate_Full5,NA,Particulate,NA,NA,256034288,213678640,3610649,18048746,82707216,40986576,312864,3500764,1645649664,49605100,10266161,1191761,538342976,4995879,6269679,41231576,88505904,12626813,7182725,11038142,3977409,352261,20718594,5649290240,474935,39385492,1311804,18772520,2051925,200453,1694244,577825,53091,47364,49021,33075132,369165
230724_Poo_G4-MethylHomFate_Full6,NA,Particulate,NA,NA,241484352,184267456,3040829,10319283,67841712,33569252,155495,3152038,1538082688,35948368,7839230,1001627,431649344,NA,4863948,35763164,70949912,8555401,6113718,10262470,3430708,200049,19886232,5263500288,399376,35899700,1023968,17281594,1860897,151046,1603718,687373,NA,50710,NA,29001254,266112
230724_Poo_G4-MethylHomFate_Full7,NA,Particulate,NA,NA,250677296,200817568,3054919,12261996,68995608,39552516,192929,3241817,1570223744,36695568,8553376,1061516,471962496,5027898,4766025,40603120,72234328,9602017,6518701,10517222,3535114,347346,19923522,5384835072,459365,37219528,1136335,15355492,1879333,109724,1628599,729307,NA,NA,NA,31271846,268981
230724_Poo_G4-MethylHomFate_Full8,NA,Particulate,NA,NA,261529504,205649296,3334315,12806988,56716388,39726032,213112,3066901,1545444736,37719632,8548465,1093043,514708800,NA,4947094,41982784,68137088,9654659,6749668,11137878,3800853,289449,19493382,5264954880,430051,37953484,1293383,15674902,1581598,88139,1699586,546157,NA,42882,NA,31846634,307620
230724_Poo_G4-MethylHomFate_Full9,NA,Particulate,NA,NA,253650288,202261056,3290127,10937900,45373880,39295592,142549,3135484,1578271488,37038480,8043691,1084656,506362272,3855962,4841718,40786700,66182568,8553654,6542641,11356908,3712158,285135,19855290,5395046912,499578,37738804,1034620,15836942,1822171,161250,1682343,715804,89477,NA,NA,30733660,286019
230724_Poo_G4-MethylHomFate_Full10,NA,Particulate,NA,NA,274972736,232562624,3622422,11953615,74290744,45299568,179914,3551733,1647210112,39081204,8590675,1142307,495785344,4668961,4763683,47485560,71247312,10447707,7468734,11179656,3591558,126497,20759202,5655451648,392944,38012968,1271851,17744244,1697348,144896,1617565,747576,43596,145922,NA,32000738,279632
