mass_feature,sample_fraction,experiment_id,timepoint,med_pvalue_h,med_fc_h,med_qvalue_h,core_metabolite
Adenine,Particulate,G51,0,0.14063385852057067,1.59865694642047,0.5136193093794754,core
Adenine,Particulate,G51,6,0.26798807702229366,0.5450793577271263,0.5697150832159729,core
Adenine,Particulate,G51,12,0.7138242265923889,0.899709142628712,0.7425539942261383,core
Adenine,Particulate,G51,24,0.31793222876484195,1.307212614546739,0.5831836826485042,core
Adenine,Particulate,G51,48,0.39663351452826434,0.7611374608755298,0.5937078921732292,core
Adenine,Particulate,G51,96,0.22129460860839356,0.7525257814036607,0.5669476259215653,core
Adenine,Particulate,G52,0,0.3988956725945598,1.1590156397367686,0.5937078921732292,core
Adenine,Particulate,G52,6,0.23240123654766826,0.6928334712550549,0.5697150832159729,core
Adenine,Particulate,G52,12,0.38074554646961434,0.8456301186458918,0.5937078921732292,core
Adenine,Particulate,G52,24,0.3225678419561935,0.9981618504747255,0.5831836826485042,core
Adenine,Particulate,G52,48,0.6688034502966387,0.9881789151141909,0.7247664512664689,core
Adenine,Particulate,G52,96,0.13388796982699336,0.45546301481076235,0.511208612066702,core
Adenosine,Particulate,G51,0,0.2499496658569391,1.8176467977704436,0.5697150832159729,core
Adenosine,Particulate,G51,6,0.6112950653581775,1.316026423602767,0.6961416568138894,core
Adenosine,Particulate,G51,12,0.7702333347939725,0.891195482608028,0.7842375772447719,core
Adenosine,Particulate,G51,24,0.743895497129803,1.1051091512941866,0.7643696851242012,core
Adenosine,Particulate,G51,48,0.6022135815445115,0.8385105806040596,0.6958435731918506,core
Adenosine,Particulate,G51,96,0.07352599601009822,2.8919252432644065,0.4308728987276808,core
Adenosine,Particulate,G52,0,0.683023011979639,0.9728395241073531,0.7308781274686583,core
Adenosine,Particulate,G52,6,0.18175760991332202,0.5601864054948837,0.545272829739966,core
Adenosine,Particulate,G52,12,0.1315640156780886,0.6271422107757356,0.511208612066702,core
Adenosine,Particulate,G52,24,0.16206701478443444,0.6342655027895587,0.5419489679611648,core
Adenosine,Particulate,G52,48,0.6072384586078072,0.8251264693056611,0.6958435731918506,core
Adenosine,Particulate,G52,96,0.11173937790264826,0.3496767101875443,0.49350727706033537,core
Adenosine monophosphate,Particulate,G51,0,0.1567650294570338,2.165136851500244,0.5419489679611648,non-core
Adenosine monophosphate,Particulate,G51,6,0.742390887085465,1.2038073724306364,0.7643696851242012,non-core
Adenosine monophosphate,Particulate,G51,12,0.8100614258165284,0.8706166300179013,0.8124795196249359,non-core
Adenosine monophosphate,Particulate,G51,24,0.7117728567079539,0.7602504644514672,0.7425539942261383,non-core
Adenosine monophosphate,Particulate,G51,48,0.3868611697166281,1.7195762512754782,0.5937078921732292,non-core
Adenosine monophosphate,Particulate,G51,96,0.7499781459318926,0.7329108029724731,0.7659351277602306,non-core
Adenosine monophosphate,Particulate,G52,0,0.6551159950730501,0.9146335519489369,0.7146719946251455,non-core
Adenosine monophosphate,Particulate,G52,6,0.3586716197633723,1.0680953563326563,0.5908950484882509,non-core
Adenosine monophosphate,Particulate,G52,12,0.31482759141034855,1.2141382889427828,0.5831836826485042,non-core
Adenosine monophosphate,Particulate,G52,24,0.6485400561043373,1.087653554895543,0.7121344926753133,non-core
Adenosine monophosphate,Particulate,G52,48,0.7075154105494008,0.8656324112393361,0.740576878332083,non-core
Adenosine monophosphate,Particulate,G52,96,0.17640144993622336,0.9751292521934029,0.5428222344996396,non-core
Citrulline,Particulate,G51,0,0.21701474564451112,0.4655271044156627,0.560899650281198,core
Citrulline,Particulate,G51,6,0.45368418471836325,1.0156676280324475,0.6227509941028605,core
Citrulline,Particulate,G51,12,0.749396716120287,1.1202077205550738,0.7659351277602306,core
Citrulline,Particulate,G51,24,0.3076930456328665,0.6361692878429159,0.5831836826485042,core
Citrulline,Particulate,G51,48,0.6132676500503311,0.7618827179712789,0.6961416568138894,core
Citrulline,Particulate,G51,96,0.17793490490340458,0.33820022197387634,0.5428222344996396,core
Citrulline,Particulate,G52,0,0.4491591223072574,0.6555720723325796,0.6210595271408991,core
Citrulline,Particulate,G52,6,0.3510015005254062,1.3998482577868532,0.5867487769976939,core
Citrulline,Particulate,G52,12,0.5805548169152124,1.2249607047834001,0.6849116700906751,core
Citrulline,Particulate,G52,24,0.47753781000278617,0.7101390410496695,0.634200411703305,core
Citrulline,Particulate,G52,48,0.7737251690974404,0.9257451354249324,0.7854128604735346,core
Citrulline,Particulate,G52,96,0.2883140494839226,1.021961158948748,0.5800809618359161,core
Cytosine,Particulate,G51,0,0.12323870082713936,1.5984044578231833,0.5038918929219558,core
Cytosine,Particulate,G51,6,0.29524314110434235,0.5351365086995362,0.5831836826485042,core
Cytosine,Particulate,G51,12,0.7413978591432278,0.9654241157177749,0.7643696851242012,core
Cytosine,Particulate,G51,24,0.30600669173456585,1.4343399754481658,0.5831836826485042,core
Cytosine,Particulate,G51,48,0.6390313935335213,0.9643489611456442,0.710876275036071,core
Cytosine,Particulate,G51,96,0.25328257333070303,0.6620230411230896,0.5697150832159729,core
Cytosine,Particulate,G52,0,0.0574270183562074,1.7390722332948996,0.4089353797583421,core
Cytosine,Particulate,G52,6,0.27298847737432036,1.1178535380846686,0.5697150832159729,core
Cytosine,Particulate,G52,12,0.28653389765769577,1.0700513145789068,0.5800809618359161,core
Cytosine,Particulate,G52,24,0.14839022583132183,1.3732942372247265,0.528259964085727,core
Cytosine,Particulate,G52,48,0.6591287094829972,1.2355888500997647,0.7167224802145212,core
Cytosine,Particulate,G52,96,0.14935921603614305,0.45209747827659647,0.528259964085727,core
Deoxyadenosine,Particulate,G51,0,0.10463828932000674,1.9007338056529401,0.49350727706033537,core
Deoxyadenosine,Particulate,G51,6,0.3963859180967202,1.5662336011393365,0.5937078921732292,core
Deoxyadenosine,Particulate,G51,12,0.2681165877989589,1.6349876529038596,0.5697150832159729,core
Deoxyadenosine,Particulate,G51,24,0.19812808753363229,2.2745322753448862,0.5489216937495365,core
Deoxyadenosine,Particulate,G51,48,0.6296476165158861,1.171958332082879,0.7075638767536379,core
