Hello! Here are the QC parameters Minimum area for a real peak: 40000.  minutes. Blank can be this fraction of a sample: 2. S/N ratio: 3. Parts per million flexibility: 6. Processed on: 2024-05-28 10:41:23.314761. 
"","molecule_list_name","replicate_name","precursor_ion_name","retention_time","area","background","height","mass_error_ppm","molecule_list","flags","QC_area"
"1","Neg_Standards","230717_Std_4uMStdsMix1InH2O_1","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"2","Neg_Standards","230717_Std_4uMStdsMix1InH2O_2","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"3","Neg_Standards","230717_Std_4uMStdsMix1InH2O_3","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"4","Neg_Standards","230717_Std_4uMStdsMix1InH2O_4","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"5","Neg_Standards","230717_Std_4uMStdsMix1InH2O_5","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"6","Neg_Standards","230717_Std_4uMStdsMix1InH2O_6","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"7","Neg_Standards","230717_Std_4uMStdsMix1InMatrix1_1","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"8","Neg_Standards","230717_Std_4uMStdsMix1InMatrix1_2","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"9","Neg_Standards","230717_Std_4uMStdsMix1InMatrix1_3","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"10","Neg_Standards","230717_Std_4uMStdsMix1InMatrix2_4","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"11","Neg_Standards","230717_Std_4uMStdsMix1InMatrix2_5","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"12","Neg_Standards","230717_Std_4uMStdsMix1InMatrix2_6","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"13","Neg_Standards","230717_Std_4uMStdsMix2InH2O_1","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"14","Neg_Standards","230717_Std_4uMStdsMix2InH2O_2","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"15","Neg_Standards","230717_Std_4uMStdsMix2InH2O_3","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"16","Neg_Standards","230717_Std_4uMStdsMix2InH2O_4","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"17","Neg_Standards","230717_Std_4uMStdsMix2InH2O_5","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"18","Neg_Standards","230717_Std_4uMStdsMix2InH2O_6","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"19","Neg_Standards","230717_Std_4uMStdsMix2InMatrix1_1","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"20","Neg_Standards","230717_Std_4uMStdsMix2InMatrix1_2","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"21","Neg_Standards","230717_Std_4uMStdsMix2InMatrix1_3","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"22","Neg_Standards","230717_Std_4uMStdsMix2InMatrix2_4","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"23","Neg_Standards","230717_Std_4uMStdsMix2InMatrix2_5","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
