Hello! Here are the QC parameters Minimum area for a real peak: 40000.  minutes. Blank can be this fraction of a sample: 2. S/N ratio: 3. Parts per million flexibility: 6. Processed on: 2025-06-09 17:10:12.294019. 
"","replicate_name","precursor_ion_name","retention_time","area","background","height","mass_error_ppm","flags","QC_area"
"1","230717_Std_4uMStdsMix1InH2O_1","Homarine",5.52,0,0,0,NA,"areamin_flag, ",NA
"2","230717_Std_4uMStdsMix1InH2O_2","Homarine",6.72,31171,0,12790,1.6,"areamin_flag, ",NA
"3","230717_Std_4uMStdsMix1InH2O_3","Homarine",5.54,43231,0,13056,1,"",43231
"4","230717_Std_4uMStdsMix1InH2O_4","Homarine",6.95,65214,0,16929,1,"",65214
"5","230717_Std_4uMStdsMix1InH2O_5","Homarine",6.86,92670,0,16789,0.8,"",92670
"6","230717_Std_4uMStdsMix1InH2O_6","Homarine",6.58,262696,0,18303,1.2,"",262696
"7","230717_Std_4uMStdsMix1InMatrix1_1","Homarine",6.38,120127256,2149876,5551090,1,"",120127256
"8","230717_Std_4uMStdsMix1InMatrix1_2","Homarine",6.39,83460920,626487,3783161,0.8,"",83460920
"9","230717_Std_4uMStdsMix1InMatrix1_3","Homarine",6.39,93334728,0,4659676,1.7,"",93334728
"10","230717_Std_4uMStdsMix1InMatrix2_4","Homarine",6.37,511397504,839050,24644852,1.3,"",511397504
"11","230717_Std_4uMStdsMix1InMatrix2_5","Homarine",6.37,541981568,746788,26293896,0.9,"",541981568
"12","230717_Std_4uMStdsMix1InMatrix2_6","Homarine",6.35,617759680,0,29915236,0,"",617759680
"13","230717_Std_4uMStdsMix2InH2O_1","Homarine",6.39,2239165440,0,100193800,0.7,"",2239165440
"14","230717_Std_4uMStdsMix2InH2O_2","Homarine",6.37,1805799168,0,80886512,0.4,"",1805799168
"15","230717_Std_4uMStdsMix2InH2O_3","Homarine",6.39,1881351168,0,87336400,0.9,"",1881351168
"16","230717_Std_4uMStdsMix2InH2O_4","Homarine",6.39,1923472640,0,93862400,0.9,"",1923472640
"17","230717_Std_4uMStdsMix2InH2O_5","Homarine",6.33,2059182080,0,88992256,0.4,"",2059182080
"18","230717_Std_4uMStdsMix2InH2O_6","Homarine",6.34,2240780544,179597,106674576,-0.2,"",2240780544
"19","230717_Std_4uMStdsMix2InMatrix1_1","Homarine",6.36,1966930304,1611311,93876072,0.8,"",1966930304
"20","230717_Std_4uMStdsMix2InMatrix1_2","Homarine",6.37,1869439872,611109,87624800,0.7,"",1869439872
"21","230717_Std_4uMStdsMix2InMatrix1_3","Homarine",6.32,1939194240,1141221,88852608,1.2,"",1939194240
"22","230717_Std_4uMStdsMix2InMatrix2_4","Homarine",6.33,2429749504,1357085,107076920,1.1,"",2429749504
"23","230717_Std_4uMStdsMix2InMatrix2_5","Homarine",6.37,2548553984,1776382,118520464,0.7,"",2548553984
"24","230717_Std_4uMStdsMix2InMatrix2_6","Homarine",6.32,2787059968,2061876,130917896,0.1,"",2787059968
"25","230717_Std_H2OinMatrix1_1","Homarine",6.36,136173264,1942181,6578477,1.8,"",136173264
"26","230717_Std_H2OinMatrix1_2","Homarine",6.39,93132160,11475,4703119,0.8,"",93132160
"27","230717_Std_H2OinMatrix1_3","Homarine",6.4,94128168,0,4230970,1.3,"",94128168
"28","230717_Std_H2OinMatrix2_4","Homarine",6.31,543987328,0,25130566,1.3,"",543987328
"29","230717_Std_H2OinMatrix2_5","Homarine",6.38,578628416,108101,26246950,1,"",578628416
"30","230717_Std_H2OinMatrix2_6","Homarine",6.38,638644224,1499332,29701906,0.3,"",638644224
"31","230717_Poo_G5-HomFate1_Full1","Homarine",6.37,185338928,1588525,9123125,1.1,"",185338928
"32","230717_Poo_G5-HomFate1_Full2","Homarine",6.37,183549952,1141143,8565053,1.1,"",183549952
"33","230717_Poo_G5-HomFate1_Full3","Homarine",6.4,173568784,2095677,8363772,1.2,"",173568784
"34","230717_Poo_G5-HomFate1_Full4","Homarine",6.4,182461824,515196,8380584,2.1,"",182461824
"35","230717_Poo_G5-HomFate1_Full5","Homarine",6.33,160842608,1758129,7805202,0.7,"",160842608
"36","230717_Poo_G5-HomFate1_Full6","Homarine",6.37,165337424,1345132,7870104,1.3,"",165337424
"37","230717_Poo_G5-HomFate1_Full7","Homarine",6.3,161078208,1896564,8035589,0.5,"",161078208
"38","230717_Poo_G5-HomFate2_Full1","Homarine",6.37,1003001152,1571858,49291488,1,"",1003001152
"39","230717_Poo_G5-HomFate2_Full2","Homarine",6.3,955499712,2118208,45035940,0.8,"",955499712
"40","230717_Poo_G5-HomFate2_Full3","Homarine",6.3,935739520,40212,43200324,0.9,"",935739520
"41","230717_Poo_G5-HomFate2_Full4","Homarine",6.41,982451712,2599557,45739348,1,"",982451712
"42","230717_Poo_G5-HomFate2_Full5","Homarine",6.33,1083571584,2462522,52071312,1.2,"",1083571584
"43","230717_Poo_G5-HomFate2_Full6","Homarine",6.33,963931712,1671663,45220600,0.1,"",963931712
"44","230717_Poo_G5-HomFate2_Full7","Homarine",6.32,1006459328,2250538,46666844,1.2,"",1006459328
"45","230717_Smp_G5_Hom1_C_A","Homarine",6.39,208495488,124823,9475951,1.1,"",208495488
"46","230717_Smp_G5_Hom1_C_B","Homarine",6.37,130643480,0,6040263,1,"",130643480
"47","230717_Smp_G5_Hom1_C_C","Homarine",6.39,197218192,0,9242395,1,"",197218192
"48","230717_Smp_G5_Hom1_T0_A","Homarine",6.4,200439664,0,9590071,1.6,"",200439664
"49","230717_Smp_G5_Hom1_T0_B","Homarine",6.39,181948928,0,8696464,1.3,"",181948928
"50","230717_Smp_G5_Hom1_T0_C","Homarine",6.39,196602688,0,9551465,0.5,"",196602688
"51","230717_Smp_G5_Hom1_T6_A","Homarine",6.36,191311904,0,9056521,0.8,"",191311904
"52","230717_Smp_G5_Hom1_T6_B","Homarine",6.33,188089824,0,8853788,1,"",188089824
"53","230717_Smp_G5_Hom1_T6_C","Homarine",6.36,163952720,0,8164803,0.9,"",163952720
"54","230717_Smp_G5_Hom1_T12_A","Homarine",6.35,175571952,491993,8483827,1.2,"",175571952
"55","230717_Smp_G5_Hom1_T12_B","Homarine",6.37,186076464,172763,8570842,0.6,"",186076464
"56","230717_Smp_G5_Hom1_T12_C","Homarine",6.34,167902768,0,8925413,1.4,"",167902768
"57","230717_Smp_G5_Hom1_T24_A","Homarine",6.36,109731848,1377295,5387600,-0.1,"",109731848
"58","230717_Smp_G5_Hom1_T24_B","Homarine",6.36,116066792,1909963,5281834,1.2,"",116066792
"59","230717_Smp_G5_Hom1_T24_C","Homarine",6.37,102699248,0,4884901,1,"",102699248
"60","230717_Smp_G5_Hom1_T48_A","Homarine",6.32,169668032,2867544,8307513,2,"",169668032
