mass_feature,retention_time,mz,z
Adenine,5.329625,136.06232,1
Adenosine,5.117,268.10458,1
Citrulline,12.732837837837838,176.103517,1
Cytosine,7.665270270270271,112.051087,1
Deoxyadenosine,3.903953488372093,252.109665,1
Glutathione disulfide,15.1,613.159793,1
Guanosine,9.78125,284.099495,1
Homarine,6.369294117647059,138.055503,1
L-Arginine,19.44108108108108,175.119501,1
L-Asparagine,12.082837837837838,133.061318,1
L-Glutamic acid,12.680135135135135,148.060984,1
L-Homoserine,11.862125,120.066069,1
L-Lysine,18.61175,147.113353,1
L-Phenylalanine,6.716621621621622,NA,1
"L-Phenylalanine, 2H8",6.808378378378379,NA,1
L-Proline,9.715625000000001,116.071154,1
L-Serine,12.431375,106.050419,1
L-Tryptophan,8.546756756756757,NA,1
L-Tyrosine,10.188125,182.081719,1
N-Methyl-L-glutamic acid,11.089418604651163,162.076634,1
glutamic_acid_13C_15N,12.68279411764706,NA,1
homarine_13C_15N,6.369189189189189,NA,1
n-methyl glutamic acid_13C_15N,11.107391304347827,NA,1
n-methyl glutamine,11.100588235294119,NA,1
n-methyl glutamine_13C_15N,10.381935483870969,NA,1
unknown_C6H11NO2_pos,11.338392857142857,NA,1
unknown_C6H9NO4_pos_13C_15N,13.0348,NA,1
unknown_C6H9NO4_pos_early_13C_15N,13.08,NA,1
unknown_C7H11NO3_pos,8.871290322580645,NA,1
unknown_C7H9NO5_pos_13C_15N,13.0428,NA,1
NA,12.27913612565445,NA,-1
