mass_feature,molecule_id,stable_isotope_version,retention_time,mz,z,core,internal_standard,remove
"AMP, 15N5",,,NA,NA,NA,non-core,TRUE,
"DL-Alanine, 2H3",,,11.186,NA,1,non-core,TRUE,
"DL-Proline, 2H7",,,9.518076923076922,NA,1,non-core,TRUE,
"DL-Valine, 2H8",,,8.809076923076923,NA,1,non-core,TRUE,
"GMP, 15N5",,,NA,NA,NA,non-core,TRUE,
"Sucrose, 13C",,,NA,NA,NA,non-core,TRUE,
"Trehalose, 13C",,,NA,NA,NA,non-core,TRUE,
Adenine,Adenine,,5.247035006,136.06232,1,core,,
Adenosine,Adenosine,,5.038961415279195,268.10458,1,core,,
Adenosine monophosphate,Adenosine monophosphate,,11.585,346.055,1,core,,
Citrulline,Citrulline,,12.433028140778141,176.103517,1,core,,
Cytosine,Cytosine,,7.5661415969496995,112.051087,1,core,,
Deoxyadenosine,Deoxyadenosine,,3.8478079307493087,252.109665,1,core,,
Glutathione disulfide,Glutathione disulfide,,14.70605575980392,613.159793,1,core,,
Guanosine,Guanosine,,9.654544422332986,284.099495,1,core,,
Homarine,Homarine,,6.253805332,138.055503,1,non-core,,
homarine_13C_15N,Homarine,"13C6, 15N1",6.252945759664369,146.07542,1,non-core,,
homarine_D2,Homarine,2H2,6.305365853658537,140.0674535,1,non-core,,
homarine_D3,Homarine,2H3,6.311860465116279,141.0737302,1,non-core,,
L-Arginine,Arginine,,19.776543818150962,175.119501,1,core,,
L-Asparagine,Asparagine,,11.659966713923746,133.061318,1,core,,
L-Cysteic acid,Cysteic acid,,12.15,167.996671,-1,core,,
L-Glutamic acid,Glutamic acid,,12.178111550366882,148.060984,1,core,,
L-Homoserine,Homoserine,,11.584712155560606,120.066069,1,core,,
L-Lysine,Lysine,,18.90331819706791,147.113353,1,core,,
L-Phenylalanine,Phenylalanine,,5.942170059841805,166.086804,1,core,,
L-Proline,Proline,,9.583308758,116.071154,1,core,,
L-Serine,Serine,,11.998697009835404,106.050419,1,core,,
L-Tryptophan,Tryptophan,,8.188088948561024,205.097703,1,core,,
L-Tyrosine,Tyrosine,,9.829156984014535,182.081719,1,core,,
n-methyl glutamic acid_13C_15N,n-Methyl Glutamic Acid,"13C6, 15N1",11.060340557275543,169.093065,1,non-core,,
n-methyl glutamic acid_D2,n-Methyl Glutamic Acid,2H2,10.604482758620687,164.0884535,1,non-core,,
n-methyl glutamic acid_D3,n-Methyl Glutamic Acid,2H3,10.60530612244898,165.0947302,1,non-core,,
n-methyl glutamine,n-Methyl Glutamine,,9.845817407306434,161.0921,1,non-core,,
n-methyl glutamine_13C_15N,n-Methyl Glutamine,"13C6, 15N1",10.295368852459017,168.109265,1,non-core,,
n-methyl glutamine_D3,n-Methyl Glutamine,2H3,10.0240625,164.1109302,1,non-core,,
N-Methyl-L-glutamic acid,n-Methyl Glutamic Acid,,10.651107269155833,162.076634,1,non-core,,
UDP-N-acetylglucosamine,UDP-N-acetylglucosamine,,12.75,606.073753,-1,core,,
unknown_C6H11NO2_pos,,,10.943142771259446,130.0868,1,non-core,,TRUE
unknown_C6H9NO3_1_neg,unknown C6H9NO3 (-@rt10),,10,142.0504,-1,non-core,,
unknown_C6H9NO3_1_neg_13C_15N,unknown C6H9NO3 (-@rt10),"13C6, 15N1",10,149.067565,-1,non-core,,
unknown_C6H9NO3_1_neg_D3,unknown C6H9NO3 (-@rt10),2H3,10,145.0692302,-1,non-core,,
unknown_C6H9NO3_2_neg,unknown C6H9NO3 (-@rt11),,11,142.0504,-1,non-core,,
unknown_C6H9NO3_2_neg_13C_15N,unknown C6H9NO3 (-@rt11),"13C6, 15N1",11,149.067565,-1,non-core,,
unknown_C6H9NO3_2_neg_D3,unknown C6H9NO3 (-@rt11),2H3,11,145.0692302,-1,non-core,,
unknown_C6H9NO3_3_neg,unknown C6H9NO3 (-@rt12),,12,142.0504,-1,non-core,,
unknown_C6H9NO3_3_neg_D3,unknown C6H9NO3 (-@rt12),2H3,12,145.0692302,-1,non-core,,
unknown_C6H9NO4_neg,unknown C6H9NO4 (-@rt3.5),,3.5,158.0453,-1,non-core,,
unknown_C6H9NO4_neg_D3,unknown C6H9NO4 (-@rt3.5),2H3,3.5,161.0641302,-1,non-core,,
unknown_C6H9NO4_pos,unknown C6H9NO4 (+@rt12),,12.042702302631579,160.061,1,non-core,,
unknown_C6H9NO4_pos_13C_15N,unknown C6H9NO4 (+@rt12),,12.813400000000001,167.078165,1,non-core,,
unknown_C6H9NO4_pos_early,,,4.429445736434109,160.061,1,non-core,TRUE,
unknown_C7H11NO3_pos,,,8.401425844758622,158.0817,1,non-core,TRUE,
unknown_C7H9NO5_pos,unknown C7H9NO5 (+@rt12),,12.357062801932367,188.055899,1,non-core,,
unknown_C7H9NO5_pos_13C_15N,unknown C7H9NO5 (+@rt12),"13C6, 15N1",12.251519047619048,196.076419,1,non-core,,
unknown_C7H9NO5_pos_D3,unknown C7H9NO5 (+@rt12),2H3,12.438,191.0747292,1,non-core,,
glutamic_acid_13C_15N,Glutamic acid,"13C6, 15N1",12.178111550366882,154.074794,1,non-core,,
glutamic_acid_D3,Glutamic acid,2H3,12.178111550366882,151.0798142,1,non-core,,
