mass_feature,sample_fraction,med_pvalue_h,med_pvalue_hNH4,med_fc_h,med_fc_hNH4,med_pvalue_cmb,med_qvalue_h,med_qvalue_hNH4,med_qvalue_cmb,z,sample_set,dat_type,RT,mz,MS2,add_annotation,row_id,plot_label
(3-Carboxypropyl)trimethylammonium,Particulate,0.06020422209452023,0.3846621705355143,2.3884859624062003,1.0046471040548328,0.02315828674628032,0.18090762345933017,0.583886091636921,0.05463307326064464,1,OBi1_set2,targeted,9.829,146.11729,NA,[M+H],153,(3-Carboxypropyl)trimethylammonium
2-Hydroxy-4-(methylthio)butyric acid,Particulate,0.07389737954891018,0.2875512509170305,3.4320694851059543,1.1625099725669483,0.02124928392877971,0.20182727292816627,0.583886091636921,0.05371346770885982,-1,OBi1_set2,targeted,2.271923076923077,149.027242,NA,NA,2,2-Hydroxy-4-(methylthio)butyric acid
2-Ketoglutaric acid,Particulate,0.4011767835255575,0.5610395743869676,1.3863985934030887,1.0598485297164646,0.22507605188311144,0.49333901757872617,0.6264368253891295,0.25131191069157227,-1,OBi1_set2,targeted,12.243,145.01341,51.39236:7264 55.81876:6524 57.03335:10928 60.22976:7534 73.02835:7702 74.52777:7748 91.09241:7111 101.02342:45129 118.03992:12632 127.33211:6702,NA,390,2-Ketoglutaric acid
3-Phosphoglycerate,Particulate,0.005930307753398225,0.3978078760691406,0.2872008046719717,0.8578683105031434,0.0023591231318157045,0.10327030601972022,0.583886091636921,0.01266751153101743,-1,OBi1_set2,targeted,13.75,184.98508,NA,NA,407,3-Phosphoglycerate
5-Hydroxyectoine,Dissolved,0.06162787172790368,0.33123933406180256,3.031998753448626,1.5701521172091604,0.020413575190797006,0.18090762345933017,0.583886091636921,0.052327756122888106,1,OBi1_set2,targeted,11.109,159.07674,53.03933:9272 56.05029:13564 56.68759:7682 57.24014:8356 60.04524:39086 65.98367:6957 67.34306:6825 69.9676:7487 70.0659:11546 72.04518:134742 72.08152:14399 72.21965:6570 72.67627:6906 75.84938:9475 78.04269:10102 79.01734:6416 79.10047:6632 81.10565:7042 82.02978:7129 83.06112:227429 84.0451:136226 89.07163:10474 89.14362:7890 95.061:27206 96.04513:38366 96.05317:38431 96.05594:7347 96.08118:8786 99.05587:17239 100.03983:20345 105.49686:6835 106.04847:16972 108.18807:7503 113.07142:881596 117.0663:46862 117.96007:8895 123.92254:7508 124.00934:7300 130.6956:6880 141.06587:11778 152.55998:7811 159.07671:614263,NA,606,5-Hydroxyectoine
5-Hydroxyectoine,Particulate,0.16375287128700544,0.4470298066787154,0.6504501954595754,0.925781590092287,0.07320241439451461,0.2860721539875902,0.583886091636921,0.11010611090745173,1,OBi1_set2,targeted,11.052926829268293,159.076968,NA,NA,5,5-Hydroxyectoine
5-Oxoproline,Particulate,0.14939753784156776,0.2802195242438393,0.8088048335100105,1.1425766473168681,0.04186410697716509,0.27496868518313805,0.583886091636921,0.07256445209375283,-1,OBi1_set2,targeted,6.695,128.03423,NA,[M-H]-,380,5-Oxoproline
Adenine,Particulate,0.4318415916796828,0.7390020765832884,2.178856098240621,0.9122094819188558,0.3191318330063181,0.5118178092933257,0.7560709420547491,0.3300113273133517,1,OBi1_set2,targeted,4.814390243902439,136.06232,NA,NA,7,Adenine
Adenosine,Particulate,0.351015896911355,0.4587155023681032,0.9065158979892978,0.820795903316893,0.16101643349088254,0.45943708859916044,0.583886091636921,0.19438732001614148,1,OBi1_set2,targeted,4.621,268.10376,51.81222:8245 56.43267:10287 59.60114:9616 60.67353:9035 61.00478:8875 64.32533:8750 65.2409:8866 85.02905:17743 97.9492:8016 115.03948:30817 133.04958:58527 136.06194:11347904 157.30318:10439 166.08968:11402 174.23972:8274 177.41515:7959 217.24284:100563 254.19917:10763 262.58795:12713,[M+H],263,Adenosine
Adenosine diphosphate,Particulate,0.38570979986582254,0.4003177453223628,2.8016799335396905,1.8444150773028816,0.15440647743102587,0.480816325860135,0.583886091636921,0.191169924438413,-1,OBi1_set2,targeted,12.52939393939394,426.021596,NA,NA,9,Adenosine diphosphate
