mass_feature,z,sample_fraction,sample_set,dat_type,RT,mz,MS2,add_annotation,row_id
2-Hydroxy-4-(methylthio)butyric acid,-1,Particulate,OBi1_set2,targeted,2.271923076923077,149.027242,NA,NA,2
5-Hydroxyectoine,1,Particulate,OBi1_set2,targeted,11.052926829268293,159.076968,NA,NA,5
Adenine,1,Particulate,OBi1_set2,targeted,4.814390243902439,136.06232,NA,NA,7
Adenosine diphosphate,-1,Particulate,OBi1_set2,targeted,12.52939393939394,426.021596,NA,NA,9
Adenosine monophosphate,-1,Particulate,OBi1_set2,targeted,10.98764705882353,346.055262,NA,NA,10
Adenosine triphosphate,-1,Particulate,OBi1_set2,targeted,13.638571428571428,505.987929,NA,NA,11
Creatine,1,Particulate,OBi1_set2,targeted,11.293243243243245,132.077302,NA,NA,14
D-Glucose 6-phosphate,-1,Particulate,OBi1_set2,targeted,13.406842105263156,259.021897,NA,NA,21
Dimethylsulfoniopropionate,1,Particulate,OBi1_set2,targeted,9.780625,135.047977,NA,NA,25
Ectoine,1,Particulate,OBi1_set2,targeted,9.47658536585366,143.082053,NA,NA,26
Glucosamine,1,Particulate,OBi1_set2,targeted,10.47974358974359,180.087199,NA,NA,28
Glutamylphenylalanine,1,Particulate,OBi1_set2,targeted,8.658846153846154,295.129398,NA,NA,29
Glutathione,1,Particulate,OBi1_set2,targeted,11.47222222222222,308.091634,NA,NA,30
Glycerophosphocholine,1,Particulate,OBi1_set2,targeted,10.929354838709678,258.110652,NA,NA,32
Glycerophosphoric acid,-1,Particulate,OBi1_set2,targeted,11.953888888888889,171.005853,NA,NA,33
Glycine,1,Particulate,OBi1_set2,targeted,11.424615384615384,76.039854,NA,NA,34
Gonyol,1,Particulate,OBi1_set2,targeted,10.69441176470588,179.074191,NA,NA,35
Guanosine monophosphate,-1,Particulate,OBi1_set2,targeted,13.346,362.050178,NA,NA,38
Hydroxyproline,1,Particulate,OBi1_set2,targeted,10.611515151515151,132.066069,NA,NA,40
Inosine,-1,Particulate,OBi1_set2,targeted,7.668888888888889,267.072946,NA,NA,42
L-Alanine,1,Particulate,OBi1_set2,targeted,10.64,90.055504,NA,NA,44
L-Arginosuccinic acid,1,Particulate,OBi1_set2,targeted,13.131388888888887,291.13046,NA,NA,46
L-Aspartic acid,1,Particulate,OBi1_set2,targeted,11.692564102564102,134.045334,NA,NA,47
L-Cystathionine,1,Particulate,OBi1_set2,targeted,12.431612903225806,223.075255,NA,NA,48
L-Cysteic acid,-1,Particulate,OBi1_set2,targeted,12.147941176470589,167.996671,NA,NA,49
L-Glutamine,1,Particulate,OBi1_set2,targeted,10.754102564102563,147.076968,NA,NA,52
L-Methionine,1,Particulate,OBi1_set2,targeted,6.917368421052632,150.058876,NA,NA,58
L-Methionine S-oxide,1,Particulate,OBi1_set2,targeted,9.1659375,166.053791,NA,NA,59
L-Serine,1,Particulate,OBi1_set2,targeted,11.126153846153846,106.050419,NA,NA,62
Malic acid,-1,Particulate,OBi1_set2,targeted,12.687560975609756,133.0137,NA,NA,65
N-Acetyl-D-glucosamine,1,Particulate,OBi1_set2,targeted,8.307567567567567,222.097764,NA,NA,66
N-Acetyl-L-glutamic acid,-1,Particulate,OBi1_set2,targeted,11.25,188.055899,NA,NA,67
N-Acetylmuramic acid,1,Particulate,OBi1_set2,targeted,7.090588235294118,294.118894,NA,NA,68
N6-Methyladenine,1,Particulate,OBi1_set2,targeted,3.42325,150.07797,NA,NA,69
NAD,-1,Particulate,OBi1_set2,targeted,11.105555555555556,662.101304,NA,NA,70
NADH,-1,Particulate,OBi1_set2,targeted,10.895,664.116954,NA,NA,71
NADP,-1,Particulate,OBi1_set2,targeted,13.618275862068966,742.067637,NA,NA,72
NADPH,-1,Particulate,OBi1_set2,targeted,14.064761904761903,744.083287,NA,NA,73
Phosphoenolpyruvic acid,-1,Particulate,OBi1_set2,targeted,14.251470588235296,166.974553,NA,NA,76
Pipecolic acid,1,Particulate,OBi1_set2,targeted,9.00972972972973,130.086804,NA,NA,77
Propionylglycine,-1,Particulate,OBi1_set2,targeted,5.007352941176471,130.050419,NA,NA,78
Taurine,-1,Particulate,OBi1_set2,targeted,9.835652173913044,124.006841,NA,NA,80
Thiamine diphosphate,1,Particulate,OBi1_set2,targeted,12.327352941176471,425.044974,NA,NA,81
UDP-N-acetylglucosamine,-1,Particulate,OBi1_set2,targeted,12.20888888888889,606.073753,NA,NA,84
UDP-glucose,-1,Particulate,OBi1_set2,targeted,13.110833333333334,565.047204,NA,NA,85
cis-Aconitic acid,-1,Particulate,OBi1_set2,targeted,14.534615384615384,173.008615,NA,NA,88
"2,5-Dihydroxybenzoic acid",-1,Dissolved,OBi1_set2,targeted,3.520909090909091,153.018785,NA,NA,89
Allantoin,-1,Dissolved,OBi1_set2,targeted,9.4825,157.036165,NA,NA,91
Hydroxyproline,1,Dissolved,OBi1_set2,targeted,10.6328,132.066069,NA,NA,94
Hypoxanthine,1,Dissolved,OBi1_set2,targeted,6.588863636363636,137.046336,NA,NA,95
Thymidine,-1,Dissolved,OBi1_set2,targeted,3.1955555555555555,241.082448,NA,NA,99
HILICPos_0,1,Particulate,OBi1_set2,nontargeted,11.384,80.05003,NA,NA,100
HILICPos_2,1,Particulate,OBi1_set2,nontargeted,11.365,82.06564,NA,NA,101
HILICPos_5,1,Particulate,OBi1_set2,nontargeted,10.524,85.02907,NA,NA,102
HILICPos_6,1,Particulate,OBi1_set2,nontargeted,11.493,86.04909,NA,NA,103
HILICPos_8,1,Particulate,OBi1_set2,nontargeted,7.066,86.09693,NA,NA,104
HILICPos_9,1,Particulate,OBi1_set2,nontargeted,10.714,88.03983,NA,NA,105
HILICPos_12,1,Particulate,OBi1_set2,nontargeted,11.365,90.05545,NA,NA,106
HILICPos_13,1,Particulate,OBi1_set2,nontargeted,5.669,93.05784,NA,NA,107
HILICPos_17,1,Particulate,OBi1_set2,nontargeted,10.698,97.02894,NA,NA,108
HILICPos_20,1,Particulate,OBi1_set2,nontargeted,11.992,98.98462,NA,NA,109
HILICPos_21,1,Particulate,OBi1_set2,nontargeted,9.835,98.98464,NA,NA,110
HILICPos_23,1,Particulate,OBi1_set2,nontargeted,9.476,101.07127,NA,[M+H],111
HILICPos_29,1,Particulate,OBi1_set2,nontargeted,10.68,109.02882,NA,[M+H],112
HILICPos_30,1,Particulate,OBi1_set2,nontargeted,12.751,109.02893,NA,NA,113
HILICPos_33,1,Particulate,OBi1_set2,nontargeted,8.264,112.05077,51.59501:6878 64.65118:7717 69.04552:51794 83.94164:6967 85.57964:7956 90.06509:6778 94.0406:21068 95.02456:188233 111.24319:6602 112.05096:2741754 112.07608:25018 112.09538:24570,NA,114
HILICPos_41,1,Particulate,OBi1_set2,nontargeted,11.741,116.07092,NA,NA,117
HILICPos_43,1,Particulate,OBi1_set2,nontargeted,4.72,119.03542,NA,[M+H],118
HILICPos_44,1,Particulate,OBi1_set2,nontargeted,5.651,119.06073,NA,NA,119
HILICPos_48,1,Particulate,OBi1_set2,nontargeted,2.687,123.05561,NA,NA,122
HILICPos_52,1,Particulate,OBi1_set2,nontargeted,13.456,127.03914,NA,NA,123
HILICPos_55,1,Particulate,OBi1_set2,nontargeted,8.709,127.05047,NA,[M+H],124
HILICPos_56,1,Particulate,OBi1_set2,nontargeted,13.614,128.07086,NA,NA,125
HILICPos_61,1,Particulate,OBi1_set2,nontargeted,9.224,130.05002,NA,NA,126
HILICPos_63,1,Particulate,OBi1_set2,nontargeted,8.696,130.08624,NA,[M+H],127
HILICPos_65,1,Particulate,OBi1_set2,nontargeted,10.847,131.04723,NA,NA,128
HILICPos_66,1,Particulate,OBi1_set2,nontargeted,10.68,131.08157,50.48769:7830 51.71355:7290 56.05029:17515 58.91386:6163 64.98503:7135 69.20801:7955 70.84749:7070 71.10851:7757 85.04838:32644 87.09184:7308 88.03979:54538 90.09663:6481 101.32805:6270 102.05543:9218 104.28409:7134 120.79328:6991 122.97143:6889 124.03101:7116 125.2604:8156,NA,129
HILICPos_70,1,Particulate,OBi1_set2,nontargeted,6.93,133.03185,NA,[M+H],131
HILICPos_73,1,Particulate,OBi1_set2,nontargeted,10.655,134.08121,NA,NA,133
HILICPos_74,1,Particulate,OBi1_set2,nontargeted,9.184,135.03014,NA,[M+H],134
HILICPos_78,1,Particulate,OBi1_set2,nontargeted,7.718,137.04605,68.95043:7337 94.04054:11805 110.03529:14182 116.51958:8000 119.03529:16016 137.04593:2009157 137.10706:7671,NA,136
HILICPos_89,1,Particulate,OBi1_set2,nontargeted,5.766,139.05225,51.5406:14041 52.5068:13416 55.02442:14003 64.78721:13524 73.98441:15938 78.03455:14686 79.03786:37187 85.52947:12081 89.99308:13050 94.06123:32480 94.06184:23130 94.0656:166049 95.06273:37546 95.06901:911615 96.0414:16630 96.04489:450461 97.04195:63849 97.04826:1093771 107.0324:24757 111.06358:36435 114.68067:17770 124.03951:120309 125.03739:29495 125.04285:782365 138.63229:28337 138.93639:16749 139.05289:2420966 139.0583:41641180 139.1225:75931 139.17802:18300,NA,138
HILICPos_90,1,Particulate,OBi1_set2,nontargeted,12.034,140.01076,NA,NA,139
HILICPos_91,1,Particulate,OBi1_set2,nontargeted,9.867,140.0108,NA,NA,140
HILICPos_92,1,Particulate,OBi1_set2,nontargeted,4.746,141.04686,53.77457:6850 59.34272:9482 60.73433:7942 84.12716:7883 85.07664:9699 112.08717:19833 123.0239:11434 141.04706:2708402 141.11362:26766,[M+H],141
HILICPos_93,1,Particulate,OBi1_set2,nontargeted,8.016,141.06578,53.48712:6576 55.68821:6196 57.41047:6865 59.60603:6457 63.21587:6434 76.0934:7147 78.33517:6424 81.04565:9029 94.67507:6658 95.06089:9464 111.05565:51412 123.05558:54688 124.33475:7917 141.04697:14542 141.06598:103314 141.07396:26167,[M+H],142
HILICPos_95,1,Particulate,OBi1_set2,nontargeted,10.263,142.0975,NA,NA,143
HILICPos_96,1,Particulate,OBi1_set2,nontargeted,9.536,142.63747,NA,NA,144
HILICPos_97,1,Particulate,OBi1_set2,nontargeted,9.612,142.9214,NA,NA,145
HILICPos_98,1,Particulate,OBi1_set2,nontargeted,9.556,142.95486,NA,NA,146
HILICPos_105,1,Particulate,OBi1_set2,nontargeted,9.491,143.16971,NA,NA,147
HILICPos_106,1,Particulate,OBi1_set2,nontargeted,9.433,143.2063,NA,NA,148
HILICPos_107,1,Particulate,OBi1_set2,nontargeted,9.485,143.52701,NA,NA,149
HILICPos_109,1,Particulate,OBi1_set2,nontargeted,10.694,145.04965,NA,[M+H],150
HILICPos_110,1,Particulate,OBi1_set2,nontargeted,10.33,146.0811,NA,NA,151
HILICPos_111,1,Particulate,OBi1_set2,nontargeted,11.358,146.09261,NA,NA,152
HILICPos_115,1,Particulate,OBi1_set2,nontargeted,11.501,147.5939,NA,NA,155
HILICPos_116,1,Particulate,OBi1_set2,nontargeted,11.458,147.92912,NA,NA,156
HILICPos_120,1,Particulate,OBi1_set2,nontargeted,6.499,148.09671,NA,NA,158
HILICPos_121,1,Particulate,OBi1_set2,nontargeted,11.417,148.52934,NA,NA,159
HILICPos_123,1,Particulate,OBi1_set2,nontargeted,10.854,151.04782,NA,[M+H],160
HILICPos_125,1,Particulate,OBi1_set2,nontargeted,7.648,152.05673,NA,NA,161
HILICPos_127,1,Particulate,OBi1_set2,nontargeted,3.637,154.09763,NA,NA,163
HILICPos_130,1,Particulate,OBi1_set2,nontargeted,9.159,157.04184,65.26609:8600 71.24049:7707 74.93156:15292 94.71522:7247 113.02641:17376 113.10773:41646 115.96471:8539 119.35658:7608 131.03683:10847 138.97018:8144 139.01846:42038 157.02924:121045 157.04198:1688099,NA,165
HILICPos_131,1,Particulate,OBi1_set2,nontargeted,8.251,157.09724,50.69287:6997 54.94466:6414 55.32527:6173 56.4342:6670 57.01014:7866 57.85853:6948 60.59503:6005 60.92301:6818 64.11874:6493 70.0658:8571 75.18207:7234 77.43037:7377 80.8493:6182 96.08117:10769 99.2421:7512 101.07141:58777 104.53833:8142 104.68991:9904 111.09207:203469 113.10767:154945 115.96449:20251 125.05606:7219 157.09731:1507054,[M+H],166
