mass_feature,replicate_name,adjusted_area,sample_fraction,z,sample_set,treatment,RT,mz,dat_type,MS2,add_annotation,pseudo_ID,adduct_group_ID,nm_theroetical,row_id
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_OBi1_1,179593,Particulate,-1,OBi1_set2,Glucose + NH4,2.271923076923077,149.027242,targeted,NA,NA,NA,NA,NA,2
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_OBi1_2,116270,Particulate,-1,OBi1_set2,Glucose + NH4,2.271923076923077,149.027242,targeted,NA,NA,NA,NA,NA,2
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_OBi1_3,133076,Particulate,-1,OBi1_set2,Glucose + NH4,2.271923076923077,149.027242,targeted,NA,NA,NA,NA,NA,2
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_OBi1_4,225334,Particulate,-1,OBi1_set2,Homarine,2.271923076923077,149.027242,targeted,NA,NA,NA,NA,NA,2
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_OBi1_5,143885,Particulate,-1,OBi1_set2,Homarine,2.271923076923077,149.027242,targeted,NA,NA,NA,NA,NA,2
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_OBi1_6,207379,Particulate,-1,OBi1_set2,Homarine,2.271923076923077,149.027242,targeted,NA,NA,NA,NA,NA,2
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_OBi1_7,141116,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,2.271923076923077,149.027242,targeted,NA,NA,NA,NA,NA,2
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_OBi1_8,128101,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,2.271923076923077,149.027242,targeted,NA,NA,NA,NA,NA,2
2-Hydroxy-4-(methylthio)butyric acid,211202_Smp_OBi1_9,148369,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,2.271923076923077,149.027242,targeted,NA,NA,NA,NA,NA,2
5-Hydroxyectoine,211202_Smp_OBi1_1,7385974000.273148,Particulate,1,OBi1_set2,Glucose + NH4,11.052926829268293,159.076968,targeted,NA,NA,NA,NA,NA,5
5-Hydroxyectoine,211202_Smp_OBi1_2,7415437039.415463,Particulate,1,OBi1_set2,Glucose + NH4,11.052926829268293,159.076968,targeted,NA,NA,NA,NA,NA,5
5-Hydroxyectoine,211202_Smp_OBi1_3,7069163385.8702965,Particulate,1,OBi1_set2,Glucose + NH4,11.052926829268293,159.076968,targeted,NA,NA,NA,NA,NA,5
5-Hydroxyectoine,211202_Smp_OBi1_4,1755776625.134244,Particulate,1,OBi1_set2,Homarine,11.052926829268293,159.076968,targeted,NA,NA,NA,NA,NA,5
5-Hydroxyectoine,211202_Smp_OBi1_5,2032956747.317629,Particulate,1,OBi1_set2,Homarine,11.052926829268293,159.076968,targeted,NA,NA,NA,NA,NA,5
5-Hydroxyectoine,211202_Smp_OBi1_6,1813413449.6766665,Particulate,1,OBi1_set2,Homarine,11.052926829268293,159.076968,targeted,NA,NA,NA,NA,NA,5
5-Hydroxyectoine,211202_Smp_OBi1_7,6280253220.975462,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,11.052926829268293,159.076968,targeted,NA,NA,NA,NA,NA,5
5-Hydroxyectoine,211202_Smp_OBi1_8,6096294962.615648,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,11.052926829268293,159.076968,targeted,NA,NA,NA,NA,NA,5
5-Hydroxyectoine,211202_Smp_OBi1_9,4915932626.707573,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,11.052926829268293,159.076968,targeted,NA,NA,NA,NA,NA,5
Adenine,211202_Smp_OBi1_1,738169536,Particulate,1,OBi1_set2,Glucose + NH4,4.814390243902439,136.06232,targeted,NA,NA,NA,NA,NA,7
