mass_feature,core_metab,sample_fraction,enrich_hNH4_fc,enrich_h_fc,ttest_p_h,p_value_mannwhitney_h,ttest_p_hNH4,p_value_mannwhitney_hNH4
(3-Carboxypropyl)trimethylammonium,Adenine,Particulate,1.29663922700189,2.1134097396763174,0.44979217300572927,1,0.585848285880641,0.7
(3-Carboxypropyl)trimethylammonium,Adenosine,Particulate,1.1809885441354573,2.5593987182485005,0.12420347464304014,0.1,0.28169443944700556,0.4
(3-Carboxypropyl)trimethylammonium,Adenosine monophosphate,Particulate,0.6332760532483137,27.375031247126625,0.4323042305181874,1,0.5769069146247222,0.4
(3-Carboxypropyl)trimethylammonium,Citrulline,Particulate,1.2634072044927942,23.281315997101228,0.021923874179526764,0.1,0.09425465190492308,0.2
(3-Carboxypropyl)trimethylammonium,Cytosine,Particulate,0.8914548895847955,1.7009021586865294,0.04698027036548628,0.1,0.5930315450004336,0.7
(3-Carboxypropyl)trimethylammonium,Deoxyadenosine,Particulate,0.9716070156577833,2.2414093357164386,0.08792812249104114,0.1,0.6805472689313161,0.7
(3-Carboxypropyl)trimethylammonium,Guanosine,Particulate,1.10118647522319,2.535562589095962,0.2043035736800879,0.1,0.575972655768462,0.7
(3-Carboxypropyl)trimethylammonium,L-Arginine,Particulate,1.0376871924518825,3.734422799987873,0.01096736116420974,0.1,0.5943245501175312,0.7
(3-Carboxypropyl)trimethylammonium,L-Glutamic acid,Particulate,0.24238882287307856,0.9371995598041732,0.6379111363353097,1,0.002759150923911261,0.1
(3-Carboxypropyl)trimethylammonium,L-Homoserine,Particulate,0.23318454344871672,0.6237973483486405,0.045375218071559004,0.1,0.014713930672205007,0.1
(3-Carboxypropyl)trimethylammonium,L-Lysine,Particulate,1.0557987869436514,2.0193618331869003,0.04502574160886773,0.1,0.48762990162402303,0.4
(3-Carboxypropyl)trimethylammonium,L-Proline,Particulate,0.8881621534894262,3.660727595170244,0.01340334961338261,0.1,0.19452054391783466,0.2
(3-Carboxypropyl)trimethylammonium,L-Serine,Particulate,1.1528535516310108,2.9765470848163003,5.132133496176276e-4,0.1,0.25196455701949355,0.4
(3-Carboxypropyl)trimethylammonium,L-Tyrosine,Particulate,0.8211329744801706,1.2063790180795593,0.07342817382355418,0.1,0.10312195444573342,0.1
2-Hydroxy-4-(methylthio)butyric acid,Adenine,Particulate,1.5819072709921729,2.6269893270556737,0.29991804683538625,0.1,0.4891931783832329,1
2-Hydroxy-4-(methylthio)butyric acid,Adenosine,Particulate,1.3919539793227649,3.7264723824177035,0.1321427176939846,0.1,0.13383380222723,0.4
2-Hydroxy-4-(methylthio)butyric acid,Adenosine monophosphate,Particulate,0.6322223755301283,41.39218116316421,0.42826919619647597,1,0.5841543463523025,0.4
2-Hydroxy-4-(methylthio)butyric acid,Citrulline,Particulate,1.4475202166833856,33.76278536513704,0.0522315935860235,0.1,0.08205890920767511,0.2
2-Hydroxy-4-(methylthio)butyric acid,Cytosine,Particulate,1.004749714452193,2.323433879705047,0.02232045065895146,0.1,0.9862388882045212,0.7
2-Hydroxy-4-(methylthio)butyric acid,Deoxyadenosine,Particulate,1.1290921469289998,3.155151461950562,0.07326807495273062,0.1,0.4498314742141934,0.4
2-Hydroxy-4-(methylthio)butyric acid,Guanosine,Particulate,1.3174732126193582,3.708987508261347,0.1978659262308152,0.1,0.33897952497774936,0.4
2-Hydroxy-4-(methylthio)butyric acid,L-Arginine,Particulate,1.1959277982048968,5.398705220359672,0.04272097119015515,0.1,0.23612297685631167,0.4
2-Hydroxy-4-(methylthio)butyric acid,L-Glutamic acid,Particulate,0.27751710001542756,1.314517851484543,0.24316713374761253,0.4,0.028552703468485825,0.1
2-Hydroxy-4-(methylthio)butyric acid,L-Homoserine,Particulate,0.26516733839410217,0.8833066921553745,0.6375928082259837,1,0.05261942366011158,0.1
2-Hydroxy-4-(methylthio)butyric acid,L-Lysine,Particulate,1.2252451827132431,2.9242513264756678,0.07452668414508973,0.1,0.19342094213241035,0.2
2-Hydroxy-4-(methylthio)butyric acid,L-Proline,Particulate,1.0255940405469368,5.33824842165723,0.048422328828083915,0.1,0.8136747486501982,1
2-Hydroxy-4-(methylthio)butyric acid,L-Serine,Particulate,1.3471540174596,4.332639891409088,0.035058586637595354,0.1,0.04766560928588499,0.1
2-Hydroxy-4-(methylthio)butyric acid,L-Tyrosine,Particulate,0.9363787397883251,1.706047001601376,0.05596448867097858,0.1,0.7124295648415184,1
2-Ketoglutaric acid,Adenine,Particulate,1.3294602623027714,0.930083040495751,0.8769909897649053,0.7,0.5052331435170454,0.7
2-Ketoglutaric acid,Adenosine,Particulate,1.2218412696291063,1.4971804552218972,0.5865897174066844,1,0.5175823716673262,0.4
2-Ketoglutaric acid,Adenosine monophosphate,Particulate,0.7429582575201061,12.730650815568744,0.4477765220985032,0.7,0.7036890182737672,0.7
2-Ketoglutaric acid,Citrulline,Particulate,1.3461466817581413,12.547969557993147,0.0735339071384383,0.1,0.08030819304161367,0.2
2-Ketoglutaric acid,Cytosine,Particulate,0.9846637929805109,0.9039412577103969,0.6831466378318627,1,0.9415288456319539,1
2-Ketoglutaric acid,Deoxyadenosine,Particulate,1.0227485813404513,1.2756167315842804,0.6619425959767318,1,0.9113358025685183,0.7
