mass_feature,sample_fraction,med_pvalue_h,med_pvalue_hNH4,med_fc_h,med_fc_hNH4,med_pvalue_cmb,med_qvalue_h,med_qvalue_hNH4,med_qvalue_cmb,core_metabolite
(3-Carboxypropyl)trimethylammonium,Particulate,0.06020422209452023,0.3846621705355143,2.3884859624062003,1.0046471040548328,0.02315828674628032,0.13901702192734672,0.6075997707499129,0.04419826056851433,non-core
2-Hydroxy-4-(methylthio)butyric acid,Particulate,0.07389737954891018,0.2875512509170305,3.4320694851059543,1.1625099725669483,0.02124928392877971,0.1548674455893002,0.5787655750941505,0.04209889480560745,non-core
2-Ketoglutaric acid,Particulate,0.4011767835255575,0.5610395743869676,1.3863985934030887,1.0598485297164646,0.22507605188311144,0.45983259483525096,0.6627607682477823,0.2439932500688275,non-core
3-Phosphoglycerate,Particulate,0.00593030775339823,0.3978078760691406,0.2872008046719717,0.8578683105031434,0.0023591231318157066,0.09445051726811608,0.6116464582683339,0.009289450814910333,non-core
5-Hydroxyectoine,Dissolved,0.06162787172790368,0.33123933406180256,3.031998753448626,1.5701521172091604,0.020413575190797006,0.14034203590565053,0.6014064082849468,0.04095676038280542,non-core
5-Hydroxyectoine,Particulate,0.16375287128700547,0.4470298066787154,0.6504501954595754,0.925781590092287,0.07320241439451462,0.24757874587440112,0.6116464582683339,0.10101293864046561,non-core
5-Oxoproline,Particulate,0.14939753784156776,0.2802195242438393,0.8088048335100105,1.1425766473168681,0.04186410697716509,0.2350497440926799,0.5712862558777626,0.06500765506036446,non-core
Adenine,Particulate,0.43184159167968283,0.7390020765832884,2.178856098240621,0.9122094819188558,0.31913183300631814,0.4778427362017274,0.763824715739293,0.3295609778758057,core
Adenosine,Particulate,0.351015896911355,0.45871550236810316,0.9065158979892978,0.820795903316893,0.16101643349088252,0.4243849275942905,0.6139432157079329,0.1891494162941222,core
Adenosine diphosphate,Particulate,0.38570979986582254,0.40031774532236275,2.8016799335396905,1.8444150773028816,0.15440647743102587,0.44694474984452065,0.6116464582683339,0.1830861045711226,non-core
Adenosine monophosphate,Particulate,0.3515377510466091,0.3090320186670331,3.5777530328697575,3.1958490673139197,0.10863642084360255,0.4243849275942905,0.5918431387804998,0.13842382655878388,core
Adenosine triphosphate,Particulate,0.37773839429232736,0.7684485980994098,3.3766044922883713,1.1844194972442748,0.29027253954226107,0.4414213077516407,0.7884083019461477,0.30372888243494867,non-core
Citric acid,Particulate,0.11378709069022783,0.5058191074080756,3.2214328169665674,0.9592500355697328,0.057555684647492784,0.19952472356777745,0.6284504267436711,0.08381380805810008,non-core
Citrulline,Particulate,0.0033536700973498326,0.11129746803578158,0.10578468495184945,0.7750289375422835,3.732549904623495e-4,0.09445051726811608,0.39296089272968693,0.0033240839103350255,core
Creatine,Particulate,0.30613284394244966,0.30038867655958346,0.030224695954846108,0.013485970212497003,0.09195883984329395,0.3818064200164198,0.5839756626559923,0.12133191394772812,non-core
"Cys-Gly, oxidized",Particulate,0.17970936298708917,0.5341829687393698,5.432224557262774,2.581581437242411,0.09599768103070432,0.26353645887724136,0.6452133720733348,0.1253523438252172,non-core
Cytidine,Particulate,0.04960579683692124,0.3867269268047997,0.4427023491743052,0.8367267905120563,0.019183897362445804,0.1268550540866823,0.6075997707499129,0.0396379187170951,non-core
Cytosine,Particulate,0.08322424611006746,0.44936794900373955,1.4850308685318487,1.1420105729480796,0.03739830878186346,0.16776951199965978,0.6116464582683339,0.061055155266589195,core
D-Fructose 6-phosphate,Particulate,0.09492017751751286,0.4666405065334044,1.7082214836144967,0.9100906397493911,0.04429359971701286,0.1791032656357659,0.6139432157079329,0.06811083946752343,non-core
D-Gluconic acid,Particulate,0.03656740012724888,0.020823033913573683,0.04733809642798155,3.769554337509228,7.61444212980922e-4,0.11206770850324267,0.13369158417635665,0.004539931533999459,non-core
D-Glucose 6-phosphate,Particulate,0.06813332880855455,0.5129028218272298,0.6036423482944636,0.9258431926716086,0.034945776606390117,0.14673413811503686,0.6292975138956001,0.05842282983980385,non-core
D-Ribose 5-phosphate,Particulate,0.3136091708616564,0.5032821553430468,1.0522969187516995,0.9165398010110906,0.15783389944660026,0.38743545427461445,0.6284504267436711,0.18610265755643912,non-core
Deoxyadenosine,Particulate,0.31626714409526063,0.24257415944898642,1.0827137596388505,1.0663943610066384,0.07671823664023932,0.38920472190017535,0.5382041000558174,0.10494789081521916,core
Dihydroxyacetone phosphate,Particulate,0.011084387600770712,0.1791470199438141,0.15695912369388648,0.7796892213709993,0.0019857350065802365,0.09445051726811608,0.48394513853157556,0.008366563494391396,non-core
Dimethylsulfoniopropionate,Particulate,0.46502902940887697,0.4266804686874891,0.16571558547839427,0.07126671642217064,0.19841880422146776,0.500231323648562,0.6116464582683339,0.22194811374861528,non-core
Ectoine,Dissolved,0.07429905102300627,0.4382279425490861,0.4645621589308245,0.7656154241718026,0.03255992026316161,0.15514970074724566,0.6116464582683339,0.055312044292721095,non-core
Ectoine,Particulate,0.10322070320556362,0.007971680774476447,1.3164003716728154,2.188482220339529,8.228424952717308e-4,0.1877424581891024,0.11716516859230498,0.004770976669832421,non-core
Fumaric acid,Particulate,0.026507580262921222,0.020871133378574738,6.0230773430596685,4.589059758899692,5.53243243210704e-4,0.09776877687103308,0.13369158417635665,0.004012256761521201,non-core
Glucosamine,Particulate,0.014200008156848822,0.03915779410123952,11.576308597356089,3.915997531975301,5.560409956418079e-4,0.09445051726811608,0.197981806975867,0.004012256761521201,non-core
Glutamylphenylalanine,Particulate,0.026894389907054173,0.23937316732737024,0.016849248165335944,0.6671664848768571,0.0064377952953888155,0.09776877687103308,0.5382041000558174,0.01792372963297679,non-core
Glutathione,Particulate,0.6858770242570001,0.739453998273326,1.7397860869849615,1.442996963482047,0.5071745079106498,0.6913204927034843,0.763824715739293,0.5079782709976713,non-core
Glutathione disulfide,Particulate,0.41622902732410827,0.14566571355021185,5.037643313156745,5.944154900118098,0.060630298265476855,0.4677972253996615,0.4372653820141025,0.08768500801780635,non-core
Glycerophosphoric acid,Particulate,0.309849677696384,0.4022198328461853,0.8186718614677859,0.8352633686636421,0.12462768557048395,0.38353712541365276,0.6116464582683339,0.15504861669398792,non-core
Glycine,Particulate,0.36655602542174825,0.18213662897950372,1.4596140690213448,0.724698362801189,0.0667632788024425,0.43345079356203003,0.4856976772786766,0.09418391116773138,non-core
Gonyol,Particulate,0.21214829173108646,0.0032984038604120113,1.1335550132775571,0.07864560083104503,6.997507444256292e-4,0.29413573198523996,0.1119903253001749,0.0043640522696004385,non-core
Guanine,Particulate,0.44171190656920273,0.7158263402258165,1.0403696239513986,1.0177952394965213,0.3161890175136002,0.4831285962704717,0.7502524826247363,0.32759255585015623,non-core
Guanosine,Particulate,0.4408904587021729,0.4997791695790479,0.9861593146958565,0.888572802786174,0.2203478673254975,0.4831285962704717,0.628367339369736,0.24051787936047395,core
