mass_feature,fc_hNH4,fc_h,mean_overall,ave_control,ave_hNH4,ave_h,n_control,n_hNH4,n_h,RT,mz,MS2,add_annotation,high_homarine_compound,low_homarine_compound,high_homarine_NH4_compound,low_homarine_NH4_compound,high_both_compound,low_both_compounds
(3-Carboxypropyl)trimethylammonium,0.9797901450459214,1.762861312209075,2492405.0149036217,1997839,1957462.9635883986,3521913.0811224664,3,3,3,9.829,146.11729,NA,[M+H],TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2-Hydroxy-4-(methylthio)butyric acid,1.1168091695021773,2.5045765100528796,220254.72800029628,142979.66666666666,159681.00278569813,358103.51454852405,3,3,3,2.271923076923077,149.027242,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2-Ketoglutaric acid,1.0500475408395569,0.9559661513004565,42166982.651066065,42082625.333333336,44188757.24333911,40229565.37652576,3,3,3,12.243,145.01341,51.39236:7264 55.81876:6524 57.03335:10928 60.22976:7534 73.02835:7702 74.52777:7748 91.09241:7111 101.02342:45129 118.03992:12632 127.33211:6702,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3-Phosphoglycerate,0.8400028055134097,0.20957057796546047,1691423.4609212447,2475769.066707363,2079652.9618375008,518848.3542188707,3,3,3,13.75,184.98508,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
5-Hydroxyectoine,0.907038431243212,0.4772555673515903,5793986594.297896,7290191475.186302,6612483839.115622,3479284468.591766,3,3,3,11.052926829268293,159.076968,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
5-Oxoproline,1.1023524455102507,0.5964579616757769,55149464.50770341,61304192.79641749,67578826.84916271,36565373.87753002,3,3,3,6.695,128.03423,NA,[M-H]-,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Adenine,0.9520853921623803,1.4295415037225714,798521804.6810985,708406186.6666666,674463182.0427897,1012696045.3338392,3,3,3,4.814390243902439,136.06232,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Adenosine,0.8255111027507787,0.7587325898670803,775940966.1638082,900775304.2567445,743600014.7476534,683447579.4870269,3,3,3,4.621,268.10376,51.81222:8245 56.43267:10287 59.60114:9616 60.67353:9035 61.00478:8875 64.32533:8750 65.2409:8866 85.02905:17743 97.9492:8016 115.03948:30817 133.04958:58527 136.06194:11347904 157.30318:10439 166.08968:11402 174.23972:8274 177.41515:7959 217.24284:100563 254.19917:10763 262.58795:12713,[M+H],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Adenosine diphosphate,1.774851911865424,2.8773175630663714,3656090.752407699,1940542,3444174.6787551534,5583555.578467943,3,3,2,12.52939393939394,426.021596,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Adenosine monophosphate,3.0203529386721844,3.6691837747030296,8575612.281573057,3345694,10105176.704797896,12275966.139921278,3,3,2,10.98764705882353,346.055262,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Adenosine triphosphate,0.7760357903950956,2.5297793288754216,219377.3624940791,152847.2703198034,118614.95223236148,386669.86493007245,2,3,2,13.638571428571428,505.987929,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Citric acid,0.9398928334013913,2.461672503418703,86923593.79256578,59245009.76874988,55683960.09644343,145841811.512504,3,3,3,14.306,191.01903,57.03337:46398 65.12698:6885 66.37735:6442 67.01779:18541 74.54557:6246 81.32649:6452 85.02843:182865 87.00767:331105 111.00774:354475 123.96208:7386 129.01819:10509 149.80365:6710 166.71857:7062,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Citrulline,0.7780435334602146,0.07819554996180064,41521692.7513348,67106160.71307264,52211514.398148075,5247403.142783695,3,3,3,11.743,176.10323,57.13033:6618 58.29836:6296 59.79189:6712 68.77006:7502 70.0659:119167 102.05065:7763 113.07135:186230 114.05534:34242 115.08701:99879 115.82136:6749 116.07107:36697 122.7114:6541 124.32609:7212 130.09801:7343 131.63469:8245 133.09744:14096 139.6339:6938 141.06602:9642 159.07663:909973 176.1032:78250,[M+H],FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
Creatine,NA,NA,957762.9728849514,957762.9728849514,NA,NA,2,0,0,11.293243243243245,132.077302,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
