mass_feature,FinalBMIS,Orig_RSD,FinalRSD,replicate_name,runDate,type,samp_id,replicate,area,date,QC_area,fraction,adjusted_area
"2,5-Dihydroxybenzoic acid",Inj_vol,0.054222685827555094,0.054222685827555094,220302_Poo_TruePooBacteria_Full1,220302,Poo,TruePooBacteria,Full1,NA,220302,NA,HILICNeg,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.054222685827555094,0.054222685827555094,220302_Poo_TruePooBacteria_Full2,220302,Poo,TruePooBacteria,Full2,NA,220302,NA,HILICNeg,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.054222685827555094,0.054222685827555094,220302_Poo_TruePooBacteria_Full3,220302,Poo,TruePooBacteria,Full3,NA,220302,NA,HILICNeg,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.054222685827555094,0.054222685827555094,220302_Poo_TruePooBacteria_Half1,220302,Poo,TruePooBacteria,Half1,100991,220302,100991,HILICNeg,201982
"2,5-Dihydroxybenzoic acid",Inj_vol,0.054222685827555094,0.054222685827555094,220302_Poo_TruePooBacteria_Half2,220302,Poo,TruePooBacteria,Half2,109044,220302,109044,HILICNeg,218088
"2,5-Dihydroxybenzoic acid",Inj_vol,0.054222685827555094,0.054222685827555094,220302_Poo_TruePooBacteria_Half3,220302,Poo,TruePooBacteria,Half3,NA,220302,NA,HILICNeg,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.054222685827555094,0.054222685827555094,220302_Smp_MQBlk1_A,220302,Smp,MQBlk1,A,NA,220302,NA,HILICNeg,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.054222685827555094,0.054222685827555094,220302_Smp_MQBlk1_B,220302,Smp,MQBlk1,B,NA,220302,NA,HILICNeg,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.054222685827555094,0.054222685827555094,220302_Smp_MQBlk1_C,220302,Smp,MQBlk1,C,NA,220302,NA,HILICNeg,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.054222685827555094,0.054222685827555094,220302_Smp_MQBlk2_A,220302,Smp,MQBlk2,A,NA,220302,NA,HILICNeg,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.054222685827555094,0.054222685827555094,220302_Smp_MQBlk2_B,220302,Smp,MQBlk2,B,NA,220302,NA,HILICNeg,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.054222685827555094,0.054222685827555094,220302_Smp_MQBlk2_C,220302,Smp,MQBlk2,C,NA,220302,NA,HILICNeg,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.054222685827555094,0.054222685827555094,220302_Smp_MQBlk3_A,220302,Smp,MQBlk3,A,NA,220302,NA,HILICNeg,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.054222685827555094,0.054222685827555094,220302_Smp_MQBlk3_B,220302,Smp,MQBlk3,B,NA,220302,NA,HILICNeg,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.054222685827555094,0.054222685827555094,220302_Smp_MQBlk3_C,220302,Smp,MQBlk3,C,NA,220302,NA,HILICNeg,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.054222685827555094,0.054222685827555094,220302_Smp_SupernatBlk_1,220302,Smp,SupernatBlk,1,NA,220302,NA,HILICNeg,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.054222685827555094,0.054222685827555094,220302_Smp_SupernatBlk_2,220302,Smp,SupernatBlk,2,NA,220302,NA,HILICNeg,NA
