mass_feature,FinalBMIS,Orig_RSD,FinalRSD,replicate_name,runDate,type,samp_id,replicate,area,date,QC_area,fraction,adjusted_area,blk_lod
"2,5-Dihydroxybenzoic acid",Inj_vol,0.05422268582755509,0.05422268582755509,220302_Poo_TruePooBacteria_Full1,220302,Poo,TruePooBacteria,Full1,NA,220302,NA,HILICNeg,NA,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.05422268582755509,0.05422268582755509,220302_Poo_TruePooBacteria_Full2,220302,Poo,TruePooBacteria,Full2,NA,220302,NA,HILICNeg,NA,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.05422268582755509,0.05422268582755509,220302_Poo_TruePooBacteria_Full3,220302,Poo,TruePooBacteria,Full3,NA,220302,NA,HILICNeg,NA,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.05422268582755509,0.05422268582755509,220302_Poo_TruePooBacteria_Half1,220302,Poo,TruePooBacteria,Half1,100991,220302,NA,HILICNeg,NA,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.05422268582755509,0.05422268582755509,220302_Poo_TruePooBacteria_Half2,220302,Poo,TruePooBacteria,Half2,109044,220302,NA,HILICNeg,NA,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.05422268582755509,0.05422268582755509,220302_Poo_TruePooBacteria_Half3,220302,Poo,TruePooBacteria,Half3,NA,220302,NA,HILICNeg,NA,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.05422268582755509,0.05422268582755509,220302_Smp_MQBlk1_A,220302,Smp,MQBlk1,A,NA,220302,NA,HILICNeg,NA,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.05422268582755509,0.05422268582755509,220302_Smp_MQBlk1_B,220302,Smp,MQBlk1,B,NA,220302,NA,HILICNeg,NA,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.05422268582755509,0.05422268582755509,220302_Smp_MQBlk1_C,220302,Smp,MQBlk1,C,NA,220302,NA,HILICNeg,NA,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.05422268582755509,0.05422268582755509,220302_Smp_MQBlk2_A,220302,Smp,MQBlk2,A,NA,220302,NA,HILICNeg,NA,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.05422268582755509,0.05422268582755509,220302_Smp_MQBlk2_B,220302,Smp,MQBlk2,B,NA,220302,NA,HILICNeg,NA,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.05422268582755509,0.05422268582755509,220302_Smp_MQBlk2_C,220302,Smp,MQBlk2,C,NA,220302,NA,HILICNeg,NA,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.05422268582755509,0.05422268582755509,220302_Smp_MQBlk3_A,220302,Smp,MQBlk3,A,NA,220302,NA,HILICNeg,NA,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.05422268582755509,0.05422268582755509,220302_Smp_MQBlk3_B,220302,Smp,MQBlk3,B,NA,220302,NA,HILICNeg,NA,NA
"2,5-Dihydroxybenzoic acid",Inj_vol,0.05422268582755509,0.05422268582755509,220302_Smp_MQBlk3_C,220302,Smp,MQBlk3,C,NA,220302,NA,HILICNeg,NA,NA
