...1,replicate_name,precursor_ion_name,retention_time,area,background,height,mass_error_ppm,flags,QC_area
1,220302_Std_4uMStdsMix1InH2O_1,2-Hydroxy-4-(methylthio)butyric acid,2.25,624324608,1294377,185783232,-2.2,NA,624324608
2,220302_Std_4uMStdsMix1InH2O_2,2-Hydroxy-4-(methylthio)butyric acid,2.17,1745628928,7066213,389606784,-1.4,NA,1745628928
3,220302_Std_4uMStdsMix1InMatrix_1,2-Hydroxy-4-(methylthio)butyric acid,2.23,590393984,0,191075808,-1.9,NA,590393984
4,220302_Std_4uMStdsMix1InMatrix_2,2-Hydroxy-4-(methylthio)butyric acid,2.15,1577708416,15572471,347715008,-1.3,NA,1577708416
5,220302_Std_4uMStdsMix2InH2O_1,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
6,220302_Std_4uMStdsMix2InH2O_2,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
7,220302_Std_4uMStdsMix2InMatrix_1,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
8,220302_Std_4uMStdsMix2InMatrix_2,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
9,220302_Std_H2OinMatrix_1,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
10,220302_Std_H2OinMatrix_2,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
11,220302_Poo_TruePooBacteria_Full1,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
12,220302_Poo_TruePooBacteria_Full2,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
13,220302_Poo_TruePooBacteria_Full3,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
14,220302_Poo_TruePooBacteria_Half1,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
15,220302_Poo_TruePooBacteria_Half2,2-Hydroxy-4-(methylthio)butyric acid,2.4,64967,0,43974,2.6,NA,64967
16,220302_Poo_TruePooBacteria_Half3,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
17,220302_Smp_MQBlk1_A,2-Hydroxy-4-(methylthio)butyric acid,2.52,NA,0,0,NA,NA,NA
18,220302_Smp_MQBlk1_B,2-Hydroxy-4-(methylthio)butyric acid,2.57,NA,0,0,NA,NA,NA
19,220302_Smp_MQBlk1_C,2-Hydroxy-4-(methylthio)butyric acid,2.6,NA,0,0,NA,NA,NA
20,220302_Smp_MQBlk2_A,2-Hydroxy-4-(methylthio)butyric acid,2.09,6042,0,3840,-7.6,"ppm_flag, areamin_flag, blank_flag",NA
21,220302_Smp_MQBlk2_B,2-Hydroxy-4-(methylthio)butyric acid,2.71,NA,0,0,NA,NA,NA
22,220302_Smp_MQBlk2_C,2-Hydroxy-4-(methylthio)butyric acid,2.57,NA,0,0,NA,NA,NA
23,220302_Smp_MQBlk3_A,2-Hydroxy-4-(methylthio)butyric acid,2.55,NA,0,0,NA,NA,NA
24,220302_Smp_MQBlk3_B,2-Hydroxy-4-(methylthio)butyric acid,2.6,NA,0,0,NA,NA,NA
25,220302_Smp_MQBlk3_C,2-Hydroxy-4-(methylthio)butyric acid,2.59,NA,0,0,NA,NA,NA
26,220302_Smp_SupernatBlk_1,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
27,220302_Smp_SupernatBlk_2,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
28,220302_Smp_SupernatBlk_3,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
29,220302_Smp_SWBlk_1,2-Hydroxy-4-(methylthio)butyric acid,2.2,10654,0,11299,-0.2,"areamin_flag, blank_flag",NA
30,220302_Smp_SWBlk_2,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
31,220302_Smp_SWBlk_3,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
32,220302_Smp_OBi1_1,2-Hydroxy-4-(methylthio)butyric acid,2.06,39963,0,8464,-5.2,"areamin_flag,",NA
33,220302_Smp_OBi1_2,2-Hydroxy-4-(methylthio)butyric acid,2.06,1985,0,1616,-2,"areamin_flag, blank_flag",NA
34,220302_Smp_OBi1_3,2-Hydroxy-4-(methylthio)butyric acid,2.09,143874,0,131915,0.2,NA,143874
35,220302_Smp_OBi1_4,2-Hydroxy-4-(methylthio)butyric acid,2.75,148616,0,119245,-0.2,NA,148616
36,220302_Smp_OBi1_5,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
37,220302_Smp_OBi1_6,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
38,220302_Smp_OBi1_7,2-Hydroxy-4-(methylthio)butyric acid,2.06,135322,0,124157,-1.8,NA,135322
39,220302_Smp_OBi1_8,2-Hydroxy-4-(methylthio)butyric acid,2.15,11887,0,6239,-6.6,"ppm_flag, areamin_flag, blank_flag",NA
40,220302_Smp_OBi1_9,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
41,220302_Smp_OBi1small_1,2-Hydroxy-4-(methylthio)butyric acid,2.17,29322,0,15078,-8.9,"ppm_flag, areamin_flag,",NA
42,220302_Smp_OBi1small_2,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
43,220302_Smp_OBi1small_3,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
44,220302_Smp_OBi1small_4,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
45,220302_Smp_RWi2_1,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
46,220302_Smp_RWi2_2,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,NA,NA,NA,NA,NA
47,220302_Smp_RWi2_3,2-Hydroxy-4-(methylthio)butyric acid,2.06,7270,0,4602,-3.2,"areamin_flag, blank_flag",NA
