Hello! Here are the QC parameters Minimum area for a real peak: 40000. RT flexibility: 2.5 minutes. Blank can be this fraction of a sample: 3. S/N ratio: 4. Parts per million flexibility: 6. Processed on: 2024-05-03 16:31:06.108019. 
"","replicate_name","precursor_ion_name","retention_time","area","background","height","mass_error_ppm","flags","QC_area"
"1","211202_Std_4uMStdsMix1InH2O_1","2-Hydroxy-4-(methylthio)butyric acid",2.26,168689024,1029971,54902000,-2.9,"",168689024
"2","211202_Std_4uMStdsMix1InH2O_2","2-Hydroxy-4-(methylthio)butyric acid",2.24,335455840,3207102,111067736,-1.9,"",335455840
"3","211202_Std_4uMStdsMix1InMatrix_1","2-Hydroxy-4-(methylthio)butyric acid",2.26,151964496,1924309,60128436,-2.6,"",151964496
"4","211202_Std_4uMStdsMix1InMatrix_2","2-Hydroxy-4-(methylthio)butyric acid",2.27,343116736,2148717,104189880,-1.4,"",343116736
"5","211202_Std_4uMStdsMix2InH2O_1","2-Hydroxy-4-(methylthio)butyric acid",NA,NA,NA,NA,NA,"",NA
"6","211202_Std_4uMStdsMix2InH2O_2","2-Hydroxy-4-(methylthio)butyric acid",NA,NA,NA,NA,NA,"",NA
"7","211202_Std_4uMStdsMix2InMatrix_1","2-Hydroxy-4-(methylthio)butyric acid",NA,NA,NA,NA,NA,"",NA
"8","211202_Std_4uMStdsMix2InMatrix_2","2-Hydroxy-4-(methylthio)butyric acid",NA,NA,NA,NA,NA,"",NA
"9","211202_Std_H2OinMatrix_1","2-Hydroxy-4-(methylthio)butyric acid",2.28,34947,0,21758,-1,"areamin_flag, ",NA
"10","211202_Std_H2OinMatrix_2","2-Hydroxy-4-(methylthio)butyric acid",2.26,47619,0,22379,-1,"",47619
"11","211202_Blk_BlankTube_1","2-Hydroxy-4-(methylthio)butyric acid",2.27,0,0,0,NA,"areamin_flag, ",NA
"12","211202_Blk_BlankTube_2","2-Hydroxy-4-(methylthio)butyric acid",2.22,0,0,0,NA,"areamin_flag, ",NA
"13","211202_Blk_BlankTube_3","2-Hydroxy-4-(methylthio)butyric acid",2.22,0,0,0,NA,"areamin_flag, ",NA
"14","211202_Poo_TruePooBacteria_Full1","2-Hydroxy-4-(methylthio)butyric acid",2.25,47623,0,24118,-1.9,"",47623
"15","211202_Poo_TruePooBacteria_Full2","2-Hydroxy-4-(methylthio)butyric acid",2.28,105490,0,47075,-2.9,"",105490
"16","211202_Poo_TruePooBacteria_Full3","2-Hydroxy-4-(methylthio)butyric acid",2.28,79188,0,39905,-0.6,"",79188
"17","211202_Poo_TruePooBacteria_Half1","2-Hydroxy-4-(methylthio)butyric acid",2.27,33101,0,16268,-2.2,"areamin_flag, ",NA
"18","211202_Poo_TruePooBacteria_Half2","2-Hydroxy-4-(methylthio)butyric acid",2.27,49056,0,24235,-2.3,"",49056
"19","211202_Poo_TruePooBacteria_Half3","2-Hydroxy-4-(methylthio)butyric acid",2.27,23142,0,14846,0.2,"areamin_flag, ",NA
"20","211202_Poo_TruePooBacteria_DDAneg20","2-Hydroxy-4-(methylthio)butyric acid",2.27,114521,0,66377,-1.3,"",114521
"21","211202_Poo_TruePooBacteria_DDAneg35","2-Hydroxy-4-(methylthio)butyric acid",2.28,86108,0,61776,-1.4,"",86108
"22","211202_Poo_TruePooBacteria_DDAneg50","2-Hydroxy-4-(methylthio)butyric acid",2.28,93658,0,58532,-1.8,"",93658
"23","211202_Smp_OBi1small_1","2-Hydroxy-4-(methylthio)butyric acid",NA,NA,NA,NA,NA,"",NA
"24","211202_Smp_OBi1small_3","2-Hydroxy-4-(methylthio)butyric acid",NA,NA,NA,NA,NA,"",NA
"25","211202_Smp_OBi1small_5","2-Hydroxy-4-(methylthio)butyric acid",2.27,26310,0,15802,-3.3,"areamin_flag, ",NA
"26","211202_Smp_OBi1small_7","2-Hydroxy-4-(methylthio)butyric acid",2.27,38680,0,20998,-2.2,"areamin_flag, ",NA
"27","211202_Smp_OBi1_1","2-Hydroxy-4-(methylthio)butyric acid",2.28,179593,0,87758,-2.9,"",179593
"28","211202_Smp_OBi1_2","2-Hydroxy-4-(methylthio)butyric acid",2.28,116270,0,48620,-2.1,"",116270
"29","211202_Smp_OBi1_3","2-Hydroxy-4-(methylthio)butyric acid",2.27,133076,0,56239,-1.9,"",133076
"30","211202_Smp_OBi1_4","2-Hydroxy-4-(methylthio)butyric acid",2.28,225334,0,101639,-3.5,"",225334
"31","211202_Smp_OBi1_5","2-Hydroxy-4-(methylthio)butyric acid",2.28,143885,0,58023,-2.7,"",143885
"32","211202_Smp_OBi1_6","2-Hydroxy-4-(methylthio)butyric acid",2.28,207379,0,83161,-1.6,"",207379
"33","211202_Smp_OBi1_7","2-Hydroxy-4-(methylthio)butyric acid",2.28,141116,0,56975,-2.5,"",141116
"34","211202_Smp_OBi1_8","2-Hydroxy-4-(methylthio)butyric acid",2.28,128101,0,53147,-1.9,"",128101
"35","211202_Smp_OBi1_9","2-Hydroxy-4-(methylthio)butyric acid",2.28,148369,0,63412,-1.8,"",148369
"36","211202_Smp_RWi2_1","2-Hydroxy-4-(methylthio)butyric acid",NA,NA,NA,NA,NA,"",NA
"37","211202_Smp_RWi2_2","2-Hydroxy-4-(methylthio)butyric acid",NA,NA,NA,NA,NA,"",NA
"38","211202_Smp_RWi2_3","2-Hydroxy-4-(methylthio)butyric acid",NA,NA,NA,NA,NA,"",NA
"39","211202_Smp_RWi2_4","2-Hydroxy-4-(methylthio)butyric acid",NA,NA,NA,NA,NA,"",NA
"40","211202_Smp_RWi2_5","2-Hydroxy-4-(methylthio)butyric acid",NA,NA,NA,NA,NA,"",NA
"41","211202_Smp_RWi2_6","2-Hydroxy-4-(methylthio)butyric acid",NA,NA,NA,NA,NA,"",NA
"42","211202_Std_4uMStdsMix1InH2O_1","3-Sulfopyruvic acid",NA,NA,NA,NA,NA,"",NA
"43","211202_Std_4uMStdsMix1InH2O_2","3-Sulfopyruvic acid",NA,NA,NA,NA,NA,"",NA
"44","211202_Std_4uMStdsMix1InMatrix_1","3-Sulfopyruvic acid",NA,NA,NA,NA,NA,"",NA
"45","211202_Std_4uMStdsMix1InMatrix_2","3-Sulfopyruvic acid",NA,NA,NA,NA,NA,"",NA
"46","211202_Std_4uMStdsMix2InH2O_1","3-Sulfopyruvic acid",14.39,31394232,0,1699532,-1.8,"",31394232
"47","211202_Std_4uMStdsMix2InH2O_2","3-Sulfopyruvic acid",14.01,32552846,0,1691888,-0.1,"",32552846
"48","211202_Std_4uMStdsMix2InMatrix_1","3-Sulfopyruvic acid",14.37,63849924,0,5453469,-1.3,"",63849924
"49","211202_Std_4uMStdsMix2InMatrix_2","3-Sulfopyruvic acid",14.11,73049072,0,6809806,-0.3,"",73049072
"50","211202_Std_H2OinMatrix_1","3-Sulfopyruvic acid",NA,NA,NA,NA,NA,"",NA
"51","211202_Std_H2OinMatrix_2","3-Sulfopyruvic acid",NA,NA,NA,NA,NA,"",NA
"52","211202_Blk_BlankTube_1","3-Sulfopyruvic acid",14.34,37483,0,17803,-1.4,"areamin_flag, ",NA
"53","211202_Blk_BlankTube_2","3-Sulfopyruvic acid",14.06,0,0,0,NA,"areamin_flag, blank_flag",NA
"54","211202_Blk_BlankTube_3","3-Sulfopyruvic acid",14.09,0,0,0,NA,"areamin_flag, blank_flag",NA
"55","211202_Poo_TruePooBacteria_Full1","3-Sulfopyruvic acid",NA,NA,NA,NA,NA,"",NA
