Hello! Here are the QC parameters Minimum area for a real peak: 40000.  minutes. Blank can be this fraction of a sample: 3. S/N ratio: 4. Parts per million flexibility: 6. Processed on: 2024-05-03 16:40:59.964688. 
"","replicate_name","precursor_ion_name","retention_time","area","background","height","mass_error_ppm","flags","QC_area"
"1","211202_Poo_TruePooBacteria_Full1","unknown_C6H9NO4_neg",3.69,17843162,0,549350,-1.8,"",17843162
"2","211202_Poo_TruePooBacteria_Full2","unknown_C6H9NO4_neg",3.54,17026728,0,466127,-1.8,"",17026728
"3","211202_Poo_TruePooBacteria_Full3","unknown_C6H9NO4_neg",3.42,17638764,0,470388,-0.1,"",17638764
"4","211202_Poo_TruePooBacteria_Half1","unknown_C6H9NO4_neg",3.66,9725187,0,318460,-1.4,"",9725187
"5","211202_Poo_TruePooBacteria_Half2","unknown_C6H9NO4_neg",3.47,9350649,0,270454,-2,"",9350649
"6","211202_Poo_TruePooBacteria_Half3","unknown_C6H9NO4_neg",3.37,9181673,0,263798,-0.1,"",9181673
"7","211202_Blk_BlankTube_1","unknown_C6H9NO4_neg",3.37,189925,54344,43455,2.2,"sn_flag, blank_flag",NA
"8","211202_Blk_BlankTube_2","unknown_C6H9NO4_neg",3.53,97134,0,29343,3.3,"blank_flag",NA
"9","211202_Blk_BlankTube_3","unknown_C6H9NO4_neg",3.41,157168,0,61262,5.7,"blank_flag",NA
"10","211202_Smp_OBi1_1","unknown_C6H9NO4_neg",3.82,6563245,0,153972,-1.6,"",6563245
"11","211202_Smp_OBi1_2","unknown_C6H9NO4_neg",3.82,7242454,0,182235,-1.1,"",7242454
"12","211202_Smp_OBi1_3","unknown_C6H9NO4_neg",3.83,6261573,0,159323,-0.7,"",6261573
"13","211202_Smp_OBi1_4","unknown_C6H9NO4_neg",3.59,71352080,0,2040190,-2.2,"",71352080
"14","211202_Smp_OBi1_5","unknown_C6H9NO4_neg",3.56,61558092,0,1764973,-1.8,"",61558092
"15","211202_Smp_OBi1_6","unknown_C6H9NO4_neg",3.6,148335376,0,4478413,-0.8,"",148335376
"16","211202_Smp_OBi1_7","unknown_C6H9NO4_neg",3.63,5623021,0,143824,-0.9,"",5623021
"17","211202_Smp_OBi1_8","unknown_C6H9NO4_neg",3.59,4483763,0,101680,-0.5,"",4483763
"18","211202_Smp_OBi1_9","unknown_C6H9NO4_neg",3.58,4396465,0,139338,-0.2,"",4396465
"19","211202_Poo_TruePooBacteria_Full1","unknown_C6H9NO3_1_neg",10.01,103746872,1213561,7653269,-2.7,"",103746872
