Hello! Here are the QC parameters Minimum area for a real peak: 40000. RT flexibility: 2.5 minutes. Blank can be this fraction of a sample: 3. S/N ratio: 3. Parts per million flexibility: 6. Processed on: 2024-03-15 11:43:29.716575. 
"","replicate_name","precursor_ion_name","retention_time","area","background","height","mass_error_ppm","flags","QC_area"
"1","220302_Std_4uMStdsMix1InH2O_1","(3-Carboxypropyl)trimethylammonium",9.83,4159621888,64578484,306221600,-3.1,"",4159621888
"2","220302_Std_4uMStdsMix1InH2O_2","(3-Carboxypropyl)trimethylammonium",9.82,5854974464,94050208,418402880,-2,"",5854974464
"3","220302_Std_4uMStdsMix1InMatrix_1","(3-Carboxypropyl)trimethylammonium",9.83,5143861760,79336016,391710336,-2.8,"",5143861760
"4","220302_Std_4uMStdsMix1InMatrix_2","(3-Carboxypropyl)trimethylammonium",9.83,5828015616,85961112,414396800,-1.9,"",5828015616
"5","220302_Std_4uMStdsMix2InH2O_1","(3-Carboxypropyl)trimethylammonium",NA,NA,NA,NA,NA,"",NA
"6","220302_Std_4uMStdsMix2InH2O_2","(3-Carboxypropyl)trimethylammonium",NA,NA,NA,NA,NA,"",NA
"7","220302_Std_4uMStdsMix2InMatrix_1","(3-Carboxypropyl)trimethylammonium",NA,NA,NA,NA,NA,"",NA
"8","220302_Std_4uMStdsMix2InMatrix_2","(3-Carboxypropyl)trimethylammonium",NA,NA,NA,NA,NA,"",NA
"9","220302_Std_H2OinMatrix_1","(3-Carboxypropyl)trimethylammonium",10.85,265720,0,41638,-3,"blank_flag",NA
"10","220302_Std_H2OinMatrix_2","(3-Carboxypropyl)trimethylammonium",9.96,56008,0,30188,-1.8,"blank_flag",NA
"11","220302_Poo_TruePooBacteria_Full1","(3-Carboxypropyl)trimethylammonium",9.83,86522,0,42149,-1,"blank_flag",NA
"12","220302_Poo_TruePooBacteria_Full2","(3-Carboxypropyl)trimethylammonium",9.96,75291,0,52786,-0.8,"blank_flag",NA
"13","220302_Poo_TruePooBacteria_Full3","(3-Carboxypropyl)trimethylammonium",9.99,128959,0,43063,-1.1,"blank_flag",NA
"14","220302_Poo_TruePooBacteria_Half1","(3-Carboxypropyl)trimethylammonium",9.62,77958,0,38634,-0.5,"blank_flag",NA
"15","220302_Poo_TruePooBacteria_Half2","(3-Carboxypropyl)trimethylammonium",9.99,43384,0,32773,-0.7,"blank_flag",NA
"16","220302_Poo_TruePooBacteria_Half3","(3-Carboxypropyl)trimethylammonium",9.9,77198,0,19794,-0.8,"blank_flag",NA
"17","220302_Smp_MQBlk1_A","(3-Carboxypropyl)trimethylammonium",9.8,467825,0,48694,-2,"blank_flag",NA
