Hello! Here are the QC parameters Minimum area for a real peak: 40000. RT flexibility: 2.5 minutes. Blank can be this fraction of a sample: 3. S/N ratio: 4. Parts per million flexibility: 6. Processed on: 2024-05-03 16:49:49.235254. 
"","replicate_name","precursor_ion_name","retention_time","area","background","height","mass_error_ppm","flags","QC_area"
"1","211202_Std_4uMStdsMix1InH2O_1","(3-Carboxypropyl)trimethylammonium",9.78,908913024,5978478,62604280,-4.4,"",908913024
"2","211202_Std_4uMStdsMix1InH2O_2","(3-Carboxypropyl)trimethylammonium",9.79,1271352320,8031088,84973728,-3.4,"",1271352320
"3","211202_Std_4uMStdsMix1InMatrix_1","(3-Carboxypropyl)trimethylammonium",9.78,986681344,2547673,69839392,-4.5,"",986681344
"4","211202_Std_4uMStdsMix1InMatrix_2","(3-Carboxypropyl)trimethylammonium",9.83,1263660800,13549894,88739936,-3.6,"",1263660800
"5","211202_Std_4uMStdsMix2InH2O_1","(3-Carboxypropyl)trimethylammonium",9.89,101567,0,7340,-3.3,"",101567
"6","211202_Std_4uMStdsMix2InH2O_2","(3-Carboxypropyl)trimethylammonium",10.15,50652,0,4018,-1.5,"blank_flag",NA
"7","211202_Std_4uMStdsMix2InMatrix_1","(3-Carboxypropyl)trimethylammonium",9.78,163505,0,61972,-2.6,"",163505
"8","211202_Std_4uMStdsMix2InMatrix_2","(3-Carboxypropyl)trimethylammonium",9.83,436042,86849,56425,-1.6,"",436042
"9","211202_Std_H2OinMatrix_1","(3-Carboxypropyl)trimethylammonium",9.87,885800,0,66382,-3,"",885800
"10","211202_Std_H2OinMatrix_2","(3-Carboxypropyl)trimethylammonium",9.84,591552,0,49677,-4.1,"",591552
"11","211202_Blk_BlankTube_1","(3-Carboxypropyl)trimethylammonium",9.6,33555,0,4017,-2,"areamin_flag, blank_flag",NA
"12","211202_Blk_BlankTube_2","(3-Carboxypropyl)trimethylammonium",9.77,38055,0,3163,-2.2,"areamin_flag, blank_flag",NA
"13","211202_Blk_BlankTube_3","(3-Carboxypropyl)trimethylammonium",10.1,23132,0,3501,-2.9,"areamin_flag, blank_flag",NA
"14","211202_Poo_TruePooBacteria_DDApos20","(3-Carboxypropyl)trimethylammonium",9.82,759524,0,81055,-3,"",759524
"15","211202_Poo_TruePooBacteria_DDApos35","(3-Carboxypropyl)trimethylammonium",9.82,780441,0,83689,-3.8,"",780441
"16","211202_Poo_TruePooBacteria_DDApos50","(3-Carboxypropyl)trimethylammonium",9.8,810670,0,82691,-3.7,"",810670
"17","211202_Poo_TruePooBacteria_Full1","(3-Carboxypropyl)trimethylammonium",9.82,1070305,0,89439,-3.5,"",1070305
"18","211202_Poo_TruePooBacteria_Full2","(3-Carboxypropyl)trimethylammonium",9.81,963036,0,93467,-2.9,"",963036
"19","211202_Poo_TruePooBacteria_Full3","(3-Carboxypropyl)trimethylammonium",9.85,986232,0,90183,-2.5,"",986232
"20","211202_Poo_TruePooBacteria_Half1","(3-Carboxypropyl)trimethylammonium",9.86,597229,0,54203,-3.3,"",597229
"21","211202_Poo_TruePooBacteria_Half2","(3-Carboxypropyl)trimethylammonium",9.79,496323,0,45387,-3.7,"",496323
"22","211202_Poo_TruePooBacteria_Half3","(3-Carboxypropyl)trimethylammonium",9.8,492392,0,39687,-3,"",492392
"23","211202_Smp_OBi1_1","(3-Carboxypropyl)trimethylammonium",9.81,2202174,0,200622,-5.4,"",2202174
"24","211202_Smp_OBi1_2","(3-Carboxypropyl)trimethylammonium",9.84,1880662,0,175179,-3.5,"",1880662
"25","211202_Smp_OBi1_3","(3-Carboxypropyl)trimethylammonium",9.86,1860896,0,163992,-5.3,"",1860896
"26","211202_Smp_OBi1_4","(3-Carboxypropyl)trimethylammonium",9.84,1942696,0,154778,-4,"",1942696
"27","211202_Smp_OBi1_5","(3-Carboxypropyl)trimethylammonium",9.84,1894416,0,136614,-3.1,"",1894416
"28","211202_Smp_OBi1_6","(3-Carboxypropyl)trimethylammonium",9.85,1834414,0,137573,-2.4,"",1834414
