Hello! Here are the QC parameters Minimum area for a real peak: 40000.  minutes. Blank can be this fraction of a sample: 3. S/N ratio: 4. Parts per million flexibility: 6. Processed on: 2024-05-03 16:41:00.339922. 
"","replicate_name","precursor_ion_name","retention_time","area","background","height","mass_error_ppm","flags","QC_area"
"1","211202_Poo_TruePooBacteria_Full1","unknown_C6H9NO4_pos",11.96,745433,0,67181,-3.1,"",745433
"2","211202_Poo_TruePooBacteria_Full2","unknown_C6H9NO4_pos",11.73,581492,0,54614,-3.4,"",581492
"3","211202_Poo_TruePooBacteria_Full3","unknown_C6H9NO4_pos",11.7,555861,0,48965,-2,"",555861
"4","211202_Poo_TruePooBacteria_Half1","unknown_C6H9NO4_pos",11.96,407809,0,34837,-3.6,"",407809
"5","211202_Poo_TruePooBacteria_Half2","unknown_C6H9NO4_pos",11.75,315968,0,23839,-3.1,"",315968
"6","211202_Poo_TruePooBacteria_Half3","unknown_C6H9NO4_pos",11.7,307488,0,25892,-1.9,"",307488
"7","211202_Blk_BlankTube_1","unknown_C6H9NO4_pos",11.74,0,0,0,NA,"areamin_flag, ",NA
"8","211202_Blk_BlankTube_2","unknown_C6H9NO4_pos",11.75,0,0,0,NA,"areamin_flag, ",NA
"9","211202_Blk_BlankTube_3","unknown_C6H9NO4_pos",11.75,0,0,0,NA,"areamin_flag, ",NA
"10","211202_Smp_OBi1_1","unknown_C6H9NO4_pos",NA,NA,NA,NA,NA,"",NA
"11","211202_Smp_OBi1_2","unknown_C6H9NO4_pos",NA,NA,NA,NA,NA,"",NA
"12","211202_Smp_OBi1_3","unknown_C6H9NO4_pos",NA,NA,NA,NA,NA,"",NA
"13","211202_Smp_OBi1_4","unknown_C6H9NO4_pos",11.8,1353639,0,99964,-3.6,"",1353639
"14","211202_Smp_OBi1_5","unknown_C6H9NO4_pos",11.82,1117511,0,82870,-3.7,"",1117511
"15","211202_Smp_OBi1_6","unknown_C6H9NO4_pos",11.89,1413312,0,110538,-2.5,"",1413312
"16","211202_Smp_OBi1_7","unknown_C6H9NO4_pos",11.84,1358252,0,120689,-3,"",1358252
"17","211202_Smp_OBi1_8","unknown_C6H9NO4_pos",11.8,1228844,0,108071,-3.3,"",1228844
"18","211202_Smp_OBi1_9","unknown_C6H9NO4_pos",11.85,1516427,0,138214,-2.2,"",1516427
"19","211202_Poo_TruePooBacteria_Full1","n-methyl glutamine",9.32,309139168,6482577,19764328,0,"",309139168
"20","211202_Poo_TruePooBacteria_Full2","n-methyl glutamine",9.19,361174240,9567334,23620832,0,"",361174240
"21","211202_Poo_TruePooBacteria_Full3","n-methyl glutamine",9.21,401635584,6858948,23828704,0.5,"",401635584
"22","211202_Poo_TruePooBacteria_Half1","n-methyl glutamine",9.26,308038656,6217307,19794714,-0.5,"",308038656
