mass_feature,replicate_name,adjusted_area,sample_fraction,z,sample_set,treatment,retention_time,mz
(3-Carboxypropyl)trimethylammonium,211202_Smp_OBi1_1,2202174,Particulate,1,OBi1_set2,Glucose + NH4,9.861,146.118104
(3-Carboxypropyl)trimethylammonium,211202_Smp_OBi1_2,1880662,Particulate,1,OBi1_set2,Glucose + NH4,9.861,146.118104
(3-Carboxypropyl)trimethylammonium,211202_Smp_OBi1_3,1860896,Particulate,1,OBi1_set2,Glucose + NH4,9.861,146.118104
(3-Carboxypropyl)trimethylammonium,211202_Smp_OBi1_4,1942696,Particulate,1,OBi1_set2,Homarine,9.861,146.118104
(3-Carboxypropyl)trimethylammonium,211202_Smp_OBi1_5,1894416,Particulate,1,OBi1_set2,Homarine,9.861,146.118104
(3-Carboxypropyl)trimethylammonium,211202_Smp_OBi1_6,1834414,Particulate,1,OBi1_set2,Homarine,9.861,146.118104
(3-Carboxypropyl)trimethylammonium,211202_Smp_OBi1_7,1930711,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,9.861,146.118104
(3-Carboxypropyl)trimethylammonium,211202_Smp_OBi1_8,1682955,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,9.861,146.118104
(3-Carboxypropyl)trimethylammonium,211202_Smp_OBi1_9,1551067,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,9.861,146.118104
(3-Carboxypropyl)trimethylammonium,211202_Smp_OBi1small_1,384813,Particulate,1,Obi1_set1,Glucose + NH4,9.861,146.118104
(3-Carboxypropyl)trimethylammonium,211202_Smp_OBi1small_3,323761,Particulate,1,Obi1_set1,Glucose + NH4,9.861,146.118104
(3-Carboxypropyl)trimethylammonium,211202_Smp_OBi1small_5,323846,Particulate,1,Obi1_set1,Homarine,9.861,146.118104
(3-Carboxypropyl)trimethylammonium,211202_Smp_OBi1small_7,344334,Particulate,1,Obi1_set1,Homarine,9.861,146.118104
(3-Carboxypropyl)trimethylammonium,211202_Smp_RWi2_1,NA,Particulate,1,Rwi_set1,Glycerol + NH4,9.861,146.118104
