replicate_name,sample_set,treatment,sample_fraction,(3-Carboxypropyl)trimethylammonium,2-Hydroxy-4-(methylthio)butyric acid,2-Ketoglutaric acid,3-Phosphoglycerate,5-Hydroxyectoine,5-Oxoproline,Adenine,Adenosine,Adenosine diphosphate,Adenosine monophosphate,Adenosine triphosphate,Citric acid,Citrulline,Creatine,"Cys-Gly, oxidized",Cytidine,Cytosine,D-Fructose 6-phosphate,D-Gluconic acid,D-Glucose 1-phosphate,D-Glucose 6-phosphate,D-Ribose 5-phosphate,Deoxyadenosine,Dihydroxyacetone phosphate,Dimethylsulfoniopropionate,Ectoine,Fumaric acid,Glucosamine,Glutamylphenylalanine,Glutathione,Glutathione disulfide,Glycerophosphocholine,Glycerophosphoric acid,Glycine,Gonyol,Guanine,Guanosine,Guanosine monophosphate,Homarine,Hydroxyproline,Hypoxanthine,Inosine,Isocitric acid,L-Alanine,L-Arginine,L-Arginosuccinic acid,L-Aspartic acid,L-Cystathionine,L-Cysteic acid,L-Cystine,L-Glutamic acid,L-Glutamine,L-Histidine,L-Homoserine,L-Isoleucine,L-Leucine,L-Lysine,L-Methionine,L-Methionine S-oxide,L-Ornithine,L-Proline,L-Serine,L-Threonine,L-Tyrosine,Malic acid,N-Acetyl-D-glucosamine,N-Acetyl-L-glutamic acid,N-Acetylmuramic acid,N6-Methyladenine,NAD,NADH,NADP,NADPH,Ophthalmic acid,Orotic acid,Phosphoenolpyruvic acid,Pipecolic acid,Propionylglycine,Succinic acid,Taurine,Thiamine diphosphate,Thymidine,Thymine,UDP-N-acetylglucosamine,UDP-glucose,Uracil,Uridine,cis-Aconitic acid,n-methyl glutamic acid,n-methyl glutamine,unknown_C6H9NO3_1_neg,unknown_C6H9NO4_neg,unknown_C6H9NO4_pos,unknown_C6H9NO4_pos_early,unknown_C7H9NO5_pos,"2,5-Dihydroxybenzoic acid",Allantoin,Melamine
211202_Smp_OBi1_1,OBi1_set2,Glucose + NH4,Particulate,2202174,179593,33686116,2699507.855018953,7385974000.273148,NA,738169536,1158584110.4496424,1264633,1593471,100905.6333876767,53785154.31502276,71731584,1557110.385658287,6479334.545315965,115238373.49135391,78157504,15512486.941235604,239474767.56239173,15512486.941235604,26234409.18457359,3219317,40469652,2700280,819221,19705216139.25993,7343416,1191906.7922015914,471607.4510294433,6615193.697380081,638829.956743115,NA,16283273,4851746.718189726,340641,39304608,59062435.179613546,326031,NA,550721.3465940941,31159216,11753295.470988533,56204940.44555387,140765821.96015847,89328192.00927645,1133292.481050491,49678812,153294.79714028063,246518,2525821,1579892202.9157128,725744953.8649317,69304296.35557358,19686350.464572173,55199955.61970825,NA,26479424.217421636,27490392,NA,2988943.355543079,85879222.82611702,13119912.342917116,59312564.5962184,9174577.444894368,80193672,2379574,129755760,2066117,238042.84269528603,8081089.876600362,1093043,68832,573042.7088532498,6332398.084033499,8877695,1510745.8811583,55330640.48986119,4632796.409321473,123157624,NA,2207492.2259982717,9628352,67040897.742783725,5093319.740459093,7490825.164524135,10842190,228153173.49842596,2096345.5924181603,6267657.979608772,123390493.25658303,NA,6563245,NA,87457.7164278583,61165.94573022232,NA,NA,NA
211202_Smp_OBi1_2,OBi1_set2,Glucose + NH4,Particulate,1880662,116270,49826548,2064669.6019065492,7415437039.415463,44966041.71549878,664260032,737039051.3459301,3328658,6425140,204788.90725193013,51190944.734163426,72467024,358415.5601116157,4722740.5604652725,73212791.55757648,97695904,12943219.666499691,401158789.62874794,12943219.666499691,18586621.338187955,4642537,35011968,3198907,NA,16893708319.33375,11169420,1580299.313672308,501076.5732325953,1507080.087509904,364487.6017335393,NA,17552712,5997902.796941725,246869,57716936,41030721.06288357,1191745,NA,531730.9948248916,208915168,5846059.974368996,55519607.71334334,126678036.06237216,78861936.69800799,1267903.5336287937,50483192,144810.8827118637,302501,6779778,1610531367.4950185,681631010.3179001,65313620.5049964,22418987.299475767,NA,NA,20836317.78267926,28766374,NA,2743884.578413433,68641052.56483445,8970411.211130196,47046033.44835351,9609157.61160577,89435784,2142352,130319744,2026063,332230.655245255,7844841.360040998,NA,51193,492021.47393274505,7127393.791617805,13835135,1621482.8242864253,46310322.29869075,3898907.823032477,95188688,NA,1598186.5621170113,6562215,43684936.88666892,4930128.4432482375,6561890.067444082,32233286,117914933.37463091,1863759.5914058,5637639.832432984,111552859.49522756,NA,7242454,NA,78180.80436356281,59424.94879704997,NA,NA,NA
211202_Smp_OBi1_3,OBi1_set2,Glucose + NH4,Particulate,1860896,133076,37883856,2622217.0221966524,7069163385.8702965,54871370.96057584,722788992,1063087873.8653274,1228335,2018471,NA,59550535.631212115,70734744,NA,4622948.459839507,103038671.75909732,115890328,15105796.283728098,415242192.1993465,15105796.283728098,19282914.36345043,4464837,41124580,3035648,NA,18635152059.298805,9219013,1191210.2615188991,331763.90061051043,602409.3433970035,362961.92453779245,NA,26651968,4864490.427508793,297647,51415652,47205471.40002371,342701,NA,484794.78562874935,302722656,8153535.515374873,61411253.46725963,146612056.46543595,86214040.9518212,1063908.7548445617,43244168,171782.07364167212,269134,2204299,1605891969.479745,659301919.6379917,68967123.2568033,20786080.917046383,47891484.80373912,49061716.52896716,24908538.121228945,27932634,NA,2900943.0560329147,81871931.32082678,12352025.680960745,58970373.945796125,9658766.366403282,88128864,2257269,126733760,2164622,341225.95600169187,6209987.287955824,NA,138436,347336.37592633796,5141503.779820947,11453165,1927754.295266207,51910535.46527753,3830661.120529627,132163336,NA,1603575.3991977058,9902097,70427199.27541696,4844995.444341788,4803537.115240482,45969464,217690177.32335255,1503772.8181697852,5542865.727514871,114341625.13888612,NA,6261573,NA,111547.3988876636,NA,NA,NA,NA
211202_Smp_OBi1_4,OBi1_set2,Homarine,Particulate,1942696,225334,17300588,272890.65379069204,1755776625.134244,NA,713691968,587529786.5042844,NA,NA,NA,77504562.56421801,2278039,NA,22658997.49042134,28448936.070604265,58288376,14913010.741419343,11536134.95711627,14913010.741419343,6804574.656141963,2530551,26390670,295391,NA,10094191317.603764,NA,6694857.755460148,NA,NA,NA,NA,10253338,3344907.777035167,124972,38721212,25891020.9799073,NA,133852726662.3591,515697.3278698928,198575744,147380.115847549,80569663.4101992,19986109.59321703,21972955.330489464,85583.51720230079,8487434,NA,168427,1821171,2149506898.5669827,57330771.98517192,20176313.63367319,35616523.66579479,23491887.34063988,25520953.247471463,13084188.305062452,10361659,NA,NA,18213122.182383504,3597625.0314348717,11784521.49863964,8161276.779273219,44320824,618518,3628926,261582,145743.27879170628,46840.79575156759,NA,NA,47463.22848148994,4718266.40296899,NA,703553.9887144344,23961073.31768688,2326716.9553741664,51526744,NA,1177564.669501492,5138878,26779356.389092233,415501.8860678566,570110.5661775297,24699778,91568977.56228408,714060.681636713,851616446.5331256,3676271178.616875,308915346.2951357,71352080,859802.9730524514,701944.8911495485,1834812.223174032,NA,NA,NA
211202_Smp_OBi1_5,OBi1_set2,Homarine,Particulate,1894416,143885,14500479,297054.16484171775,2032956747.317629,NA,144095008,384034002.25068927,2770472,5433902,146865.10391557802,97248125.94382824,2782654,NA,7411411.179046258,15148587.649336291,39929932,9446056.555157818,7454084.680685834,9446056.555157818,5561496.9954463085,731513,14620463,209959,NA,10783679878.870792,NA,5962261.621690639,NA,5621657.7399739055,2056224.0422413652,NA,4913386,1590128.5600254815,120774,12751246,19548543.557981662,799695,116693718764.03893,525277.6115113512,14832151,270425.85987054225,103399446.99854948,20622578.911066696,24244047.860153697,95403.0164592086,8748151,NA,85731,84397,1440703227.894669,180501029.3826151,20521961.895454068,32529856.09763879,24835336.190721888,24553216.026277456,12249598.8367343,9074712,NA,NA,23156905.89282717,3811183.809148726,11856139.611615043,7350920.970177865,26884548,608745,5948816,235704,65037.148722373706,6118540.803263701,752084,NA,NA,24989699.20664866,NA,400983.33344092313,23840476.89905818,2413076.2515579583,43504232,NA,1428537.4095386616,2809728,14395335.441575892,2553070.8889711048,2431168.0813244106,4645917,37743881.94388622,901919.5983806864,1045678251.700594,3699602637.5381694,258454588.54881188,61558092,732158.2810942916,673061.1658968373,1651003.5996189113,NA,NA,NA
211202_Smp_OBi1_6,OBi1_set2,Homarine,Particulate,1834414,207379,32486314,250765.5824506432,1813413449.6766665,NA,772798848,241960118.33728787,3223078,7743475,268197.5092137311,43541317.27716073,2573261,NA,4452908.666948006,13023757.34443706,56917532,7880425.958240079,NA,7880425.958240079,3822253.782609552,2023890,12913531,135464,NA,8086966212.710329,NA,6095883.078733853,NA,NA,342811.4805199964,NA,6109368,4007396.561700922,137694,19286458,9392995.460977908,523197,112060462930.8314,468940.4244308742,26553684,NA,47224039.44565944,21090449.305275857,18921120.2368931,81804.57994011987,8847333,NA,61736,2693595,1347824915.13338,147195993.5503216,18349090.411535572,26529766.29959089,32579171.873768702,NA,8717249.881748302,9413792,NA,NA,17530292.63087334,3358040.144093672,8511707.080243118,6823156.281877791,55143312,526040,4067639,207792,115860.24377353788,3840738.3664765754,NA,60002,NA,28824031.02057622,NA,633025.4305541652,21635261.792615317,2223649.875732646,27787308,NA,989569.6328360745,2074784,14818368.767177796,1643769.8480756574,1820897.7346284855,31022660,19574869.073204916,718333.8381139268,1034354844.7880738,3055626489.486416,255638073.1971946,148335376,831634.0699042929,1750930.191279217,1756594.9313979263,NA,NA,NA
211202_Smp_OBi1_7,OBi1_set2,Glucose + NH4 + Homarine,Particulate,1930711,141116,40663616,2441677.1647184487,6280253220.975462,NA,843665984,915968591.0283122,1010396,1392695,61438.1908118463,50478962.57379725,46716760,NA,31872359.37340788,90622347.71957654,104278728,12211432.691899303,1025513125.3283486,12211432.691899303,17196039.50084433,3359830,39448864,2003581,NA,36084140011.45796,9496862,5158484.349345178,374185.7044700302,11597786.388931664,853948.0625480706,NA,14164889,2941508.507154063,NA,61279760,51028595.96717078,203139,91003076031.56737,372497.82709415705,58185484,7732616.132000366,53141200.16912399,111447968.89482944,73494549.35712288,756788.0183681264,30738808,89290.2998902258,130698,100015,5566381501.632615,1988211489.1870265,55351528.95255174,73841479.78300974,45914764.68148325,48858588.25666182,20562265.274803676,20716618,NA,10690460.02909938,76137594.12109399,9073897.558637464,39559565.98494678,10074551.407022435,80488904,1995437,103714304,1775095,262639.5639468096,4960045.846833011,NA,46243,260934.67056474744,4231306.993089759,9292891,1382086.3125751668,39819450.87208075,3812323.281914183,113550728,NA,1710812.8568786054,7919300,59030317.74733018,4772280.201450041,3840299.2674201974,16324533,164670578.23206124,1282761.6878915897,32866515.325709697,407271256.00585866,NA,5623021,1467347.7859713896,60608.547856596706,2698014.263831391,NA,NA,NA
211202_Smp_OBi1_8,OBi1_set2,Glucose + NH4 + Homarine,Particulate,1682955,128101,39599728,1617095.5422707554,6096294962.615648,NA,670674304,589841631.5334581,2929693,9480275,68543.83365707839,48290413.556665674,50312772,NA,2521612.5789502217,65530079.51664299,72826816,12765875.740774032,1129085361.2253828,12765875.740774032,19374725.957627885,3205385,33222824,2121031,NA,36973712027.65725,10773090,5336972.743974321,248551.25550912647,NA,2091504.7268047857,NA,15651891,3732575.962156018,NA,50303828,40386856.30809586,1944896,94071553944.62608,411850.87110920734,106422136,5374313.522667248,50539712.946674824,114350682.4164128,71850490.38114376,775352.4657087048,29656290,91859.98151621234,59195,1834106,5845961716.465637,2207338457.2291307,53376392.349657446,87181320.9435105,44051933.0962602,43788197.83372516,20315094.647089675,20922208,NA,NA,76256603.57392512,8172021.487353676,38639558.02762812,9777195.524697714,92688744,1899973,110088304,1640697,312585.5373660835,8238369.653393901,NA,94232,533024.024081368,2874020.443618922,8246426,1268371.0670338206,40800505.10630703,3899275.741788164,119644880,NA,1461945.9758976432,5658023,38670620.192639574,4924073.6886897525,4751292.428897117,21550428,94132007.48588972,1264152.9014987936,32342989.61375998,408942982.9387465,4227917.236567069,4483763,1339028.290901238,48998.349978539234,2276233.355342225,NA,NA,NA
211202_Smp_OBi1_9,OBi1_set2,Glucose + NH4 + Homarine,Particulate,1551067,148369,29632670,1450006.0561063164,4915932626.707573,NA,249466160,633380465.6086957,5066863,15553344,180211.06411893855,35806777.823787585,48337100,NA,697374.2465579251,51645509.617899545,96720248,8682266.756511291,1199147443.5505393,8682266.756511291,13751561.73744479,3014635,29781724,1776849,NA,29563654436.344425,8461227,2988565.5618820246,146496.2119067519,295962.47236494056,3209336.8167934,NA,12849753,3033598.1750676963,51311,22806754,27981276.118237235,4618819,89375933594.18047,247390.0986558035,101499104,4197296.881847137,37980777.43607023,96710356.60102087,64081883.654269494,588121.3663689534,27591790,81281.78122396804,48736,1918028,5206613690.320976,1957531484.493076,46654539.949898235,73396096.54520276,40862313.623778,50241526.68338962,17305122.60168016,19157482,NA,11741616.172876555,72900955.12070303,7732356.733280418,36574810.50763836,9596077.433572486,77595408,2203724,100278992,2019020,196629.0453829455,5026421.0328660775,913786,121077,61279.386946977495,2236724.206138242,5896019,829348.8261185202,32814790.940446783,3127747.433915833,124072536,NA,1308506.2497931146,4832730,33741901.498806715,4183803.0023995577,2502656.9998669596,13743895,63577701.602906,1183878.0729727005,39728662.43253489,506209318.73702925,4607902.61153941,4396465,1476081.3416157423,NA,2601395.8774417974,NA,NA,NA
211202_Smp_OBi1small_1,Obi1_set1,Glucose + NH4,Particulate,384813,NA,10413950,1382213.798815339,645475083.6798428,NA,76408560,90043146.64448553,4044208,5244616,1181180.0788204886,22812096.69077128,7276885,NA,341301.37155573134,3595818.625092372,29288170,2089517.9594240005,1369955.958740774,2102863.693420573,1058134.0598432468,843512,4429528,NA,5915174,17292621510.917835,NA,199285.94345656884,NA,283557.37688637915,1714258.487774955,NA,1009791,1149595.2371403158,208270,10850244,1434390.8667176152,757417,NA,127725.46721317958,39037408,96647.27932846003,24878961.648987617,7190286.435518763,17614565.471814718,112710.6932315877,15131355,NA,68534,121601,565869125.1106693,95867785.5626724,34439237.40532023,1199707.694497345,NA,NA,2504587.2406259915,5026462,29125.17596073766,6156395.900867569,14988827.319642693,1723168.605726044,5728935.578982639,4775786.462344725,31123804,146036,48209572,85294,NA,2931974.644793711,226244,222077,NA,1394856.872465599,NA,725514.4886391264,5388137.063275243,653327.2049629544,NA,NA,392334.6367091099,564964,NA,1348698.0588380578,2577752.019171262,10702565,10039064.44745409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
