mass_feature,retention_time,mz,z,sample_fraction
(3-Carboxypropyl)trimethylammonium,10.028478260869566,146.118104,1,Dissolved
(3-Carboxypropyl)trimethylammonium,9.861,146.118104,1,Particulate
"(R)-2,3-Dihydroxypropane-1-sulfonate",7.915151515151515,155.001422,-1,Dissolved
"(R)-2,3-Dihydroxypropane-1-sulfonate",9.47125,155.001422,-1,Particulate
1-Propanesulfonate,2.5647727272727274,123.011592,-1,Dissolved
1-Propanesulfonate,2.452,123.011592,-1,Particulate
"2,3-Pyridinedicarboxylic acid",11.729333333333333,168.029684,1,Dissolved
"2,3-Pyridinedicarboxylic acid",11.922857142857143,168.029684,1,Particulate
"2,5-Dihydroxybenzoic acid",3.520909090909091,153.018785,-1,Dissolved
"2,5-Dihydroxybenzoic acid",3.6614285714285715,153.018785,-1,Particulate
2-Heptyl-3-hydroxy-quinolone,1.7252173913043478,260.165054,1,Dissolved
2-Heptyl-3-hydroxy-quinolone,2.367272727272727,260.165054,1,Particulate
2-Hydroxy-4-(methylthio)butyric acid,2.3304347826086955,149.027242,-1,Dissolved
2-Hydroxy-4-(methylthio)butyric acid,2.271923076923077,149.027242,-1,Particulate
2-Ketoglutaric acid,12.073260869565217,145.0137,-1,Dissolved
2-Ketoglutaric acid,12.235641025641026,145.0137,-1,Particulate
2-O-alpha-D-Glucosylglycerol,9.840217391304348,255.107995,1,Dissolved
2-O-alpha-D-Glucosylglycerol,9.984285714285715,255.107995,1,Particulate
2-keto-4-methylthiobutyric acid,2.2866666666666666,147.011592,-1,Dissolved
2-keto-4-methylthiobutyric acid,2.121,147.011592,-1,Particulate
"3',5'-Cyclic AMP",6.3125,328.044698,-1,Dissolved
"3',5'-Cyclic AMP",5.281818181818182,328.044698,-1,Particulate
"3',5'-Cyclic GMP",9.58,344.039613,-1,Dissolved
"3',5'-Cyclic GMP",10.162857142857142,344.039613,-1,Particulate
"3',5'-Cyclic diGMP",14.004999999999999,689.087051,-1,Dissolved
"3',5'-Cyclic diGMP",14.063333333333333,689.087051,-1,Particulate
3-Phosphoglycerate,13.815,184.985118,-1,Dissolved
3-Phosphoglycerate,13.781052631578948,184.985118,-1,Particulate
"3-Sulfolactate, 13C3",12.68,171.9913,-1,Dissolved
"3-Sulfolactate, 13C3",13.420540540540541,171.9913,-1,Particulate
3-Sulfopyruvic acid,14.23390243902439,166.965037,-1,Dissolved
3-Sulfopyruvic acid,14.256666666666666,166.965037,-1,Particulate
4-Aminobutyric acid,11.253,104.071154,1,Dissolved
4-Aminobutyric acid,11.445121951219512,104.071154,1,Particulate
5-Hydroxyectoine,11.0978,159.076968,1,Dissolved
5-Hydroxyectoine,11.052926829268293,159.076968,1,Particulate
5-Methylcytosine,5.349347826086957,126.066737,1,Dissolved
5-Methylcytosine,5.3983783783783785,126.066737,1,Particulate
5-Oxoproline,6.829565217391305,128.034768,-1,Dissolved
5-Oxoproline,6.756153846153846,128.034768,-1,Particulate
"AMP, 15N5",10.902173913043478,NA,-1,Dissolved
"AMP, 15N5",10.994285714285715,NA,-1,Particulate
Acetylcholine,13.1525,146.118104,1,Dissolved
Acetylcholine,13.271081081081082,146.118104,1,Particulate
Acetylglycine,7.888913043478261,116.034769,-1,Dissolved
Acetylglycine,7.58264705882353,116.034769,-1,Particulate
Adenine,4.7874,136.06232,1,Dissolved
Adenine,4.814390243902439,136.06232,1,Particulate
Adenosine,4.470512820512821,268.10458,1,Dissolved
Adenosine,4.619230769230769,268.10458,1,Particulate
Adenosine diphosphate,12.4925,426.021596,-1,Dissolved
Adenosine diphosphate,12.52939393939394,426.021596,-1,Particulate
Adenosine monophosphate,10.775,346.055262,-1,Dissolved
Adenosine monophosphate,10.98764705882353,346.055262,-1,Particulate
Adenosine triphosphate,13.5625,505.987929,-1,Dissolved
Adenosine triphosphate,13.638571428571428,505.987929,-1,Particulate
Allantoin,9.4825,157.036165,-1,Dissolved
Allantoin,9.860833333333332,157.036165,-1,Particulate
Allopurinol,4.32,135.030686,-1,Dissolved
Allopurinol,4.3664,135.030686,-1,Particulate
Amino Propanesulfonic Acid,11.557500000000001,NA,-1,Dissolved
Amino Propanesulfonic Acid,11.398095238095237,NA,-1,Particulate
Anserine,9.211428571428572,241.130066,1,Dissolved
Anserine,9.298333333333334,241.130066,1,Particulate
Arsenobetaine,7.176363636363636,179.005326,1,Dissolved
Arsenobetaine,7.275161290322581,179.005326,1,Particulate
"Arsenobetaine, 13C2",7.256666666666667,181.0114,1,Dissolved
"Arsenobetaine, 13C2",7.315405405405405,181.0114,1,Particulate
Betonicine,8.532173913043477,160.097369,1,Dissolved
Betonicine,8.508648648648649,160.097369,1,Particulate
Butyrylcarnitine,4.3919565217391305,232.154884,1,Dissolved
Butyrylcarnitine,4.3325000000000005,232.154884,1,Particulate
Butyrylglycine,2.727878787878788,144.066069,-1,Dissolved
