mass_feature,FinalBMIS,Orig_RSD,FinalRSD,replicate_name,runDate,type,samp_id,replicate,area,date,QC_area,adjusted_area
HILICNeg_1,"Sulfoacetic acid, 13C2",0.21185152010418465,0.13129620335082143,211202_Poo_TruePooBacteria_Full1,211202,Poo,TruePooBacteria,Full1,20353756,211202,20353756,16927916.153368726
HILICNeg_1,"Sulfoacetic acid, 13C2",0.21185152010418465,0.13129620335082143,211202_Poo_TruePooBacteria_Full2,211202,Poo,TruePooBacteria,Full2,22448262,211202,22448262,15881569.234800175
HILICNeg_1,"Sulfoacetic acid, 13C2",0.21185152010418465,0.13129620335082143,211202_Poo_TruePooBacteria_Full3,211202,Poo,TruePooBacteria,Full3,24041076,211202,24041076,17932601.250081237
HILICNeg_1,"Sulfoacetic acid, 13C2",0.21185152010418465,0.13129620335082143,211202_Poo_TruePooBacteria_Half1,211202,Poo,TruePooBacteria,Half1,14133476,211202,14133476,12675849.227005854
HILICNeg_1,"Sulfoacetic acid, 13C2",0.21185152010418465,0.13129620335082143,211202_Poo_TruePooBacteria_Half2,211202,Poo,TruePooBacteria,Half2,17199634,211202,17199634,14776656.35627027
HILICNeg_1,"Sulfoacetic acid, 13C2",0.21185152010418465,0.13129620335082143,211202_Poo_TruePooBacteria_Half3,211202,Poo,TruePooBacteria,Half3,16431092,211202,16431092,13547014.841286045
HILICNeg_1,"Sulfoacetic acid, 13C2",0.21185152010418465,0.13129620335082143,211202_Smp_OBi1_1,211202,Smp,OBi1,1,27778448,211202,27778448,32566168.355957124
HILICNeg_1,"Sulfoacetic acid, 13C2",0.21185152010418465,0.13129620335082143,211202_Smp_OBi1_2,211202,Smp,OBi1,2,38963700,211202,38963700,44927527.90139114
HILICNeg_1,"Sulfoacetic acid, 13C2",0.21185152010418465,0.13129620335082143,211202_Smp_OBi1_3,211202,Smp,OBi1,3,33173958,211202,33173958,43034172.20507672
HILICNeg_1,"Sulfoacetic acid, 13C2",0.21185152010418465,0.13129620335082143,211202_Smp_OBi1_4,211202,Smp,OBi1,4,22527298,211202,22527298,33809045.85612861
HILICNeg_1,"Sulfoacetic acid, 13C2",0.21185152010418465,0.13129620335082143,211202_Smp_OBi1_5,211202,Smp,OBi1,5,17103414,211202,17103414,20240018.897834893
HILICNeg_1,"Sulfoacetic acid, 13C2",0.21185152010418465,0.13129620335082143,211202_Smp_OBi1_6,211202,Smp,OBi1,6,19494384,211202,19494384,23649347.972886354
HILICNeg_1,"Sulfoacetic acid, 13C2",0.21185152010418465,0.13129620335082143,211202_Smp_OBi1_7,211202,Smp,OBi1,7,32284508,211202,32284508,37621545.76719285
HILICNeg_1,"Sulfoacetic acid, 13C2",0.21185152010418465,0.13129620335082143,211202_Smp_OBi1_8,211202,Smp,OBi1,8,30683090,211202,30683090,32932507.54595929
HILICNeg_1,"Sulfoacetic acid, 13C2",0.21185152010418465,0.13129620335082143,211202_Smp_OBi1_9,211202,Smp,OBi1,9,29604902,211202,29604902,31661371.243933424
HILICNeg_10,"Homarine, 2H3",0.13437292713677346,0.08774688917438427,211202_Poo_TruePooBacteria_Full1,211202,Poo,TruePooBacteria,Full1,12225114,211202,12225114,11657698.690183494
HILICNeg_10,"Homarine, 2H3",0.13437292713677346,0.08774688917438427,211202_Poo_TruePooBacteria_Full2,211202,Poo,TruePooBacteria,Full2,12071932,211202,12071932,13061477.36799993
HILICNeg_10,"Homarine, 2H3",0.13437292713677346,0.08774688917438427,211202_Poo_TruePooBacteria_Full3,211202,Poo,TruePooBacteria,Full3,12297719,211202,12297719,13387077.59983227
HILICNeg_10,"Homarine, 2H3",0.13437292713677346,0.08774688917438427,211202_Poo_TruePooBacteria_Half1,211202,Poo,TruePooBacteria,Half1,7669203,211202,7669203,10399037.430549141
HILICNeg_10,"Homarine, 2H3",0.13437292713677346,0.08774688917438427,211202_Poo_TruePooBacteria_Half2,211202,Poo,TruePooBacteria,Half2,7966519,211202,7966519,12151398.588041656
HILICNeg_10,"Homarine, 2H3",0.13437292713677346,0.08774688917438427,211202_Poo_TruePooBacteria_Half3,211202,Poo,TruePooBacteria,Half3,7741454,211202,7741454,12304674.568421967
HILICNeg_10,"Homarine, 2H3",0.13437292713677346,0.08774688917438427,211202_Smp_OBi1_1,211202,Smp,OBi1,1,17291082,211202,17291082,7472135.049013196
HILICNeg_10,"Homarine, 2H3",0.13437292713677346,0.08774688917438427,211202_Smp_OBi1_2,211202,Smp,OBi1,2,21181126,211202,21181126,9064001.177799815
HILICNeg_10,"Homarine, 2H3",0.13437292713677346,0.08774688917438427,211202_Smp_OBi1_3,211202,Smp,OBi1,3,17362704,211202,17362704,7765703.547850873
HILICNeg_10,"Homarine, 2H3",0.13437292713677346,0.08774688917438427,211202_Smp_OBi1_4,211202,Smp,OBi1,4,9238431,211202,9238431,21240382.222064354
HILICNeg_10,"Homarine, 2H3",0.13437292713677346,0.08774688917438427,211202_Smp_OBi1_5,211202,Smp,OBi1,5,8301239,211202,8301239,17204067.54519591
HILICNeg_10,"Homarine, 2H3",0.13437292713677346,0.08774688917438427,211202_Smp_OBi1_6,211202,Smp,OBi1,6,12950263,211202,12950263,23000413.43512397
HILICNeg_10,"Homarine, 2H3",0.13437292713677346,0.08774688917438427,211202_Smp_OBi1_7,211202,Smp,OBi1,7,18998650,211202,18998650,34322733.46891394
HILICNeg_10,"Homarine, 2H3",0.13437292713677346,0.08774688917438427,211202_Smp_OBi1_8,211202,Smp,OBi1,8,18684908,211202,18684908,35184009.18195056
HILICNeg_10,"Homarine, 2H3",0.13437292713677346,0.08774688917438427,211202_Smp_OBi1_9,211202,Smp,OBi1,9,16496083,211202,16496083,26003328.88933376
HILICNeg_102,"DL-Alanine, 2H3",0.14537882443878894,0.03843080954512377,211202_Poo_TruePooBacteria_Full1,211202,Poo,TruePooBacteria,Full1,37453784,211202,37453784,31663339.024360973
HILICNeg_102,"DL-Alanine, 2H3",0.14537882443878894,0.03843080954512377,211202_Poo_TruePooBacteria_Full2,211202,Poo,TruePooBacteria,Full2,31952254,211202,31952254,33842250.759654246
HILICNeg_102,"DL-Alanine, 2H3",0.14537882443878894,0.03843080954512377,211202_Poo_TruePooBacteria_Full3,211202,Poo,TruePooBacteria,Full3,30287438,211202,30287438,34563712.494435504
HILICNeg_102,"DL-Alanine, 2H3",0.14537882443878894,0.03843080954512377,211202_Poo_TruePooBacteria_Half1,211202,Poo,TruePooBacteria,Half1,22483276,211202,22483276,31321628.0771206
HILICNeg_102,"DL-Alanine, 2H3",0.14537882443878894,0.03843080954512377,211202_Poo_TruePooBacteria_Half2,211202,Poo,TruePooBacteria,Half2,17705044,211202,17705044,32946186.859714378
HILICNeg_102,"DL-Alanine, 2H3",0.14537882443878894,0.03843080954512377,211202_Poo_TruePooBacteria_Half3,211202,Poo,TruePooBacteria,Half3,17082538,211202,17082538,32309779.762491502
HILICNeg_102,"DL-Alanine, 2H3",0.14537882443878894,0.03843080954512377,211202_Smp_OBi1_1,211202,Smp,OBi1,1,60992200,211202,60992200,71096344.09531967
HILICNeg_102,"DL-Alanine, 2H3",0.14537882443878894,0.03843080954512377,211202_Smp_OBi1_2,211202,Smp,OBi1,2,54165596,211202,54165596,61929880.4137311
HILICNeg_102,"DL-Alanine, 2H3",0.14537882443878894,0.03843080954512377,211202_Smp_OBi1_3,211202,Smp,OBi1,3,55614448,211202,55614448,61925483.7285927
HILICNeg_102,"DL-Alanine, 2H3",0.14537882443878894,0.03843080954512377,211202_Smp_OBi1_4,211202,Smp,OBi1,4,61894056,211202,61894056,39773433.753685
HILICNeg_102,"DL-Alanine, 2H3",0.14537882443878894,0.03843080954512377,211202_Smp_OBi1_5,211202,Smp,OBi1,5,58451752,211202,58451752,38743492.20936837
HILICNeg_102,"DL-Alanine, 2H3",0.14537882443878894,0.03843080954512377,211202_Smp_OBi1_6,211202,Smp,OBi1,6,59375008,211202,59375008,35346463.37568226
HILICNeg_102,"DL-Alanine, 2H3",0.14537882443878894,0.03843080954512377,211202_Smp_OBi1_7,211202,Smp,OBi1,7,59783428,211202,59783428,65340368.70406185
HILICNeg_102,"DL-Alanine, 2H3",0.14537882443878894,0.03843080954512377,211202_Smp_OBi1_8,211202,Smp,OBi1,8,58369784,211202,58369784,64347124.558443524
HILICNeg_102,"DL-Alanine, 2H3",0.14537882443878894,0.03843080954512377,211202_Smp_OBi1_9,211202,Smp,OBi1,9,49033568,211202,49033568,48287012.60177532
HILICNeg_108,Inj_vol,0.16365927303873198,0.16365927303873198,211202_Poo_TruePooBacteria_Full1,211202,Poo,TruePooBacteria,Full1,8454914,211202,8454914,8454914
HILICNeg_108,Inj_vol,0.16365927303873198,0.16365927303873198,211202_Poo_TruePooBacteria_Full2,211202,Poo,TruePooBacteria,Full2,6367437,211202,6367437,6367437
HILICNeg_108,Inj_vol,0.16365927303873198,0.16365927303873198,211202_Poo_TruePooBacteria_Full3,211202,Poo,TruePooBacteria,Full3,6402752,211202,6402752,6402752
HILICNeg_108,Inj_vol,0.16365927303873198,0.16365927303873198,211202_Poo_TruePooBacteria_Half1,211202,Poo,TruePooBacteria,Half1,3021947,211202,3021947,6043894
HILICNeg_108,Inj_vol,0.16365927303873198,0.16365927303873198,211202_Poo_TruePooBacteria_Half2,211202,Poo,TruePooBacteria,Half2,3914801,211202,3914801,7829602
HILICNeg_108,Inj_vol,0.16365927303873198,0.16365927303873198,211202_Poo_TruePooBacteria_Half3,211202,Poo,TruePooBacteria,Half3,4410094,211202,4410094,8820188
HILICNeg_108,Inj_vol,0.16365927303873198,0.16365927303873198,211202_Smp_OBi1_1,211202,Smp,OBi1,1,1862392,211202,1862392,1862392
HILICNeg_108,Inj_vol,0.16365927303873198,0.16365927303873198,211202_Smp_OBi1_2,211202,Smp,OBi1,2,5306903,211202,5306903,5306903
HILICNeg_108,Inj_vol,0.16365927303873198,0.16365927303873198,211202_Smp_OBi1_3,211202,Smp,OBi1,3,5961524,211202,5961524,5961524
HILICNeg_108,Inj_vol,0.16365927303873198,0.16365927303873198,211202_Smp_OBi1_4,211202,Smp,OBi1,4,6491386,211202,6491386,6491386
