ID,RT,mz,MS2,add_annotation,pseudo_ID,adduct_group_ID,nm_theroetical,211207_Blk_BlankTube_1,211207_Blk_BlankTube_2,211207_Blk_BlankTube_3,211207_Poo_TruePooBacteria_DDApos20,211207_Poo_TruePooBacteria_DDApos35,211207_Poo_TruePooBacteria_DDApos50,211207_Poo_TruePooBacteria_Full1,211207_Poo_TruePooBacteria_Full2,211207_Poo_TruePooBacteria_Full3,211207_Poo_TruePooBacteria_Half1,211207_Poo_TruePooBacteria_Half2,211207_Poo_TruePooBacteria_Half3,211207_Smp_OBi1_1,211207_Smp_OBi1_2,211207_Smp_OBi1_3,211207_Smp_OBi1_4,211207_Smp_OBi1_5,211207_Smp_OBi1_6,211207_Smp_OBi1_7,211207_Smp_OBi1_8,211207_Smp_OBi1_9
RPPos_8,1.874,146.06017,NA,NA,NA,NA,NA,74742,4839,13547,162424,167454,187038,158459,158727,139402,110909,92023,72098,231474,162439,196147,366845,272188,250908,184449,206779,179929
RPPos_10,1.87,159.09163,NA,NA,NA,NA,NA,96659,37772,64133,160673,168790,164113,156385,170012,117289,138155,117449,65509,329309,253181,275401,270407,218552,196652,238365,249777,217826
RPPos_11,2.266,164.5836,NA,NA,NA,NA,NA,0,10757,1935,18940,23861,19927,0,15358,25272,0,7565,2103,44644,0,7773,31693,38395,2167,0,14271,3028
RPPos_12,2.268,165.68402,NA,NA,NA,NA,NA,0,7619,6433,12476,17087,27982,0,16809,20418,0,3729,4493,35771,0,0,22860,39290,0,0,10515,0
RPPos_13,4.525,182.19043,NA,NA,NA,NA,NA,1051,20514,13468,516585,504110,503227,364818,413478,343957,230583,211907,178612,7674,1636,0,6557564,3675,201469,831,110337,2088
RPPos_14,5.832,184.20598,NA,NA,NA,NA,NA,0,0,0,32336,30458,29354,20237,25656,19025,18684,27977,25765,32872,0,0,936,30468,0,0,0,0
RPPos_15,1.876,189.07411,NA,NA,NA,NA,NA,62393,118782,92236,326844,409918,396023,255207,304837,297111,173601,193435,209430,439930,380783,368125,629258,529952,551680,349938,367959,421258
RPPos_16,1.712,191.09154,NA,[M+H],RPPos_16,5,190.084263545,14019,4434,5643,66112,66713,43691,75297,63731,52332,45293,43572,19673,17302,136555,202268,286697,25585,140224,49678,89110,72657
RPPos_17,1.541,196.09682,NA,NA,NA,NA,NA,17972,14569,8702,126295,108403,99399,145212,145716,115466,104294,100237,70314,209631,179839,219369,217904,156934,161803,234972,248360,173035
RPPos_18,1.897,203.0815,NA,NA,NA,NA,NA,1781,0,0,0,0,0,2365,6869,2223,1743,3621,2942,25669,35250,14488,44655,29007,32010,17129,17513,11650
