mass_feature,RT,mz,MS2,add_annotation,sample_fraction,replicate_name,adjusted_area,sample_set,treatment
HILICPos_0,11.384,80.05003,NA,NA,Particulate,211202_Smp_OBi1_1,5052566.919227267,OBi1_set2,Glucose + NH4
HILICPos_0,11.384,80.05003,NA,NA,Particulate,211202_Smp_OBi1_2,4655056.5215576375,OBi1_set2,Glucose + NH4
HILICPos_0,11.384,80.05003,NA,NA,Particulate,211202_Smp_OBi1_3,5016308.879143471,OBi1_set2,Glucose + NH4
HILICPos_0,11.384,80.05003,NA,NA,Particulate,211202_Smp_OBi1_4,3487290.836923014,OBi1_set2,Homarine
HILICPos_0,11.384,80.05003,NA,NA,Particulate,211202_Smp_OBi1_5,2429743.441930897,OBi1_set2,Homarine
HILICPos_0,11.384,80.05003,NA,NA,Particulate,211202_Smp_OBi1_6,2339634.351185094,OBi1_set2,Homarine
HILICPos_0,11.384,80.05003,NA,NA,Particulate,211202_Smp_OBi1_7,4441563.551708723,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_0,11.384,80.05003,NA,NA,Particulate,211202_Smp_OBi1_8,4304774.753126098,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_0,11.384,80.05003,NA,NA,Particulate,211202_Smp_OBi1_9,4436983.962562426,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_1,8.935,81.04527,NA,NA,Particulate,211202_Smp_OBi1_1,2609433.843149466,OBi1_set2,Glucose + NH4
HILICPos_1,8.935,81.04527,NA,NA,Particulate,211202_Smp_OBi1_2,2361499.533671016,OBi1_set2,Glucose + NH4
HILICPos_1,8.935,81.04527,NA,NA,Particulate,211202_Smp_OBi1_3,2503833.7815289507,OBi1_set2,Glucose + NH4
HILICPos_1,8.935,81.04527,NA,NA,Particulate,211202_Smp_OBi1_4,4630969.007708706,OBi1_set2,Homarine
HILICPos_1,8.935,81.04527,NA,NA,Particulate,211202_Smp_OBi1_5,4107243.545910708,OBi1_set2,Homarine
HILICPos_1,8.935,81.04527,NA,NA,Particulate,211202_Smp_OBi1_6,4378676.500950886,OBi1_set2,Homarine
HILICPos_1,8.935,81.04527,NA,NA,Particulate,211202_Smp_OBi1_7,5716718.34973683,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_1,8.935,81.04527,NA,NA,Particulate,211202_Smp_OBi1_8,5783597.937432735,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_1,8.935,81.04527,NA,NA,Particulate,211202_Smp_OBi1_9,5622089.721958305,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_2,11.365,82.06564,NA,NA,Particulate,211202_Smp_OBi1_1,1082083.2698439646,OBi1_set2,Glucose + NH4
HILICPos_2,11.365,82.06564,NA,NA,Particulate,211202_Smp_OBi1_2,969252.2437051951,OBi1_set2,Glucose + NH4
HILICPos_2,11.365,82.06564,NA,NA,Particulate,211202_Smp_OBi1_3,1010761.810701676,OBi1_set2,Glucose + NH4
HILICPos_2,11.365,82.06564,NA,NA,Particulate,211202_Smp_OBi1_4,2364380.166842651,OBi1_set2,Homarine
HILICPos_2,11.365,82.06564,NA,NA,Particulate,211202_Smp_OBi1_5,1966950.047593168,OBi1_set2,Homarine
HILICPos_2,11.365,82.06564,NA,NA,Particulate,211202_Smp_OBi1_6,1915900.85762573,OBi1_set2,Homarine
HILICPos_2,11.365,82.06564,NA,NA,Particulate,211202_Smp_OBi1_7,3768918.378132974,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_2,11.365,82.06564,NA,NA,Particulate,211202_Smp_OBi1_8,3777943.249063243,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_2,11.365,82.06564,NA,NA,Particulate,211202_Smp_OBi1_9,3620095.685193435,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_3,11.426,84.04491,53.00298:12850 56.05032:899608 69.14571:6276 73.99947:6910 84.04509:3028253,NA,Particulate,211202_Smp_OBi1_1,165101003.2061077,OBi1_set2,Glucose + NH4
HILICPos_3,11.426,84.04491,53.00298:12850 56.05032:899608 69.14571:6276 73.99947:6910 84.04509:3028253,NA,Particulate,211202_Smp_OBi1_2,159959028.069995,OBi1_set2,Glucose + NH4
