mass_feature,core_metab,sample_fraction,experiment_id,timepoint,enrich_h_fc,ttest_p_h,p_value_mannwhitney_h
Adenine,Citrulline,Particulate,NA,0,0.6629983673029992,0.38976823737628224,0.4
Adenine,Citrulline,Particulate,NA,6,0.06425377021459787,0.045022820885155766,0.1
Adenine,Citrulline,Particulate,NA,12,0.34924135700821335,0.08223568746292474,0.1
Adenine,Citrulline,Particulate,NA,24,0.8216942355182281,0.6281087530254277,0.7
Adenine,Citrulline,Particulate,NA,48,1.058986009425272,0.8389688869081328,1
Adenine,Citrulline,Particulate,NA,96,2.201653846241639,0.0260977803838896,0.1
Adenine,Cytosine,Particulate,NA,0,1.5654212282132502,0.31977562851857005,0.4
Adenine,Cytosine,Particulate,NA,6,0.3821061044760056,0.014662531372192117,0.1
Adenine,Cytosine,Particulate,NA,12,0.866677548476033,0.6822869613266583,0.7
Adenine,Cytosine,Particulate,NA,24,0.8454616365838133,0.2178990100174571,0.4
Adenine,Cytosine,Particulate,NA,48,1.1167403218045813,0.7036673133906173,0.7
Adenine,Cytosine,Particulate,NA,96,3.444140141579855,0.07146872284199149,0.1
Adenine,Guanosine,Particulate,NA,0,1.6819401875359987,0.28912704058776556,0.4
Adenine,Guanosine,Particulate,NA,6,0.34722573554419545,0.1081350823988433,0.1
Adenine,Guanosine,Particulate,NA,12,0.5980890674181187,0.2510027144083311,0.2
Adenine,Guanosine,Particulate,NA,24,0.4353725875801796,0.1298282581219486,0.2
Adenine,Guanosine,Particulate,NA,48,0.8623982957426398,0.6861120401964904,0.4
Adenine,Guanosine,Particulate,NA,96,2.159766976521759,0.2214598555804684,0.4
Adenine,L-Arginine,Particulate,NA,0,0.8524326845847615,0.6152370125245202,0.7
Adenine,L-Arginine,Particulate,NA,6,0.1750064471428694,0.05842540906218359,0.1
Adenine,L-Arginine,Particulate,NA,12,0.34482712787407727,0.08395289007050812,0.1
Adenine,L-Arginine,Particulate,NA,24,0.45018730478389524,0.12032544499060337,0.2
Adenine,L-Arginine,Particulate,NA,48,0.7822689357068402,0.4422427017401482,0.7
Adenine,L-Arginine,Particulate,NA,96,1.2300973263422095,0.5893004867933231,0.7
Adenine,L-Glutamic acid,Particulate,NA,0,0.874987850460404,0.6915507394235856,1
Adenine,L-Glutamic acid,Particulate,NA,6,0.30673580374290127,0.05482193558270093,0.1
