mass_feature,sample_fraction,experiment_id,timepoint,med_pvalue_h,med_fc_h,med_qvalue_h,core_metabolite
Adenine,Particulate,NA,0,0.45519826083603954,0.8524326845847615,0.5500513712519349,core
Adenine,Particulate,NA,6,0.06752993645710145,0.1750064471428694,0.2921062367679272,core
Adenine,Particulate,NA,12,0.150317716768081,0.44354801896156976,0.4275431362295414,core
Adenine,Particulate,NA,24,0.41973927107946013,0.7288433879451248,0.5316789731759931,core
Adenine,Particulate,NA,48,0.6414657374717362,1.042507100186596,0.6862144685300255,core
Adenine,Particulate,NA,96,0.31717091449463325,1.5158022646890752,0.4801738596975174,core
Adenosine,Particulate,NA,0,0.01933389957320881,0.5621477519712512,0.2909263140789584,non-core
Adenosine,Particulate,NA,6,0.0048966638057983715,0.17775531883433393,0.22769486696962427,non-core
Adenosine,Particulate,NA,12,0.10186648228191234,0.6238272499379015,0.3523869352721393,non-core
Adenosine,Particulate,NA,24,0.20369411619574584,0.5410962702711968,0.4342745373630705,non-core
Adenosine,Particulate,NA,48,0.3770624463084868,0.7357551891726033,0.5250477111110318,non-core
Adenosine,Particulate,NA,96,0.032538025825543236,0.314153771267901,0.2909263140789584,non-core
Citrulline,Particulate,NA,0,0.21812830178666887,1.489942084291352,0.43625660357333773,core
Citrulline,Particulate,NA,6,0.13257640352079827,4.478736548532885,0.4109868509144747,core
Citrulline,Particulate,NA,12,0.24791503185285194,1.360297906115844,0.4486288605432832,core
Citrulline,Particulate,NA,24,0.5257335612684981,0.989679683918647,0.6142078077281145,core
Citrulline,Particulate,NA,48,0.4308430455300702,0.8862975729766777,0.5378309158965977,core
Citrulline,Particulate,NA,96,0.14007811280337676,0.6026955474016127,0.42023433841013025,core
Cytosine,Particulate,NA,0,0.17144651800452007,0.5550120151092655,0.4275431362295414,core
Cytosine,Particulate,NA,6,0.11464631463697235,0.4849451153536159,0.3807895450442296,core
Cytosine,Particulate,NA,12,0.25360991096909097,0.6381296239983508,0.4486288605432832,core
Cytosine,Particulate,NA,24,0.5896852318247874,0.8535643552791577,0.6567751683797033,core
