mass_feature,FinalBMIS,Orig_RSD,FinalRSD,replicate_name,runDate,type,samp_id,replicate,area,date,QC_area,fraction,adjusted_area
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Poo_RC104_HomFate_Full1_negDDA,240926,Poo,RC104,HomFate,1205582,240926,1205582,HILICPos,1205582
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Poo_RC104_HomFate_Full2_negDDA,240926,Poo,RC104,HomFate,1102164,240926,1102164,HILICPos,1102164
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Poo_RC104_HomFate_Full3_negDDA,240926,Poo,RC104,HomFate,949198,240926,949198,HILICPos,949198
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Poo_RC104_HomFate_Full4_negDDA,240926,Poo,RC104,HomFate,1013585,240926,1013585,HILICPos,1013585
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Poo_RC104_HomFate_Full5_negDDA,240926,Poo,RC104,HomFate,1025955,240926,1025955,HILICPos,1025955
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate_Con_A_negDDA,240926,Smp,RC104,HomFate,1280282,240926,1280282,HILICPos,1280282
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate_Con_B_negDDA,240926,Smp,RC104,HomFate,1970644,240926,1970644,HILICPos,1970644
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate_Con_C_negDDA,240926,Smp,RC104,HomFate,1069248,240926,1069248,HILICPos,1069248
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate_T0_A_negDDA,240926,Smp,RC104,HomFate,1280830,240926,1280830,HILICPos,1280830
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate_T0_B_negDDA,240926,Smp,RC104,HomFate,1986509,240926,1986509,HILICPos,1986509
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate_T0_C_negDDA,240926,Smp,RC104,HomFate,227335,240926,227335,HILICPos,227335
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate_T6_A_negDDA,240926,Smp,RC104,HomFate,1370506,240926,1370506,HILICPos,1370506
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate_T6_B_negDDA,240926,Smp,RC104,HomFate,0,240926,NA,HILICPos,NA
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate_T6_C_negDDA,240926,Smp,RC104,HomFate,0,240926,NA,HILICPos,NA
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate_T12_A_negDDA,240926,Smp,RC104,HomFate,1429309,240926,1429309,HILICPos,1429309
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate_T12_B_negDDA,240926,Smp,RC104,HomFate,435363,240926,435363,HILICPos,435363
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate_T12_C_negDDA,240926,Smp,RC104,HomFate,2178302,240926,2178302,HILICPos,2178302
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate_T24_A_negDDA,240926,Smp,RC104,HomFate,1834645,240926,1834645,HILICPos,1834645
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate_T24_B_negDDA,240926,Smp,RC104,HomFate,984822,240926,984822,HILICPos,984822
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate_T24_C_negDDA,240926,Smp,RC104,HomFate,2118574,240926,2118574,HILICPos,2118574
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate_T48_A_negDDA,240926,Smp,RC104,HomFate,1043364,240926,1043364,HILICPos,1043364
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate_T48_B_negDDA,240926,Smp,RC104,HomFate,1720203,240926,1720203,HILICPos,1720203
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate_T48_C_negDDA,240926,Smp,RC104,HomFate,1738105,240926,1738105,HILICPos,1738105
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate_T96_A_negDDA,240926,Smp,RC104,HomFate,3564371,240926,3564371,HILICPos,3564371
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate_T96_B_negDDA,240926,Smp,RC104,HomFate,5185472,240926,5185472,HILICPos,5185472
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate_T96_C_negDDA,240926,Smp,RC104,HomFate,4360909,240926,4360909,HILICPos,4360909
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate2_T12_L_A_negDDA,240926,Smp,RC104,HomFate2,2320134,240926,2320134,HILICPos,2320134
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate2_T12_L_B_negDDA,240926,Smp,RC104,HomFate2,1812012,240926,1812012,HILICPos,1812012
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate2_T12_L_C_negDDA,240926,Smp,RC104,HomFate2,1321510,240926,1321510,HILICPos,1321510
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate2_T12_UL_A_negDDA,240926,Smp,RC104,HomFate2,722495,240926,722495,HILICPos,722495
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate2_T12_UL_B_negDDA,240926,Smp,RC104,HomFate2,610652,240926,610652,HILICPos,610652
Adenosine monophosphate,Inj_vol,0.09268736931247878,0.09268736931247878,240926_Smp_RC104_HomFate2_T12_UL_C_negDDA,240926,Smp,RC104,HomFate2,434652,240926,434652,HILICPos,434652
L-Cysteic acid,Inj_vol,0.07808005702321538,0.07808005702321538,240926_Poo_RC104_HomFate_Full1_negDDA,240926,Poo,RC104,HomFate,4110454,240926,4110454,HILICPos,4110454
L-Cysteic acid,Inj_vol,0.07808005702321538,0.07808005702321538,240926_Poo_RC104_HomFate_Full2_negDDA,240926,Poo,RC104,HomFate,3561101,240926,3561101,HILICPos,3561101
L-Cysteic acid,Inj_vol,0.07808005702321538,0.07808005702321538,240926_Poo_RC104_HomFate_Full3_negDDA,240926,Poo,RC104,HomFate,3959544,240926,3959544,HILICPos,3959544
L-Cysteic acid,Inj_vol,0.07808005702321538,0.07808005702321538,240926_Poo_RC104_HomFate_Full4_negDDA,240926,Poo,RC104,HomFate,4141868,240926,4141868,HILICPos,4141868
L-Cysteic acid,Inj_vol,0.07808005702321538,0.07808005702321538,240926_Poo_RC104_HomFate_Full5_negDDA,240926,Poo,RC104,HomFate,4423021,240926,4423021,HILICPos,4423021
