Hello! Here are the QC parameters Minimum area for a real peak: 40000.  minutes. Blank can be this fraction of a sample: 2. S/N ratio: 3. Parts per million flexibility: 6. Processed on: 2025-01-06 10:33:18.288496. 
"","replicate_name","precursor_ion_name","retention_time","area","background","height","mass_error_ppm","flags","QC_area"
"1","240926_Std_4uMStdsMix1InH2O-1_posDDA","Homarine",NA,NA,NA,NA,NA,"",NA
"2","240926_Std_4uMStdsMix1InH2O-2_posDDA","Homarine",NA,NA,NA,NA,NA,"",NA
"3","240926_Std_4uMStdsMix1InMatrix-1_posDDA","Homarine",6.12,3105076224,28770112,98693520,0,"",3105076224
"4","240926_Std_4uMStdsMix1InMatrix-2_posDDA","Homarine",6.12,3307833088,36840128,103386960,-0.4,"",3307833088
"5","240926_Std_4uMStdsMix2InH2O-1_posDDA","Homarine",6.17,6164189696,50520144,194848432,-1,"",6164189696
"6","240926_Std_4uMStdsMix2InH2O-2_posDDA","Homarine",6.12,6715043840,45564576,210633888,-0.3,"",6715043840
"7","240926_Std_4uMStdsMix2InMatrix-1_posDDA","Homarine",6.17,9107384320,94948824,290820768,-0.4,"",9107384320
"8","240926_Std_4uMStdsMix2InMatrix-2_posDDA","Homarine",6.09,10374292480,110072984,324750016,-0.5,"",10374292480
"9","240926_Std_H2OinMatrix1_posDDA","Homarine",6.19,3246471936,37679924,107836384,-0.8,"",3246471936
"10","240926_Std_H2OinMatrix2_posDDA","Homarine",6.09,3614391296,43601828,115799680,-1.1,"",3614391296
"11","240926_Blk_RC104_HomFate_T6_Blk_A_posDDA","Homarine",6.14,81107400,1746016,2557376,-0.5,"",81107400
"12","240926_Blk_RC104_HomFate_T6_Blk_B_posDDA","Homarine",6.18,63984864,1296195,2100931,0,"",63984864
"13","240926_Blk_RC104_HomFate_T6_Blk_C_posDDA","Homarine",6.12,58289184,1811609,1858044,-0.1,"",58289184
"14","240926_Blk_RC104_HomFate_T48_Blk_A_posDDA","Homarine",6.14,224930592,3610661,7212742,-0.1,"",224930592
"15","240926_Blk_RC104_HomFate_T48_Blk_B_posDDA","Homarine",6.15,247366784,3618943,8086866,-0.6,"",247366784
"16","240926_Blk_RC104_HomFate_T48_Blk_C_posDDA","Homarine",6.12,240659424,4060555,7676639,-0.6,"",240659424
"17","240926_Blk_RC104_HomFate_T96_Blk_A_posDDA","Homarine",6.15,219975984,2859102,7475211,-0.6,"",219975984
"18","240926_Blk_RC104_HomFate_T96_Blk_B_posDDA","Homarine",6.17,178163472,3897534,6100250,0.3,"",178163472
"19","240926_Blk_RC104_HomFate_T96_Blk_C_posDDA","Homarine",6.14,201491296,3234963,6321491,-0.2,"",201491296
"20","240926_Poo_RC104_HomFate_Full1_posDDA","Homarine",6.17,5263763456,74098536,170612784,0.5,"",5263763456
"21","240926_Poo_RC104_HomFate_Full2_posDDA","Homarine",6.19,5468095488,79757176,178254640,-1,"",5468095488
"22","240926_Poo_RC104_HomFate_Full3_posDDA","Homarine",6.14,4681836032,69390024,153302192,-0.6,"",4681836032
"23","240926_Poo_RC104_HomFate_Full4_posDDA","Homarine",6.14,5639201792,51330988,187472624,-0.6,"",5639201792
"24","240926_Poo_RC104_HomFate_Full5_posDDA","Homarine",6.12,5934438400,79570616,196555856,-1.1,"",5934438400
"25","240926_Smp_RC104_HomFate_Con_A_posDDA","Homarine",6.12,3334265600,33207724,105209960,-1,"",3334265600
"26","240926_Smp_RC104_HomFate_Con_B_posDDA","Homarine",6.12,3186465280,34683792,100934008,-1.1,"",3186465280
"27","240926_Smp_RC104_HomFate_Con_C_posDDA","Homarine",6.12,1925811200,21914252,59655112,-0.6,"",1925811200
"28","240926_Smp_RC104_HomFate_T0_A_posDDA","Homarine",6.14,2935372544,25749038,91437464,-0.8,"",2935372544
"29","240926_Smp_RC104_HomFate_T0_B_posDDA","Homarine",6.12,4581720064,40125148,141419360,-0.5,"",4581720064
"30","240926_Smp_RC104_HomFate_T0_C_posDDA","Homarine",6.17,4649757184,51840960,149636224,-0.9,"",4649757184
"31","240926_Smp_RC104_HomFate_T6_A_posDDA","Homarine",6.15,4438765568,57923836,146912416,0.3,"",4438765568
"32","240926_Smp_RC104_HomFate_T6_B_posDDA","Homarine",6.17,1672967424,16014533,56128296,-0.6,"",1672967424
"33","240926_Smp_RC104_HomFate_T6_C_posDDA","Homarine",6.15,4159005440,47614072,137026000,-0.3,"",4159005440
"34","240926_Smp_RC104_HomFate_T12_A_posDDA","Homarine",6.15,3710355456,54011084,120190712,-0.6,"",3710355456
"35","240926_Smp_RC104_HomFate_T12_B_posDDA","Homarine",6.12,2226615552,27116924,74881264,-0.4,"",2226615552
"36","240926_Smp_RC104_HomFate_T12_C_posDDA","Homarine",6.17,5852463616,92857592,191317776,0.1,"",5852463616
"37","240926_Smp_RC104_HomFate_T24_A_posDDA","Homarine",6.1,6030387200,96287656,191622048,-0.8,"",6030387200
"38","240926_Smp_RC104_HomFate_T24_B_posDDA","Homarine",6.13,4711577088,46877376,149922512,0.1,"",4711577088
"39","240926_Smp_RC104_HomFate_T24_C_posDDA","Homarine",6.15,8244518912,98774368,259523040,-0.2,"",8244518912
"40","240926_Smp_RC104_HomFate_T48_A_posDDA","Homarine",6.19,5865862656,77404504,205719952,-0.4,"",5865862656
"41","240926_Smp_RC104_HomFate_T48_B_posDDA","Homarine",6.14,10939744256,146206912,339633184,-1,"",10939744256
"42","240926_Smp_RC104_HomFate_T48_C_posDDA","Homarine",6.17,9317761024,138219728,310845728,-0.7,"",9317761024
"43","240926_Smp_RC104_HomFate_T96_A_posDDA","Homarine",6.19,16247639040,141496528,554400960,-1,"",16247639040
"44","240926_Smp_RC104_HomFate_T96_B_posDDA","Homarine",6.14,21826738176,223717968,659320128,-1.7,"",21826738176
"45","240926_Smp_RC104_HomFate_T96_C_posDDA","Homarine",6.15,22711207936,218038000,741673088,-1.6,"",22711207936
"46","240926_Smp_RC104_HomFate2_T12_L_A_posDDA","Homarine",6.12,3223553792,30415892,103956808,-1,"",3223553792
"47","240926_Smp_RC104_HomFate2_T12_L_B_posDDA","Homarine",6.14,3673685504,31588758,116214104,-1.2,"",3673685504
"48","240926_Smp_RC104_HomFate2_T12_L_C_posDDA","Homarine",6.14,3284597504,37983580,103286416,-0.8,"",3284597504
"49","240926_Smp_RC104_HomFate2_T12_UL_A_posDDA","Homarine",6.14,3064916224,39854652,109550632,-1.2,"",3064916224
"50","240926_Smp_RC104_HomFate2_T12_UL_B_posDDA","Homarine",6.19,3426914560,40385792,115795352,-1.4,"",3426914560
"51","240926_Smp_RC104_HomFate2_T12_UL_C_posDDA","Homarine",6.09,3874660096,30347912,126225968,-1.3,"",3874660096
"52","240926_Std_4uMStdsMix1InH2O-1_posDDA","unknown_C6H9NO4_pos",11.6,0,0,0,NA,"areamin_flag, ",NA
"53","240926_Std_4uMStdsMix1InH2O-2_posDDA","unknown_C6H9NO4_pos",11.59,6685,0,0,-0.8,"areamin_flag, ",NA
"54","240926_Std_4uMStdsMix1InMatrix-1_posDDA","unknown_C6H9NO4_pos",12.03,38143,0,12629,-3.3,"areamin_flag, ",NA
"55","240926_Std_4uMStdsMix1InMatrix-2_posDDA","unknown_C6H9NO4_pos",11.59,33543,0,14474,-0.7,"areamin_flag, ",NA
"56","240926_Std_4uMStdsMix2InH2O-1_posDDA","unknown_C6H9NO4_pos",11.6,0,0,0,NA,"areamin_flag, ",NA
"57","240926_Std_4uMStdsMix2InH2O-2_posDDA","unknown_C6H9NO4_pos",11.59,0,0,0,NA,"areamin_flag, ",NA
"58","240926_Std_4uMStdsMix2InMatrix-1_posDDA","unknown_C6H9NO4_pos",11.98,36437,0,9671,-0.7,"areamin_flag, ",NA
"59","240926_Std_4uMStdsMix2InMatrix-2_posDDA","unknown_C6H9NO4_pos",11.62,16289,0,9009,-1.1,"areamin_flag, ",NA
"60","240926_Std_H2OinMatrix1_posDDA","unknown_C6H9NO4_pos",11.6,0,0,0,NA,"areamin_flag, ",NA
"61","240926_Std_H2OinMatrix2_posDDA","unknown_C6H9NO4_pos",11.59,0,0,0,NA,"areamin_flag, ",NA
"62","240926_Blk_RC104_HomFate_T6_Blk_A_posDDA","unknown_C6H9NO4_pos",12.21,10102,0,5388,5.9,"areamin_flag, ",NA
