mass_feature,replicate_name,adjusted_area,sample_fraction,z,treatment,sample_set,retention_time,mz,timepoint,experiment_id
Adenine,240926_Smp_RC104_HomFate_Con_A_posDDA,828414464,Particulate,1,Control,homarine_fate_1,5.1702040816326535,136.06232,NA,NA
Adenine,240926_Smp_RC104_HomFate_Con_B_posDDA,295846144,Particulate,1,Control,homarine_fate_1,5.1702040816326535,136.06232,NA,NA
Adenine,240926_Smp_RC104_HomFate_Con_C_posDDA,406546592,Particulate,1,Control,homarine_fate_1,5.1702040816326535,136.06232,NA,NA
Adenine,240926_Smp_RC104_HomFate_T0_A_posDDA,411181888,Particulate,1,Homarine,homarine_fate_1,5.1702040816326535,136.06232,0,NA
Adenine,240926_Smp_RC104_HomFate_T0_B_posDDA,968990144,Particulate,1,Homarine,homarine_fate_1,5.1702040816326535,136.06232,0,NA
Adenine,240926_Smp_RC104_HomFate_T0_C_posDDA,243125216,Particulate,1,Homarine,homarine_fate_1,5.1702040816326535,136.06232,0,NA
Adenine,240926_Smp_RC104_HomFate_T6_A_posDDA,269796992,Particulate,1,Homarine,homarine_fate_1,5.1702040816326535,136.06232,6,NA
Adenine,240926_Smp_RC104_HomFate_T6_B_posDDA,48041616,Particulate,1,Homarine,homarine_fate_1,5.1702040816326535,136.06232,6,NA
Adenine,240926_Smp_RC104_HomFate_T6_C_posDDA,99898000,Particulate,1,Homarine,homarine_fate_1,5.1702040816326535,136.06232,6,NA
Adenine,240926_Smp_RC104_HomFate_T12_A_posDDA,342686688,Particulate,1,Homarine,homarine_fate_1,5.1702040816326535,136.06232,12,NA
Adenine,240926_Smp_RC104_HomFate_T12_B_posDDA,152346928,Particulate,1,Homarine,homarine_fate_1,5.1702040816326535,136.06232,12,NA
Adenine,240926_Smp_RC104_HomFate_T12_C_posDDA,565503040,Particulate,1,Homarine,homarine_fate_1,5.1702040816326535,136.06232,12,NA
Adenine,240926_Smp_RC104_HomFate_T24_A_posDDA,804003968,Particulate,1,Homarine,homarine_fate_1,5.1702040816326535,136.06232,24,NA
Adenine,240926_Smp_RC104_HomFate_T24_B_posDDA,270455936,Particulate,1,Homarine,homarine_fate_1,5.1702040816326535,136.06232,24,NA
Adenine,240926_Smp_RC104_HomFate_T24_C_posDDA,1884706048,Particulate,1,Homarine,homarine_fate_1,5.1702040816326535,136.06232,24,NA
Adenine,240926_Smp_RC104_HomFate_T48_A_posDDA,1062670464,Particulate,1,Homarine,homarine_fate_1,5.1702040816326535,136.06232,48,NA
