replicate_name,treatment,sample_fraction,timepoint,experiment_id,Adenine,Adenosine,Citrulline,Cytosine,Deoxyadenosine,Guanosine,Homarine,L-Arginine,L-Asparagine,L-Glutamic acid,L-Homoserine,L-Lysine,L-Phenylalanine,L-Proline,L-Serine,L-Tryptophan,L-Tyrosine,N-Methyl-L-glutamic acid,glutamic_acid_13C_15N,homarine_13C_15N,n-methyl glutamic acid_13C_15N,n-methyl glutamine,n-methyl glutamine_13C_15N,unknown_C6H9NO4_pos,unknown_C6H9NO4_pos_early,unknown_C7H11NO3_pos,unknown_C7H9NO5_pos_13C_15N,Adenosine monophosphate,L-Cysteic acid,UDP-N-acetylglucosamine,unknown_C6H9NO3_1_neg,unknown_C6H9NO3_1_neg_13C_15N,unknown_C6H9NO3_2_neg,unknown_C6H9NO3_2_neg_13C_15N,unknown_C6H9NO4_neg
240926_Smp_RC104_HomFate_Con_A,Control,Particulate,NA,NA,828414464,166473088,3562698,94144488,56932832,2801434.7412675135,3334265600,31264798,3241724,231116400,6336433,4924292,48287149.34636332,329975168,3360378,2269853,17004986,22891796,NA,468111,NA,10923832,NA,174183.20613873014,1161318,15572181,NA,1280282,5581100,120952,NA,NA,653273.98640736,NA,125266
240926_Smp_RC104_HomFate_Con_B,Control,Particulate,NA,NA,295846144,142824688,2786515,39746612,17484288,2254462.737257274,3186465280,22471122,2920008,171324608,4197646,4428010,35222584.1410085,301233632,3272496,2481216,16171970,23445922,NA,1656955,NA,11560118,NA,148110.91093947217,409722,13581260,NA,1970644,3173321,183604,201147,NA,199493.72739590445,NA,NA
240926_Smp_RC104_HomFate_Con_C,Control,Particulate,NA,NA,406546592,81013544,2128497,57992500,16346839,1254295.086082665,1925811200,14056305,2497653,127739240,4090230,3079624,26417942.34156816,216131696,3200228,1421996,8928605,14175991,NA,138020,NA,4103614,NA,NA,342994,7934705,45896,1069248,2126887,61747,NA,NA,208751.98018064012,NA,NA
240926_Smp_RC104_HomFate_T0_A,Homarine,Particulate,0,NA,411181888,74691080,5609863,38399340,9762271,738738.7089111267,2935372544,21531446,3706032,185533328,5187977,4666290,37042449.53866895,401994240,10361907,1940047,18132440,24828420,2036748,193787232,7936199,6726185,NA,137128.281186599,396338,12872530,NA,1280830,3693699,248814,78512,NA,413120.4488548638,NA,NA
240926_Smp_RC104_HomFate_T0_B,Homarine,Particulate,0,NA,968990144,99442192,4523260,52351268,26827448,1859563.2631587344,4581720064,37040824,4967825,266533488,7496378,5799325,69904447.07684037,455411264,5572320,3629708,21175726,36718128,4358174,385618400,14628324,NA,NA,236573.94182588297,1441364,16198074,NA,1986509,4368997,324969,248630,NA,746132.9294172202,NA,NA
240926_Smp_RC104_HomFate_T0_C,Homarine,Particulate,0,NA,243125216,71067720,3818637,33845668,5293435,1310256.7971445282,4649757184,18408434,3412938,153850416,4773560,3851332,38826791.14619943,357139200,5938972,1225397,11825397,22778976,2548540,378575008,10014775,12285374,NA,NA,163806,10798026,NA,227335,2594727,298272,48490,NA,314865.1059972998,NA,NA
240926_Smp_RC104_HomFate_T6_A,Homarine,Particulate,6,NA,269796992,68458344,13640088,57734380,9670068,2606546.805902405,4438765568,49665096,6638667,229827280,19077056,8787672,106553289.58630218,525398848,19043234,4537787,16610814,20235522,42649072,5037727232,68711344,NA,261396,183171.99099109732,336371,10055262,NA,1370506,2428381,401820,478037,NA,796909.6557678817,1027878.0256252548,NA
240926_Smp_RC104_HomFate_T6_B,Homarine,Particulate,6,NA,48041616,8199271,15725640,26608962,1250989,737988.7319066369,1672967424,15598582,4216379,147431552,5016232,5135056,56203779.549263254,316644128,29328824,994926,12085627,11306632,21933872,2450482688,40002576,NA,285002,115660.24769539144,NA,7387005,NA,NA,1571229,155732,98726,66635,511893.5221261288,210535.30499036983,NA
240926_Smp_RC104_HomFate_T6_C,Homarine,Particulate,6,NA,99898000,15688428,8919207,41510296,1258495,1083700.26752207,4159005440,28618906,5751145,90356488,16969282,6042681,94731002.24805328,474747456,18260200,811011,13608955,14444931,20375994,5752175616,32658574,4760998,391441,NA,NA,3203521,336272,NA,1911049,209903,92272,55462,436530.99526415113,153916.2424678737,NA
240926_Smp_RC104_HomFate_T12_A,Homarine,Particulate,12,NA,342686688,101402856,6212647,32997486,9840207,1460835.258125292,3710355456,36408972,4888445,245893168,12660430,5129846,70777948.66747315,397994496,7086851,3095877,10511611,27127190,34031348,5171395072,79071208,NA,788233,99501.65565969348,412447,9720487,NA,1429309,3140132,509821,72706,NA,383939.5130101928,1249196.9862057427,43126
