mass_feature,retention_time,mz,z
Adenine,5.1702040816326535,136.06232,1
Adenosine,4.9491836734693875,268.10458,1
Citrulline,12.481428571428571,176.103517,1
Cytosine,7.436734693877551,112.051087,1
Deoxyadenosine,3.821428571428571,252.109665,1
Glutathione disulfide,14.602,613.159793,1
Guanosine,9.573829787234043,284.099495,1
Homarine,6.143265306122449,138.055503,1
L-Arginine,19.531632653061223,175.119501,1
L-Asparagine,11.922857142857143,133.061318,1
L-Glutamic acid,12.237551020408164,148.060984,1
L-Homoserine,11.741224489795918,120.066069,1
L-Lysine,18.65265306122449,147.113353,1
L-Phenylalanine,6.4348936170212765,NA,1
"L-Phenylalanine, 2H8",6.524468085106383,NA,1
L-Proline,9.540816326530612,116.071154,1
L-Serine,12.188775510204081,106.050419,1
L-Tryptophan,8.364468085106383,NA,1
L-Tyrosine,10.067755102040817,182.081719,1
N-Methyl-L-glutamic acid,10.913921568627451,162.076634,1
glutamic_acid_13C_15N,12.247428571428571,NA,1
homarine_13C_15N,6.146595744680851,NA,1
n-methyl glutamic acid_13C_15N,10.99421052631579,NA,1
n-methyl glutamine,9.376,NA,1
n-methyl glutamine_13C_15N,10.195,NA,1
unknown_C6H11NO2_pos,10.945098039215686,NA,1
unknown_C6H9NO4_pos,11.8965625,NA,1
unknown_C6H9NO4_pos_13C_15N,12.592,NA,1
unknown_C6H9NO4_pos_early,5.152558139534884,NA,1
unknown_C6H9NO4_pos_early_13C_15N,3.8544117647058824,NA,1
unknown_C7H11NO3_pos,8.547058823529412,NA,1
unknown_C7H11NO3_pos_13C_15N,8.43,NA,1
unknown_C7H9NO5_pos,12.343,NA,1
unknown_C7H9NO5_pos_13C_15N,11.460238095238095,NA,1
NA,11.293371757925073,NA,-1
